subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,PD_practice_runs,PD_practice_correct,PD_pos,PD_neg,time_PD_form,time_PD_blank
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,0,lescry,negative,30_40,paired_cs,1,1,no,yes,4253578,4261492
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,1,prien,positive,50_60,paired_cs,1,1,yes,no,4262521,4274685
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,2,cenbre,both,30_40,distractor,1,1,yes,no,4275713,4283945
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,3,roosle,negative,90_10,paired_cs,1,1,no,yes,4284973,4290054
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,4,clerd,both,30_40,distractor,1,1,no,yes,4291082,4293887
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,5,spanal,both,90_10,distractor,1,1,no,yes,4294918,4298608
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,6,teior,negative,70_80,paired_cs,1,1,no,yes,4299636,4304735
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,7,obeac,both,30_40,distractor,1,1,no,yes,4305763,4309064
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,8,orikle,NA,NA,neither,1,1,no,yes,4310092,4317709
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,9,chnap,NA,NA,neither,1,1,no,yes,4318737,4320390
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,10,coskie,positive,50_60,paired_cs,1,1,yes,no,4321419,4332953
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,11,yeomun,positive,90_10,paired_cs,1,1,yes,no,4333982,4335766
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,12,altine,negative,50_60,paired_cs,1,1,yes,no,4336799,4340107
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,13,punnot,NA,NA,neither,1,1,no,yes,4341135,4347108
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,14,hicron,NA,NA,neither,1,1,no,yes,4348137,4351190
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,15,palpid,positive,90_10,paired_cs,1,1,no,yes,4352218,4356563
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,16,casteg,NA,NA,neither,1,1,no,yes,4357596,4365109
109,EC_subj_obj_uncorr,inclusion,EC_subj_obj_uncorr,inclusion,17,eyalt,NA,NA,neither,1,1,no,yes,4366137,4369323
