subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,PD_practice_runs,PD_practice_correct,PD_pos,PD_neg,time_PD_form,time_PD_blank
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,0,peush,negative,70_80,paired_cs,1,1,no,yes,3415256,3432465
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,1,punnot,negative,50_60,distractor,1,1,no,yes,3433494,3440294
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,2,clerd,negative,90_10,paired_cs,1,1,yes,no,3441323,3447511
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,3,zillie,positive,30_40,distractor,1,1,yes,no,3448540,3452506
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,4,ordit,negative,30_40,paired_cs,1,1,no,yes,3453537,3457863
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,5,pubio,positive,90_10,paired_cs,1,1,yes,no,3458891,3462359
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,6,symoan,NA,NA,neither,1,1,no,yes,3463387,3467104
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,7,lobee,positive,30_40,distractor,1,1,yes,no,3468132,3473826
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,8,boity,NA,NA,neither,1,1,no,yes,3474854,3479933
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,9,strank,negative,30_40,distractor,1,1,no,yes,3480961,3484311
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,10,yeomun,NA,NA,neither,1,1,no,yes,3485339,3488065
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,11,jinkup,NA,NA,neither,1,1,no,yes,3489097,3494424
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,12,voual,NA,NA,neither,1,1,no,yes,3495452,3497804
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,13,hicron,negative,70_80,paired_cs,1,1,yes,no,3498832,3505805
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,14,ceayon,positive,30_40,paired_cs,1,1,no,yes,3506833,3511535
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,15,seloom,NA,NA,neither,1,1,no,yes,3512564,3517025
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,16,coline,positive,90_10,paired_cs,1,1,yes,no,3518054,3520288
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,17,minair,positive,90_10,paired_cs,1,1,yes,no,3521316,3525641
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,18,guote,positive,70_80,distractor,1,1,no,yes,3526674,3530013
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,19,casteg,NA,NA,neither,1,1,yes,no,3531041,3539704
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,20,makan,NA,NA,neither,1,1,no,yes,3540733,3542598
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,21,sepah,positive,30_40,paired_cs,1,1,yes,no,3543626,3545493
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,22,palpid,negative,30_40,distractor,1,1,no,yes,3546521,3549000
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,23,lescry,negative,70_80,distractor,1,1,no,yes,3550028,3552149
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,24,seork,positive,70_80,paired_cs,1,1,no,yes,3553177,3555162
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,25,cenbre,positive,50_60,distractor,1,1,yes,no,3556214,3565258
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,26,vegom,positive,90_10,distractor,1,1,no,yes,3566286,3568393
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,27,styla,NA,NA,neither,1,1,yes,no,3569421,3572028
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,28,bokine,NA,NA,neither,1,1,yes,no,3573056,3575668
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,29,madjas,NA,NA,neither,1,1,yes,no,3576702,3578438
20,EC_subj_obj_corr,inclusion,EC_subj_obj_corr,inclusion,30,naptor,negative,70_80,distractor,1,1,no,yes,3579467,3581077
