subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,correct_us,us_opt_1,us_opt_2,us_opt_3,us_opt_4,us_opt_5,us_opt_6,im_opt_1,im_opt_2,im_opt_3,im_opt_4,im_opt_5,im_opt_6,im_opt_none,im_opt_dk,time_im_form,time_im_blank
98,EC_subj_only,normal,EC_subj_only,normal,0,clish,negative,NA,neither,none_correct,9560.bmp,2141.bmp,9630.bmp,2375.1.bmp,9435.bmp,9041.bmp,no,no,no,no,no,no,no,yes,3014020,3019745
98,EC_subj_only,normal,EC_subj_only,normal,1,palpid,negative,90_10,paired_cs,1525.bmp,6555.bmp,2141.bmp,1525.bmp,3160.bmp,9561.bmp,9007.bmp,no,no,yes,no,no,no,no,no,3020770,3022647
98,EC_subj_only,normal,EC_subj_only,normal,2,naptor,positive,50_60,distractor,none_correct,2340.bmp,8501.bmp,4606.bmp,2040.bmp,2160.bmp,8370.bmp,no,yes,no,no,no,no,no,no,3023672,3026990
98,EC_subj_only,normal,EC_subj_only,normal,3,seork,positive,NA,neither,none_correct,2058.bmp,5460.bmp,8496.bmp,5830.bmp,5594.bmp,2550.bmp,no,no,no,no,no,no,no,yes,3028014,3031646
98,EC_subj_only,normal,EC_subj_only,normal,4,hesire,negative,50_60,paired_cs,9430.bmp,6570.1.bmp,9430.bmp,2750.bmp,9265.bmp,9500.bmp,3300.bmp,no,no,no,no,no,no,yes,no,3032670,3035986
98,EC_subj_only,normal,EC_subj_only,normal,5,tyorny,negative,NA,neither,none_correct,9041.bmp,6311.bmp,9007.bmp,6555.bmp,9180.bmp,9400.bmp,no,no,yes,no,no,no,no,no,3037010,3041081
98,EC_subj_only,normal,EC_subj_only,normal,6,craeky,negative,50_60,distractor,none_correct,6570.1.bmp,9342.bmp,2375.1.bmp,9630.bmp,6242.bmp,3550.bmp,no,no,no,no,yes,no,no,no,3042106,3045752
98,EC_subj_only,normal,EC_subj_only,normal,7,trelle,positive,NA,neither,none_correct,2050.bmp,8190.bmp,5994.bmp,2311.bmp,1710.bmp,2057.bmp,no,no,no,no,no,no,no,yes,3046780,3049276
98,EC_subj_only,normal,EC_subj_only,normal,8,parlic,negative,70_80,paired_cs,9220.bmp,6242.bmp,9561.bmp,6555.bmp,9830.bmp,8485.bmp,9220.bmp,no,no,no,no,no,yes,no,no,3050301,3054765
98,EC_subj_only,normal,EC_subj_only,normal,9,fasyia,positive,NA,neither,none_correct,8170.bmp,8420.bmp,7230.bmp,2150.bmp,4622.bmp,2071.bmp,no,no,yes,no,no,no,no,no,3055790,3059950
98,EC_subj_only,normal,EC_subj_only,normal,10,coneoy,positive,50_60,paired_cs,5994.bmp,4220.bmp,5830.bmp,1463.bmp,7230.bmp,5994.bmp,8496.bmp,no,no,no,no,yes,no,no,no,3060975,3063693
98,EC_subj_only,normal,EC_subj_only,normal,11,cocox,negative,NA,neither,none_correct,9920.bmp,6242.bmp,2750.bmp,9520.bmp,2053.bmp,9182.bmp,no,no,yes,no,no,no,no,no,3064730,3068672
98,EC_subj_only,normal,EC_subj_only,normal,12,boity,positive,70_80,distractor,none_correct,2058.bmp,8370.bmp,5629.bmp,1710.bmp,2900.2.bmp,2091.bmp,no,no,no,no,no,no,yes,no,3069697,3074186
98,EC_subj_only,normal,EC_subj_only,normal,13,sepah,positive,70_80,paired_cs,7502.bmp,8496.bmp,2050.bmp,5831.bmp,1463.bmp,7502.bmp,1999.bmp,no,no,no,no,yes,no,no,no,3075210,3078231
98,EC_subj_only,normal,EC_subj_only,normal,14,fusia,positive,70_80,paired_cs,8470.bmp,5910.bmp,2080.bmp,8470.bmp,5831.bmp,2340.bmp,1710.bmp,no,no,no,no,no,no,yes,no,3079256,3088093
98,EC_subj_only,normal,EC_subj_only,normal,15,madjas,negative,NA,neither,none_correct,6530.bmp,9102.bmp,2900.bmp,9000.bmp,6570.1.bmp,6242.bmp,yes,no,no,no,no,no,no,no,3089118,3094742
98,EC_subj_only,normal,EC_subj_only,normal,16,eyalt,negative,90_10,paired_cs,9400.bmp,2053.bmp,1525.bmp,9400.bmp,9435.bmp,9560.bmp,6831.bmp,yes,no,no,no,no,no,no,no,3095767,3099941
98,EC_subj_only,normal,EC_subj_only,normal,17,orikle,positive,NA,neither,none_correct,2040.bmp,2208.bmp,8330.bmp,2080.bmp,7350.bmp,8501.bmp,no,no,no,no,no,no,no,yes,3100966,3104408
98,EC_subj_only,normal,EC_subj_only,normal,18,gypass,positive,50_60,distractor,none_correct,8190.bmp,2900.2.bmp,2660.bmp,1463.bmp,5460.bmp,8080.bmp,no,no,no,no,yes,no,no,no,3105433,3109377
98,EC_subj_only,normal,EC_subj_only,normal,19,coline,positive,50_60,paired_cs,5830.bmp,1999.bmp,2660.bmp,7580.bmp,5830.bmp,2080.bmp,7502.bmp,no,no,no,yes,no,no,no,no,3110402,3113217
98,EC_subj_only,normal,EC_subj_only,normal,20,itafy,negative,70_80,paired_cs,9007.bmp,3220.bmp,6838.bmp,9342.bmp,9430.bmp,6242.bmp,9007.bmp,no,yes,no,no,no,no,no,no,3114242,3123190
98,EC_subj_only,normal,EC_subj_only,normal,21,hiatts,positive,NA,neither,none_correct,7580.bmp,5629.bmp,5994.bmp,8420.bmp,2160.bmp,2791.bmp,no,no,no,no,no,no,no,yes,3124214,3126408
98,EC_subj_only,normal,EC_subj_only,normal,22,punnot,negative,90_10,paired_cs,2375.1.bmp,2710.bmp,9180.bmp,9561.bmp,2375.1.bmp,9430.bmp,6570.1.bmp,no,no,no,no,no,yes,no,no,3127432,3129622
98,EC_subj_only,normal,EC_subj_only,normal,23,haraks,positive,70_80,distractor,none_correct,1999.bmp,8501.bmp,5831.bmp,2340.bmp,5594.bmp,8200.bmp,no,no,no,no,no,no,no,yes,3130646,3135339
98,EC_subj_only,normal,EC_subj_only,normal,24,evone,negative,30_40,paired_cs,9330.bmp,9050.bmp,9340.bmp,9330.bmp,9400.bmp,9630.bmp,3300.bmp,no,yes,no,no,no,no,no,no,3136363,3139067
98,EC_subj_only,normal,EC_subj_only,normal,25,twavel,positive,30_40,paired_cs,2208.bmp,2208.bmp,4220.bmp,2050.bmp,4622.bmp,2311.bmp,7502.bmp,no,no,no,no,no,no,no,yes,3140092,3144048
98,EC_subj_only,normal,EC_subj_only,normal,26,avouco,positive,NA,neither,none_correct,5629.bmp,2160.bmp,1440.bmp,5594.bmp,2208.bmp,1710.bmp,no,no,yes,no,no,no,no,no,3145072,3148082
98,EC_subj_only,normal,EC_subj_only,normal,27,obtfin,positive,NA,neither,none_correct,2071.bmp,8170.bmp,8200.bmp,1440.bmp,8330.bmp,4606.bmp,no,no,no,no,no,yes,no,no,3149106,3152759
98,EC_subj_only,normal,EC_subj_only,normal,28,spanal,positive,90_10,distractor,none_correct,2791.bmp,8330.bmp,2070.bmp,2208.bmp,1440.bmp,2040.bmp,yes,no,no,no,no,no,no,no,3153783,3157632
