subject_nr,learning_condition,memory_condition,trial_nr,trial_type,cs_nr,block,blockhalf,cs_dur_level,filler,masking,us_valence,us_filename,cs_filename,mask,cs_duration,postmask_duration,us_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,paired_opt_1,paired_opt_2,paired_opt_3,paired_opt_4,paired_opt_5,paired_opt_6,val_opt_1,val_opt_2,val_opt_3,val_opt_4,val_opt_5,val_opt_6,vf_neg,vf_pos,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6,time_blank_show,time_fixation_dot_show,time_cs_us_show,time_postmask_show,time_us_show,time_valence_focus,time_subjective_rating,time_identification,time_logger
89,EC_subj_obj_uncorr,inclusion,0,subjective,cs27,1,first,90_10,no,no,positive,8190.bmp,ankoe,NA,100,50,2350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,246193,247096,247199,247302,247355,249706,NA,NA,252252
89,EC_subj_obj_uncorr,inclusion,1,subjective,cs8,1,first,30_40,no,yes,negative,9220.bmp,styla,maske_2.bmp,40,50,2410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,252414,253318,253422,253465,253518,255928,256804,NA,261211
89,EC_subj_obj_uncorr,inclusion,2,subjective,cs19,1,first,70_80,no,yes,positive,5910.bmp,funery,maske_9.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,261370,262273,262376,262449,262502,264882,265598,NA,268394
89,EC_subj_obj_uncorr,inclusion,3,uncorr_objective,cs30,1,first,90_10,no,no,negative,2276.bmp,ordit,NA,90,50,2360,seloom,haraks,ordit,craeky,dowsal,strank,other_cs,unpaired,current_cs,unpaired,other_cs,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,268568,269471,269574,269667,269720,272080,NA,NA,273747
89,EC_subj_obj_uncorr,inclusion,4,uncorr_objective,cs34,1,first,90_10,no,no,negative,2710.bmp,dowsal,NA,90,50,2360,haraks,seloom,ordit,craeky,dowsal,strank,unpaired,other_cs,other_cs,unpaired,current_cs,other_cs,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,273928,274831,274934,275028,275081,277441,NA,NA,279117
89,EC_subj_obj_uncorr,inclusion,5,subjective,cs15,1,first,50_60,no,yes,positive,5831.bmp,pubio,maske_1.bmp,50,50,2400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,279278,280182,280285,280338,280391,282791,283827,NA,286379
89,EC_subj_obj_uncorr,inclusion,6,uncorr_objective,cs18,1,first,50_60,no,yes,negative,2900.bmp,naptor,maske_5.bmp,60,50,2390,evone,ribual,oureen,naptor,sarary,donrey,unpaired,other_cs,other_cs,current_cs,other_cs,unpaired,NA,NA,NA,NA,NA,NA,yes,no,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,286541,287444,287547,287610,287663,290053,NA,290763,296058
89,EC_subj_obj_uncorr,inclusion,7,subjective,cs24,1,first,70_80,no,yes,negative,9342.bmp,zillie,maske_3.bmp,80,50,2370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,NA,NA,NA,NA,NA,NA,296229,297132,297237,297320,297373,299743,302621,NA,305173
89,EC_subj_obj_uncorr,inclusion,8,subjective,cs20,1,first,70_80,no,yes,negative,9265.bmp,altine,maske_6.bmp,70,50,2380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,yes,no,no,no,NA,NA,NA,NA,NA,NA,305340,306243,306346,306419,306472,308852,311235,NA,315427
89,EC_subj_obj_uncorr,inclusion,9,uncorr_objective,cs13,1,first,50_60,no,yes,positive,2209.bmp,sarary,maske_7.bmp,60,50,2390,ribual,donrey,naptor,oureen,sarary,evone,other_cs,unpaired,other_cs,other_cs,current_cs,unpaired,NA,NA,NA,NA,NA,NA,no,yes,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,315583,316487,316590,316653,316706,319096,NA,320928,323721
