subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank,pre_post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,0,prien,negative,30_40,paired_cs,6,3347451,3350906,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,1,jolver,NA,NA,neither,12,3351926,3356361,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,2,fasyia,positive,70_80,paired_cs,11,3357380,3360455,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,3,gypass,negative,70_80,distractor,10,3361474,3363796,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,4,naptor,negative,50_60,paired_cs,11,3364815,3369214,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,5,seloom,NA,NA,neither,10,3370233,3377287,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,6,pubio,positive,30_40,paired_cs,10,3378307,3381436,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,7,itplic,positive,70_80,paired_cs,10,3382455,3385226,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,8,piend,negative,70_80,paired_cs,10,3386245,3387968,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,9,ribual,positive,70_80,paired_cs,10,3388987,3393251,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,10,hiatts,NA,NA,neither,8,3394270,3396583,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,11,dowsal,negative,90_10,distractor,11,3397603,3401764,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,12,teutos,negative,50_60,distractor,12,3402783,3406128,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,13,oacart,positive,90_10,paired_cs,7,3407148,3410152,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,14,cocox,NA,NA,neither,8,3411171,3420777,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,15,peush,positive,30_40,paired_cs,13,3421796,3423645,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,16,twavel,negative,50_60,paired_cs,6,3424664,3426392,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,17,yeomun,NA,NA,neither,6,3427411,3429824,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,18,coline,negative,90_10,paired_cs,13,3430843,3434061,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,19,treati,positive,90_10,paired_cs,13,3435081,3437276,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,20,casteg,NA,NA,neither,6,3438295,3440723,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,21,vegom,positive,30_40,paired_cs,12,3441742,3444631,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,22,trelle,NA,NA,neither,7,3445651,3447958,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,23,clish,NA,NA,neither,6,3448977,3451277,post
88,EC_subj_obj_corr,exclusion,EC_subj_obj_corr,exclusion,24,funery,positive,50_60,paired_cs,13,3452296,3459341,post
