subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,eval_rating,time_rating_form,time_rating_blank,pre_post
18,EC_only,exclusion,EC_only,exclusion,0,jinkup,NA,NA,neither,9,142503,145146,pre
18,EC_only,exclusion,EC_only,exclusion,1,palpid,NA,NA,neither,12,146167,148058,pre
18,EC_only,exclusion,EC_only,exclusion,2,treati,negative,30_40,paired_cs,4,149080,151428,pre
18,EC_only,exclusion,EC_only,exclusion,3,clish,NA,NA,neither,3,152450,154697,pre
18,EC_only,exclusion,EC_only,exclusion,4,lescry,NA,NA,neither,0,155716,157162,pre
18,EC_only,exclusion,EC_only,exclusion,5,oltar,positive,90_10,paired_cs,6,158183,159629,pre
18,EC_only,exclusion,EC_only,exclusion,6,ordit,NA,NA,neither,9,160650,162534,pre
18,EC_only,exclusion,EC_only,exclusion,7,ribual,NA,NA,neither,11,163555,165456,pre
18,EC_only,exclusion,EC_only,exclusion,8,unuoll,positive,90_10,paired_cs,1,166476,169038,pre
18,EC_only,exclusion,EC_only,exclusion,9,haraks,NA,NA,neither,1,170059,171855,pre
18,EC_only,exclusion,EC_only,exclusion,10,sarary,negative,90_10,paired_cs,7,172875,175766,pre
18,EC_only,exclusion,EC_only,exclusion,11,obtfin,NA,NA,neither,6,176787,178448,pre
18,EC_only,exclusion,EC_only,exclusion,12,naptor,NA,NA,neither,9,179469,181062,pre
18,EC_only,exclusion,EC_only,exclusion,13,teutos,positive,70_80,paired_cs,9,182081,183636,pre
18,EC_only,exclusion,EC_only,exclusion,14,appobe,negative,70_80,paired_cs,10,184655,186099,pre
18,EC_only,exclusion,EC_only,exclusion,15,jolver,NA,NA,neither,10,187118,188454,pre
18,EC_only,exclusion,EC_only,exclusion,16,voual,positive,70_80,paired_cs,1,189474,191141,pre
18,EC_only,exclusion,EC_only,exclusion,17,guote,negative,90_10,paired_cs,3,192160,193723,pre
18,EC_only,exclusion,EC_only,exclusion,18,symoan,NA,NA,neither,3,194742,196186,pre
18,EC_only,exclusion,EC_only,exclusion,19,oureen,NA,NA,neither,8,197204,199428,pre
18,EC_only,exclusion,EC_only,exclusion,20,fexony,NA,NA,neither,2,200447,202110,pre
