subject_nr,learning_condition,memory_condition,condition_learning,condition_memory,trial_nr,cs_filename,us_valence,cs_dur_level,type,vm_pos,vm_neg,vm_neither,vm_dk,time_vm_form,time_vm_blank
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,0,sepah,both,70_80,distractor,no,no,no,yes,3667893,3673115
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,1,styla,positive,50_60,paired_cs,no,no,no,yes,3674136,3675691
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,2,itplic,NA,NA,neither,no,no,yes,no,3676710,3679047
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,3,lobee,both,70_80,distractor,no,yes,no,no,3680070,3682403
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,4,cenbre,NA,NA,neither,no,yes,no,no,3683422,3685419
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,5,oureen,negative,50_60,paired_cs,no,yes,no,no,3686438,3689985
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,6,babit,NA,NA,neither,no,no,yes,no,3691004,3692341
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,7,prien,positive,70_80,paired_cs,yes,no,no,no,3693361,3696255
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,8,fusia,negative,30_40,paired_cs,no,no,no,yes,3697274,3699279
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,9,peush,negative,30_40,paired_cs,no,yes,no,no,3700298,3702077
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,10,seork,NA,NA,neither,no,no,yes,no,3703097,3704656
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,11,fasyia,NA,NA,neither,no,no,no,yes,3705675,3708475
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,12,hiatts,NA,NA,neither,no,no,yes,no,3709494,3718292
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,13,parwax,NA,NA,neither,no,no,no,yes,3719312,3738803
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,14,piend,both,70_80,distractor,yes,no,no,no,3739822,3748263
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,15,oltar,negative,90_10,paired_cs,no,yes,no,no,3749282,3756933
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,16,pevoke,negative,50_60,paired_cs,no,yes,no,no,3757952,3759517
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,17,chnap,both,90_10,distractor,no,no,yes,no,3760536,3761982
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,18,yeomun,NA,NA,neither,no,no,yes,no,3763004,3764633
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,19,ordit,NA,NA,neither,no,no,yes,no,3765652,3766545
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,20,haraks,both,90_10,distractor,no,no,no,yes,3767564,3768793
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,21,naptor,both,50_60,distractor,no,no,yes,no,3769812,3770932
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,22,appobe,negative,90_10,paired_cs,yes,no,no,no,3771951,3774511
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,23,teutos,NA,NA,neither,no,no,yes,no,3775531,3777202
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,24,makan,NA,NA,neither,no,no,no,yes,3778221,3783228
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,25,avouco,NA,NA,neither,no,no,yes,no,3784248,3786363
66,EC_subj_obj_uncorr,exclusion,EC_subj_obj_uncorr,exclusion,26,pubio,NA,NA,neither,no,no,yes,no,3787382,3790612
