subject_nr,cs_filename,s_bek,e_bek,e_unbek,s_unbek
30,26_dunkel.png,no,no,no,yes
30,9_dunkel.png,no,no,no,yes
30,37_dunkel.png,no,no,no,yes
30,18_dunkel.png,no,no,no,yes
30,4_dunkel.png,no,no,no,yes
30,28_dunkel.png,no,no,no,yes
30,2_dunkel.png,no,no,no,yes
30,7_dunkel.png,no,no,no,yes
30,15_dunkel.png,no,no,no,yes
30,33_dunkel.png,no,no,no,yes
30,13_dunkel.png,no,no,no,yes
30,11_dunkel.png,no,no,no,yes
30,14_dunkel.png,no,no,no,yes
30,27_dunkel.png,no,no,no,yes
30,29_dunkel.png,no,no,no,yes
30,16_dunkel.png,no,no,no,yes
30,39_dunkel.png,no,no,no,yes
30,1_dunkel.png,no,no,no,yes
30,3_dunkel.png,no,no,no,yes
30,25_dunkel.png,no,no,no,yes
30,31_dunkel.png,no,no,no,yes
30,24_dunkel.png,no,no,no,yes
30,23_dunkel.png,no,no,no,yes
30,36_dunkel.png,no,no,no,yes
30,17_dunkel.png,no,no,no,yes
30,38_dunkel.png,no,no,no,yes
30,20_dunkel.png,no,no,no,yes
30,32_dunkel.png,no,no,no,yes
30,12_dunkel.png,no,no,no,yes
30,5_dunkel.png,no,no,no,yes
30,35_dunkel.png,no,no,no,yes
30,22_dunkel.png,no,no,no,yes
30,34_dunkel.png,no,no,no,yes
30,30_dunkel.png,no,no,no,yes
30,6_dunkel.png,no,no,no,yes
30,40_dunkel.png,no,no,no,yes
30,10_dunkel.png,no,no,no,yes
30,21_dunkel.png,no,no,no,yes
30,8_dunkel.png,no,no,no,yes
30,19_dunkel.png,no,no,no,yes
