subject_nr,block_nr,trial_nr,trial_task,cs_contrast,cs_duration,cs_numbers,cs_filename,cs_us_order,cs_location,us_valence,us_filename,us_type,cs_w_us_type,us_duration,pre_mask,post_mask,id_opt_1,id_opt_2,id_opt_3,id_opt_4,id_opt_5,id_opt_6,id_opt_1_f,id_opt_2_f,id_opt_3_f,id_opt_4_f,id_opt_5_f,id_opt_6_f,slide_1,slide_2,slide_3,slide_4,slide_5,slide_6,time_subj,time_obj,time_blank,subj_1,subj_2,subj_3,subj_4,subj_5,subj_6,opt_1,opt_2,opt_3,opt_4,opt_5,opt_6
3,1,0,objective,3,70,3,3_mittel.png,us_first,cs_left,positive,Leben,word,picture,880,fmaske_4.bmp,fmaske_2.bmp,3,10,6,32,20,7,3_dunkel.png,10_dunkel.png,6_dunkel.png,32_dunkel.png,20_dunkel.png,7_dunkel.png,420675,421179,422083,422187,422261,422315,NA,423195,428843,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no
3,1,1,subjective,1,100,15,15_dunkel.png,cs_first,cs_right,positive,Kuss,word,picture,2350,fmaske_10.bmp,fmaske_8.bmp,15,12,17,40,30,38,15_dunkel.png,12_dunkel.png,17_dunkel.png,40_dunkel.png,30_dunkel.png,38_dunkel.png,NA,429372,430276,430380,430484,430538,432889,NA,441030,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
3,1,2,objective,3,90,38,38_mittel.png,cs_first,cs_left,negative,Tyrann,word,picture,2360,fmaske_8.bmp,fmaske_12.bmp,12,14,40,17,30,38,12_dunkel.png,14_dunkel.png,40_dunkel.png,17_dunkel.png,30_dunkel.png,38_dunkel.png,NA,441580,442485,442589,442683,442737,NA,445097,446424,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes
3,1,3,subjective,3,30,13,13_mittel.png,us_first,cs_left,negative,Abscheu,word,picture,920,fmaske_6.bmp,fmaske_1.bmp,39,34,33,11,13,37,39_dunkel.png,34_dunkel.png,33_dunkel.png,11_dunkel.png,13_dunkel.png,37_dunkel.png,446963,447468,448372,448476,448510,448564,449484,NA,455268,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
3,1,4,subjective,1,90,15,15_dunkel.png,us_first,cs_left,positive,8080.bmp,picture,picture,860,fmaske_3.bmp,fmaske_3.bmp,14,17,15,40,12,30,14_dunkel.png,17_dunkel.png,15_dunkel.png,40_dunkel.png,12_dunkel.png,30_dunkel.png,455911,456415,457319,457423,457517,457571,458431,NA,464668,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA
3,1,5,subjective,2,100,14,14_hell.png,cs_first,cs_right,positive,Leben,word,picture,2350,fmaske_4.bmp,fmaske_1.bmp,12,16,38,31,14,40,12_dunkel.png,16_dunkel.png,38_dunkel.png,31_dunkel.png,14_dunkel.png,40_dunkel.png,NA,465202,466107,466211,466315,466369,468720,NA,470400,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
3,1,6,subjective,1,100,31,31_dunkel.png,cs_first,cs_right,negative,9265.bmp,picture,picture,2350,fmaske_12.bmp,fmaske_8.bmp,14,16,30,31,15,40,14_dunkel.png,16_dunkel.png,30_dunkel.png,31_dunkel.png,15_dunkel.png,40_dunkel.png,NA,471046,471950,472054,472158,472212,474563,NA,476155,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
3,1,7,subjective,3,30,39,39_mittel.png,us_first,cs_left,negative,Frust,word,picture,920,fmaske_1.bmp,fmaske_11.bmp,34,24,22,8,13,39,34_dunkel.png,24_dunkel.png,22_dunkel.png,8_dunkel.png,13_dunkel.png,39_dunkel.png,476693,477197,478101,478205,478239,478293,479213,NA,481263,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA
3,1,8,subjective,3,30,33,33_mittel.png,us_first,cs_left,negative,Neid,word,picture,920,fmaske_2.bmp,fmaske_6.bmp,37,11,33,34,39,28,37_dunkel.png,11_dunkel.png,33_dunkel.png,34_dunkel.png,39_dunkel.png,28_dunkel.png,481814,482319,483223,483327,483361,483415,484335,NA,485578,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA
3,1,9,objective,3,50,5,5_mittel.png,us_first,cs_right,negative,6530.bmp,picture,picture,900,fmaske_5.bmp,fmaske_3.bmp,18,23,9,1,5,26,18_dunkel.png,23_dunkel.png,9_dunkel.png,1_dunkel.png,5_dunkel.png,26_dunkel.png,486221,486726,487630,487734,487788,487842,NA,488743,490239,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no
3,1,10,subjective,2,30,37,37_hell.png,us_first,cs_left,positive,1440.bmp,picture,picture,920,fmaske_5.bmp,fmaske_11.bmp,34,8,39,28,37,22,34_dunkel.png,8_dunkel.png,39_dunkel.png,28_dunkel.png,37_dunkel.png,22_dunkel.png,490903,491408,492312,492416,492450,492504,493424,NA,496849,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA
3,1,11,objective,1,60,35,35_dunkel.png,cs_first,cs_left,positive,Freizeit,word,picture,2390,fmaske_12.bmp,fmaske_8.bmp,26,23,35,1,4,9,26_dunkel.png,23_dunkel.png,35_dunkel.png,1_dunkel.png,4_dunkel.png,9_dunkel.png,NA,497384,498288,498392,498456,498510,NA,500900,502264,NA,NA,NA,NA,NA,NA,no,no,yes,no,no,no
3,1,12,subjective,2,80,10,10_hell.png,us_first,cs_right,negative,Gewalt,word,picture,870,fmaske_10.bmp,fmaske_8.bmp,10,29,7,6,20,3,10_dunkel.png,29_dunkel.png,7_dunkel.png,6_dunkel.png,20_dunkel.png,3_dunkel.png,502797,503301,504205,504309,504393,504447,505318,NA,507807,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA
3,1,13,objective,3,50,9,9_mittel.png,us_first,cs_right,negative,9182.bmp,picture,picture,900,fmaske_6.bmp,fmaske_10.bmp,4,23,9,5,35,18,4_dunkel.png,23_dunkel.png,9_dunkel.png,5_dunkel.png,35_dunkel.png,18_dunkel.png,508450,508955,509859,509963,510017,510071,NA,510972,512503,NA,NA,NA,NA,NA,NA,no,no,yes,no,no,no
3,1,14,subjective,3,80,32,32_mittel.png,us_first,cs_right,positive,Liebe,word,picture,870,fmaske_8.bmp,fmaske_4.bmp,7,20,3,21,10,32,7_dunkel.png,20_dunkel.png,3_dunkel.png,21_dunkel.png,10_dunkel.png,32_dunkel.png,513043,513548,514452,514556,514640,514694,515565,NA,520477,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA
3,1,15,subjective,1,30,22,22_dunkel.png,us_first,cs_right,positive,Kinder,word,picture,920,fmaske_8.bmp,fmaske_6.bmp,33,8,11,37,22,28,33_dunkel.png,8_dunkel.png,11_dunkel.png,37_dunkel.png,22_dunkel.png,28_dunkel.png,521004,521509,522413,522518,522552,522606,523527,NA,524634,no,no,no,no,yes,no,NA,NA,NA,NA,NA,NA
3,1,16,objective,3,70,6,6_mittel.png,cs_first,cs_right,negative,Gemeinheit,word,picture,2380,fmaske_2.bmp,fmaske_5.bmp,20,32,19,3,10,6,20_dunkel.png,32_dunkel.png,19_dunkel.png,3_dunkel.png,10_dunkel.png,6_dunkel.png,NA,525166,526070,526174,526248,526302,NA,528683,529551,NA,NA,NA,NA,NA,NA,no,no,no,no,no,yes
