subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,0,NA,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Glücklich,attribute_practice,attribute_practice,positive,m,m,1,859351,859741,859742,1945,none,none,none,none,861711
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,1,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Bedrohung,attribute_practice,attribute_practice,negative,c,c,1,862313,862701,862702,563,none,none,none,none,863291
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,2,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Freude,attribute_practice,attribute_practice,positive,m,m,1,863881,864271,864271,1197,none,none,none,none,865491
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,3,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Versagen,attribute_practice,attribute_practice,negative,c,c,1,866021,866411,866411,474,none,none,none,none,866911
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,4,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Trauer,attribute_practice,attribute_practice,negative,c,c,1,867441,867831,867831,683,none,none,none,none,868541
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,5,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Frieden,attribute_practice,attribute_practice,positive,m,m,1,869081,869471,869471,577,none,none,none,none,870071
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,6,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Spaß,attribute_practice,attribute_practice,positive,m,m,1,870611,871001,871001,566,none,none,none,none,871592
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,7,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Wundervoll,attribute_practice,attribute_practice,positive,m,m,1,872112,872502,872502,519,none,none,none,none,873042
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,8,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Schmerz,attribute_practice,attribute_practice,negative,c,c,1,873572,873961,873962,548,none,none,none,none,874532
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,9,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Schlecht,attribute_practice,attribute_practice,negative,c,c,1,875071,875461,875462,519,none,none,none,none,876001
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,10,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Wundervoll,attribute_practice,attribute_practice,positive,m,m,1,876531,876921,876922,462,none,none,none,none,877411
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,11,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Liebe,attribute_practice,attribute_practice,positive,m,m,1,877981,878371,878371,507,none,none,none,none,878901
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,12,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Glücklich,attribute_practice,attribute_practice,positive,m,m,1,879471,879861,879861,424,none,none,none,none,880311
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,13,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Bedrohung,attribute_practice,attribute_practice,negative,c,c,1,880891,881281,881281,498,none,none,none,none,881801
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,14,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Freude,attribute_practice,attribute_practice,positive,m,m,1,882371,882761,882761,498,none,none,none,none,883281
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,15,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Böse,attribute_practice,attribute_practice,negative,c,c,1,883951,884341,884341,475,none,none,none,none,884841
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,16,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Trauer,attribute_practice,attribute_practice,negative,c,c,1,885402,885791,885791,538,none,none,none,none,886351
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,17,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Böse,attribute_practice,attribute_practice,negative,c,c,1,886942,887331,887331,625,none,none,none,none,887981
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,18,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Versagen,attribute_practice,attribute_practice,negative,c,c,1,888511,888901,888902,518,none,none,none,none,889442
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,19,change,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Liebe,attribute_practice,attribute_practice,positive,m,m,1,889971,890361,890362,384,none,none,none,none,890771
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,20,repetition,attribute_practice,attribute_practice,attribute_practice,attribute_practice,attribute_practice,Negativ,Positiv,Frieden,attribute_practice,attribute_practice,positive,m,m,1,891301,891691,891692,891,none,none,none,none,892611
