subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,0,NA,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,starting_scream,target_practice,m,m,1,1596864,1597254,1597254,862,none,none,none,none,1598144
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,1,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,starting_scream,target_practice,m,m,1,1598714,1599104,1599104,384,none,none,none,none,1599514
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,2,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple4.bmp,purple,starting_melody,target_practice,c,c,1,1600074,1600464,1600464,492,none,none,none,none,1600984
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,3,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,starting_scream,target_practice,m,m,1,1601564,1601954,1601954,445,none,none,none,none,1602424
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,4,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,starting_scream,target_practice,m,m,1,1602994,1603384,1603384,288,none,none,none,none,1603694
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,5,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,starting_scream,target_practice,m,m,1,1604263,1604653,1604654,233,none,none,none,none,1604913
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,6,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple2.bmp,purple,starting_melody,target_practice,c,c,1,1605473,1605864,1605865,419,none,none,none,none,1606304
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,7,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,starting_scream,target_practice,m,m,1,1606875,1607264,1607265,331,none,none,none,none,1607614
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,8,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,starting_scream,target_practice,m,m,1,1608184,1608574,1608574,316,none,none,none,none,1608914
35,old,ending_first,incompatible_first,compatible_first,ES_red,second_IAT_second_block,starting,incompatible,9,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple4.bmp,purple,starting_melody,target_practice,c,c,1,1609464,1609854,1609854,333,none,none,none,none,1610214
