subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,0,none,attribute,NA,NA,Grüne Wesen,Rote Wesen,Negativ,Positiv,Trauer,NA,NA,negative,c,c,1,1015440,1015829,1015829,559,none,none,none,none,1016409
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,1,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red2.bmp,red,ending_melody,NA,m,m,1,1017109,1017499,1017499,467,none,none,none,none,1017989
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,2,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green1.bmp,green,ending_scream,NA,c,c,1,1018679,1019069,1019069,357,none,none,none,none,1019449
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,3,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red1.bmp,red,ending_melody,NA,m,m,1,1020139,1020529,1020529,379,none,none,none,none,1020929
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,4,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,1021648,1022038,1022039,785,none,none,none,none,1022848
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,5,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Spaß,NA,NA,positive,m,m,1,1023568,1023958,1023958,430,none,none,none,none,1024408
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,6,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green4.bmp,green,ending_scream,NA,c,c,1,1025138,1025528,1025528,493,none,none,none,none,1026048
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,7,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,c,0,1026768,1027158,1027158,459,m,1,1027628,461,1028108
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,8,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green3.bmp,green,ending_scream,NA,c,c,1,1028799,1029189,1029189,607,none,none,none,none,1029819
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,9,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green2.bmp,green,ending_scream,NA,c,c,1,1030509,1030899,1030899,391,none,none,none,none,1031309
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,10,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red4.bmp,red,ending_melody,NA,m,m,1,1032009,1032399,1032399,853,none,none,none,none,1033279
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,11,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red3.bmp,red,ending_melody,NA,m,m,1,1034039,1034429,1034429,391,none,none,none,none,1034849
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,12,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,1035618,1036008,1036009,692,none,none,none,none,1036728
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,13,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Versagen,NA,NA,negative,c,c,1,1037532,1037928,1037929,500,none,none,none,none,1038448
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,14,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green4.bmp,green,ending_scream,NA,c,c,1,1039158,1039548,1039548,519,none,none,none,none,1040088
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,15,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,1040808,1041198,1041198,518,none,none,none,none,1041738
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,16,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Wundervoll,NA,NA,positive,m,m,1,1042468,1042858,1042858,564,none,none,none,none,1043448
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,17,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red1.bmp,red,ending_melody,NA,m,m,1,1044148,1044538,1044538,352,none,none,none,none,1044918
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,18,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green2.bmp,green,ending_scream,NA,c,c,1,1045618,1046008,1046008,406,none,none,none,none,1046439
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,19,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Schlecht,NA,NA,negative,c,c,1,1047169,1047559,1047559,527,none,none,none,none,1048109
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,20,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Freude,NA,NA,positive,m,m,1,1048829,1049218,1049219,1216,none,none,none,none,1050458
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,21,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,1051178,1051568,1051569,486,none,none,none,none,1052078
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,22,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,1052798,1053188,1053188,646,none,none,none,none,1053858
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,23,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red4.bmp,red,ending_melody,NA,m,m,1,1054548,1054938,1054938,361,none,none,none,none,1055318
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,24,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green3.bmp,green,ending_scream,NA,c,c,1,1056018,1056408,1056408,495,none,none,none,none,1056928
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,25,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green1.bmp,green,ending_scream,NA,c,c,1,1057628,1058018,1058018,363,none,none,none,none,1058408
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,26,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red3.bmp,red,ending_melody,NA,m,m,1,1059118,1059508,1059508,832,none,none,none,none,1060368
44,old,ending_first,incompatible_first,compatible_first,ES_green,first_IAT_first_block,ending,incompatible,27,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Trauer,NA,NA,negative,c,c,1,1061170,1061558,1061558,664,none,none,none,none,1062248
