subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,0,none,attribute,NA,NA,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,937682,938070,938070,635,none,none,none,none,938730
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,1,none,attribute,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,939440,939830,939830,532,none,none,none,none,940390
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,2,none,attribute,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Schmerz,NA,NA,negative,c,c,1,941120,941511,941511,482,none,none,none,none,942021
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,3,none,attribute,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Wundervoll,NA,NA,positive,m,m,1,942741,943131,943131,519,none,none,none,none,943671
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,4,none,target,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple2.bmp,purple,ending_melody,NA,m,m,1,944361,944751,944751,359,none,none,none,none,945131
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,5,none,attribute,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Spaß,NA,NA,positive,m,m,1,945851,946241,946241,483,none,none,none,none,946751
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,6,none,target,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow4.bmp,yellow,ending_scream,NA,c,c,1,947451,947841,947841,223,none,none,none,none,948091
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,7,none,attribute,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,948810,949200,949201,469,none,none,none,none,949691
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,8,none,attribute,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Freude,NA,NA,positive,m,m,1,950420,950810,950811,462,none,none,none,none,951300
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,9,none,target,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple3.bmp,purple,ending_melody,NA,m,m,1,952020,952410,952410,534,none,none,none,none,952970
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,10,none,attribute,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,953680,954070,954070,522,none,none,none,none,954610
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,11,none,target,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple4.bmp,purple,ending_melody,NA,m,m,1,955360,955750,955750,469,none,none,none,none,956240
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,12,none,attribute,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,957030,957420,957420,454,none,none,none,none,957900
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,13,none,attribute,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Trauer,NA,NA,negative,c,c,1,958704,959101,959101,508,none,none,none,none,959631
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,14,none,target,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow2.bmp,yellow,ending_scream,NA,c,c,1,960321,960711,960711,486,none,none,none,none,961221
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,15,none,target,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow1.bmp,yellow,ending_scream,NA,c,c,1,961921,962311,962311,322,none,none,none,none,962661
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,16,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple1.bmp,purple,ending_melody,NA,m,m,1,963360,963750,963751,383,none,none,none,none,964161
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,17,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow3.bmp,yellow,ending_scream,NA,c,c,1,964850,965240,965241,564,none,none,none,none,965830
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,18,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple1.bmp,purple,ending_melody,NA,m,m,1,966520,966910,966910,401,none,none,none,none,967330
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,19,none,attribute,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Schlecht,NA,NA,negative,c,c,1,968050,968440,968440,410,none,none,none,none,968870
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,20,none,attribute,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,969600,969990,969990,545,none,none,none,none,970560
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,21,none,target,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple3.bmp,purple,ending_melody,NA,m,m,1,971260,971650,971650,698,none,none,none,none,972370
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,22,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow2.bmp,yellow,ending_scream,NA,c,c,1,973070,973460,973460,474,none,none,none,none,973960
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,23,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple4.bmp,purple,ending_melody,NA,m,m,1,974650,975040,975040,439,none,none,none,none,975500
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,24,none,target,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple2.bmp,purple,ending_melody,NA,m,m,1,976211,976601,976601,366,none,none,none,none,976991
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,25,none,target,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple3.bmp,purple,ending_melody,NA,m,m,1,977681,978071,978071,417,none,none,none,none,978511
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,26,none,attribute,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Versagen,NA,NA,negative,c,c,1,979240,979630,979631,478,none,none,none,none,980130
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,27,none,attribute,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Böse,NA,NA,negative,c,c,1,980913,981310,981311,432,none,none,none,none,981770
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,28,none,attribute,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,982491,982880,982880,434,none,none,none,none,983340
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,29,none,attribute,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,984060,984450,984450,523,none,none,none,none,985000
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,30,none,target,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow3.bmp,yellow,ending_scream,NA,c,m,0,985690,986080,986080,511,c,1,986600,294,986920
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,31,none,attribute,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Freude,NA,NA,positive,m,m,1,987640,988030,988030,483,none,none,none,none,988540
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,32,none,attribute,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,989270,989660,989660,489,none,none,none,none,990170
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,33,none,target,task_switch,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple4.bmp,purple,ending_melody,NA,m,m,1,990860,991250,991250,750,none,none,none,none,992020
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,34,none,target,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_purple2.bmp,purple,ending_melody,NA,m,m,1,992710,993099,993100,460,none,none,none,none,993580
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,35,none,target,task_repetition,response_switch,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow1.bmp,yellow,ending_scream,NA,c,c,1,994280,994670,994671,369,none,none,none,none,995060
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,36,none,target,task_repetition,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow4.bmp,yellow,ending_scream,NA,c,c,1,995750,996140,996140,447,none,none,none,none,996610
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,37,none,attribute,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Böse,NA,NA,negative,c,c,1,997330,997720,997720,339,none,none,none,none,998080
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,38,none,target,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,IAT_yellow4.bmp,yellow,ending_scream,NA,c,c,1,998770,999160,999160,305,none,none,none,none,999490
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_first_block,ending,incompatible,39,none,attribute,task_switch,response_repetition,Gelbe Wesen,Lila Wesen,Negativ,Positiv,Schmerz,NA,NA,negative,c,c,1,1000210,1000600,1000600,417,none,none,none,none,1001040
