subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,0,none,attribute,NA,NA,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,1419996,1420386,1420387,557,none,none,none,none,1420966
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,1,none,target,task_switch,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_purple2.bmp,purple,starting_scream,NA,c,c,1,1421676,1422066,1422066,472,none,none,none,none,1422566
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,2,none,target,task_repetition,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_purple1.bmp,purple,starting_scream,NA,c,c,1,1423266,1423656,1423656,457,none,none,none,none,1424136
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,3,none,attribute,task_switch,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Versagen,NA,NA,negative,c,c,1,1424876,1425266,1425266,324,none,none,none,none,1425616
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,4,none,target,task_switch,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_purple3.bmp,purple,starting_scream,NA,c,c,1,1426326,1426716,1426716,406,none,none,none,none,1427146
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,5,none,target,task_repetition,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_yellow3.bmp,yellow,starting_melody,NA,m,m,1,1427846,1428236,1428236,462,none,none,none,none,1428726
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,6,none,target,task_repetition,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_purple4.bmp,purple,starting_scream,NA,c,c,1,1429435,1429826,1429826,490,none,none,none,none,1430336
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,7,none,attribute,task_switch,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,1431056,1431446,1431447,443,none,none,none,none,1431916
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,8,none,attribute,task_repetition,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Freude,NA,NA,positive,m,m,1,1432636,1433026,1433027,333,none,none,none,none,1433386
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,9,none,attribute,task_repetition,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,1434116,1434506,1434506,589,none,none,none,none,1435116
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,10,none,attribute,task_repetition,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Trauer,NA,NA,negative,c,c,1,1435866,1436256,1436256,460,none,none,none,none,1436736
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,11,none,target,task_switch,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_yellow2.bmp,yellow,starting_melody,NA,m,m,1,1437549,1437946,1437946,251,none,none,none,none,1438216
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,12,none,attribute,task_switch,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,1438936,1439326,1439326,463,none,none,none,none,1439816
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,13,none,target,task_switch,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_yellow1.bmp,yellow,starting_melody,NA,m,m,1,1440586,1440976,1440976,398,none,none,none,none,1441396
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,14,none,target,task_repetition,response_repetition,Lila Wesen,Gelbe Wesen,Negativ,Positiv,IAT_yellow4.bmp,yellow,starting_melody,NA,m,m,1,1442165,1442556,1442556,346,none,none,none,none,1442926
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,15,none,attribute,task_switch,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Böse,NA,NA,negative,c,c,1,1443645,1444035,1444036,486,none,none,none,none,1444545
42,old,ending_first,compatible_first,compatible_first,ES_green,second_IAT_first_block,starting,compatible,16,none,attribute,task_repetition,response_switch,Lila Wesen,Gelbe Wesen,Negativ,Positiv,Spaß,NA,NA,positive,m,c,0,1445275,1445665,1445666,366,m,1,1446045,426,1446495
