subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,0,NA,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,starting_scream,target_practice,c,c,1,793657,794047,794048,708,none,none,none,none,794777
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,1,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,starting_scream,target_practice,c,c,1,795407,795797,795798,571,none,none,none,none,796387
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,2,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow4.bmp,yellow,starting_scream,target_practice,c,c,1,796997,797387,797387,543,none,none,none,none,797957
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,3,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,starting_scream,target_practice,c,c,1,798557,798947,798947,562,none,none,none,none,799527
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,4,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red2.bmp,red,ending_scream,target_practice,m,m,1,800127,800517,800517,435,none,none,none,none,800977
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,5,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,starting_scream,target_practice,c,c,1,801588,801978,801978,342,none,none,none,none,802348
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,6,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red1.bmp,red,ending_scream,target_practice,m,m,1,802978,803368,803368,259,none,none,none,none,803648
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,7,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,starting_scream,target_practice,c,c,1,804258,804648,804648,245,none,none,none,none,804918
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,8,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red4.bmp,red,ending_scream,target_practice,m,c,0,805528,805918,805918,228,m,1,806158,2319,808498
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,9,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red1.bmp,red,ending_scream,target_practice,m,m,1,809117,809507,809508,458,none,none,none,none,809987
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,10,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,starting_scream,target_practice,c,c,1,810607,810997,810998,213,none,none,none,none,811237
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,11,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red3.bmp,red,ending_scream,target_practice,m,m,1,811861,812257,812258,313,none,none,none,none,812597
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,12,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red3.bmp,red,ending_scream,target_practice,m,m,1,813167,813557,813557,519,none,none,none,none,814097
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,13,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red2.bmp,red,ending_scream,target_practice,m,m,1,814668,815057,815057,284,none,none,none,none,815367
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,14,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red4.bmp,red,ending_scream,target_practice,m,m,1,815937,816327,816327,159,none,none,none,none,816507
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,15,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red1.bmp,red,ending_scream,target_practice,m,m,1,817077,817467,817467,299,none,none,none,none,817787
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,16,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,starting_scream,target_practice,c,c,1,818347,818738,818738,264,none,none,none,none,819028
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,17,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow4.bmp,yellow,starting_scream,target_practice,c,c,1,819618,820008,820008,337,none,none,none,none,820368
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,18,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red3.bmp,red,ending_scream,target_practice,m,m,1,820938,821328,821328,281,none,none,none,none,821628
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,19,repetition,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_red4.bmp,red,ending_scream,target_practice,m,c,0,822188,822578,822578,199,m,1,822788,3297,826108
61,new,scream_first,compatible_first,incompatible_first,ES_red,first_IAT_first_block,scream,compatible,20,change,target_practice,target_practice,target_practice,Gelbe Wesen,Rote Wesen,target_practice,target_practice,IAT_yellow4.bmp,yellow,starting_scream,target_practice,c,c,1,826677,827067,827068,343,none,none,none,none,827437
