subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,0,none,attribute,NA,NA,Grüne Wesen,Rote Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,1078215,1078605,1078605,555,none,none,none,none,1079185
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,1,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Schmerz,NA,NA,negative,c,m,0,1079925,1080315,1080315,360,c,1,1080685,1024,1081736
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,2,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Trauer,NA,NA,negative,c,c,1,1082456,1082846,1082846,543,none,none,none,none,1083416
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,3,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Wundervoll,NA,NA,positive,m,m,1,1084146,1084536,1084536,480,none,none,none,none,1085036
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,4,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red1.bmp,red,starting_melody,NA,m,m,1,1085736,1086126,1086126,425,none,none,none,none,1086576
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,5,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green2.bmp,green,starting_scream,NA,c,c,1,1087276,1087665,1087666,356,none,none,none,none,1088046
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,6,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green1.bmp,green,starting_scream,NA,c,c,1,1088745,1089135,1089136,362,none,none,none,none,1089525
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,7,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Spaß,NA,NA,positive,m,m,1,1090255,1090645,1090646,489,none,none,none,none,1091155
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,8,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green3.bmp,green,starting_scream,NA,c,c,1,1091845,1092235,1092236,436,none,none,none,none,1092695
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,9,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,1093415,1093805,1093805,423,none,none,none,none,1094255
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,10,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green4.bmp,green,starting_scream,NA,c,c,1,1094965,1095355,1095355,381,none,none,none,none,1095755
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,11,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red4.bmp,red,starting_melody,NA,m,m,1,1096487,1096875,1096875,393,none,none,none,none,1097295
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,12,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red3.bmp,red,starting_melody,NA,m,m,1,1097995,1098385,1098385,328,none,none,none,none,1098736
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,13,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Versagen,NA,NA,negative,c,c,1,1099466,1099856,1099856,419,none,none,none,none,1100296
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,14,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red2.bmp,red,starting_melody,NA,m,c,0,1101026,1101416,1101416,497,m,1,1101926,408,1102356
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,15,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,1103086,1103476,1103476,332,none,none,none,none,1103836
37,old,starting_first,incompatible_first,incompatible_first,ES_yellow,first_IAT_second_block,starting,compatible,16,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,1104566,1104955,1104956,475,none,none,none,none,1105456
