subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,0,none,attribute,NA,NA,Grüne Wesen,Rote Wesen,Negativ,Positiv,Wundervoll,NA,NA,positive,m,m,1,1412695,1413085,1413085,714,none,none,none,none,1413826
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,1,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red4.bmp,red,starting_melody,NA,m,m,1,1414549,1414946,1414946,840,none,none,none,none,1415806
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,2,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green4.bmp,green,starting_scream,NA,c,c,1,1416506,1416896,1416896,262,none,none,none,none,1417186
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,3,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Schmerz,NA,NA,negative,c,c,1,1417916,1418306,1418306,408,none,none,none,none,1418736
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,4,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Versagen,NA,NA,negative,c,c,1,1419456,1419846,1419846,482,none,none,none,none,1420356
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,5,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Glücklich,NA,NA,positive,m,m,1,1421076,1421466,1421466,541,none,none,none,none,1422026
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,6,none,attribute,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Liebe,NA,NA,positive,m,m,1,1422756,1423146,1423146,447,none,none,none,none,1423616
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,7,none,attribute,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Bedrohung,NA,NA,negative,c,c,1,1424346,1424736,1424736,432,none,none,none,none,1425196
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,8,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red1.bmp,red,starting_melody,NA,m,m,1,1425905,1426295,1426296,552,none,none,none,none,1426875
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,9,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red3.bmp,red,starting_melody,NA,m,m,1,1427585,1427975,1427975,481,none,none,none,none,1428475
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,10,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Schlecht,NA,NA,negative,c,c,1,1429205,1429595,1429595,315,none,none,none,none,1429935
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,11,none,target,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green2.bmp,green,starting_scream,NA,c,c,1,1430645,1431036,1431036,238,none,none,none,none,1431296
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,12,none,target,task_repetition,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green1.bmp,green,starting_scream,NA,c,c,1,1432016,1432406,1432406,281,none,none,none,none,1432706
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,13,none,attribute,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,Frieden,NA,NA,positive,m,m,1,1433436,1433826,1433826,486,none,none,none,none,1434336
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,14,none,target,task_switch,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_green3.bmp,green,starting_scream,NA,c,c,1,1435036,1435426,1435426,565,none,none,none,none,1436016
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,15,none,target,task_repetition,response_switch,Grüne Wesen,Rote Wesen,Negativ,Positiv,IAT_red2.bmp,red,starting_melody,NA,m,m,1,1436748,1437136,1437136,430,none,none,none,none,1437586
7,old,ending_first,incompatible_first,incompatible_first,ES_yellow,second_IAT_second_block,starting,compatible,16,none,attribute,task_switch,response_repetition,Grüne Wesen,Rote Wesen,Negativ,Positiv,Freude,NA,NA,positive,m,m,1,1438316,1438706,1438706,490,none,none,none,none,1439216
