subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,0,NA,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_red2.bmp,red,ending_scream,target_practice,m,m,1,1157794,1158184,1158184,675,none,none,none,none,1158884
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,1,change,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_green1.bmp,green,ending_melody,target_practice,c,c,1,1159454,1159844,1159844,386,none,none,none,none,1160254
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,2,change,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_red1.bmp,red,ending_scream,target_practice,m,m,1,1160804,1161194,1161194,448,none,none,none,none,1161664
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,3,repetition,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_red2.bmp,red,ending_scream,target_practice,m,m,1,1162244,1162634,1162634,380,none,none,none,none,1163034
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,4,change,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_green4.bmp,green,ending_melody,target_practice,c,c,1,1163653,1164043,1164044,498,none,none,none,none,1164563
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,5,repetition,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_green2.bmp,green,ending_melody,target_practice,c,c,1,1165167,1165563,1165564,457,none,none,none,none,1166043
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,6,repetition,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_green3.bmp,green,ending_melody,target_practice,c,c,1,1166603,1166993,1166994,309,none,none,none,none,1167323
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,7,change,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_red3.bmp,red,ending_scream,target_practice,m,m,1,1167904,1168293,1168293,411,none,none,none,none,1168724
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,8,repetition,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_red3.bmp,red,ending_scream,target_practice,m,m,1,1169294,1169684,1169684,286,none,none,none,none,1169994
35,old,ending_first,incompatible_first,compatible_first,ES_red,first_IAT_second_block,ending,compatible,9,change,target_practice,target_practice,target_practice,Grüne Wesen,Rote Wesen,target_practice,target_practice,IAT_green1.bmp,green,ending_melody,target_practice,c,c,1,1170554,1170944,1170944,359,none,none,none,none,1171324
