subject_nr,contrast_group,iat_order,block_order_1,block_order_2,color_counter,which_IAT_which_block,current_contrast,current_comp,trialnr,trial_type,target_type,task_switch, response_switch,left_target,right_target,left_attribute,right_attribute,trial_target,target_color,target_role,attribute_valence,correct_response,response_first_response,correct_first_response,time_assignments_show,time_target_show,time_first_response,response_time_first_response,response_force_correct,correct_force_correct,time_force_correct,response_time_force_correct,time_logger
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,0,NA,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,ending_melody,target_practice,m,m,1,1033924,1034314,1034314,557,none,none,none,none,1034894
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,1,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow4.bmp,yellow,ending_melody,target_practice,m,m,1,1035474,1035864,1035864,432,none,none,none,none,1036324
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,2,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple2.bmp,purple,ending_scream,target_practice,c,c,1,1036894,1037284,1037284,308,none,none,none,none,1037614
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,3,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple3.bmp,purple,ending_scream,target_practice,c,c,1,1038214,1038603,1038604,571,none,none,none,none,1039204
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,4,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,ending_melody,target_practice,m,m,1,1039823,1040213,1040214,359,none,none,none,none,1040594
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,5,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,ending_melody,target_practice,m,m,1,1041195,1041583,1041584,346,none,none,none,none,1041953
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,6,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow2.bmp,yellow,ending_melody,target_practice,m,m,1,1042513,1042903,1042903,319,none,none,none,none,1043243
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,7,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow1.bmp,yellow,ending_melody,target_practice,m,m,1,1043804,1044193,1044193,302,none,none,none,none,1044523
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,8,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple1.bmp,purple,ending_scream,target_practice,c,m,0,1045113,1045503,1045503,316,c,1,1045833,64,1045923
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,9,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,ending_melody,target_practice,m,m,1,1046494,1046884,1046884,380,none,none,none,none,1047284
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,10,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple4.bmp,purple,ending_scream,target_practice,c,c,1,1047844,1048234,1048234,395,none,none,none,none,1048654
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,11,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow3.bmp,yellow,ending_melody,target_practice,m,m,1,1049234,1049624,1049624,364,none,none,none,none,1050014
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,12,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_yellow4.bmp,yellow,ending_melody,target_practice,m,m,1,1050583,1050973,1050974,335,none,none,none,none,1051334
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,13,change,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple3.bmp,purple,ending_scream,target_practice,c,c,1,1051903,1052293,1052294,392,none,none,none,none,1052713
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,14,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple4.bmp,purple,ending_scream,target_practice,c,c,1,1053283,1053673,1053674,441,none,none,none,none,1054133
51,old,ending_first,compatible_first,incompatible_first,ES_purple,first_IAT_second_block,ending,incompatible,15,repetition,target_practice,target_practice,target_practice,Lila Wesen,Gelbe Wesen,target_practice,target_practice,IAT_purple4.bmp,purple,ending_scream,target_practice,c,c,1,1054693,1055083,1055083,321,none,none,none,none,1055423
