subject_nr,block,trialnr,trial_target,trial_prime,prime_color,prime_role,prime_us,prime_relation,correct_response,target_valence,prime_valence,color_counter,correct_first_response,response_first_response,response_time_first_response,fixation_show,prime_show,target_show
91,practice,0,sanft,IAT_green2.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,0,None,1500,1363560,1364064,1364268
91,practice,1,munter,IAT_purple4.bmp,purple,starting_scream,scream,starting,m,positive,negative,ES_green,1,m,762,1367345,1367849,1368053
91,practice,2,heiter,IAT_purple1.bmp,purple,starting_scream,scream,starting,m,positive,negative,ES_green,1,m,460,1369890,1370394,1370598
91,practice,3,streng,IAT_red4.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,472,1372130,1372635,1372839
91,practice,4,ehrlich,IAT_purple2.bmp,purple,starting_scream,scream,starting,m,positive,negative,ES_green,1,m,475,1374385,1374889,1375093
91,practice,5,witzig,IAT_green1.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,1,m,482,1376640,1377144,1377348
91,practice,6,sozial,IAT_yellow2.bmp,yellow,starting_melody,melody,starting,m,positive,positive,ES_green,1,m,444,1378903,1379407,1379611
91,practice,7,lästig,IAT_purple2.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,537,1381128,1381632,1381836
91,practice,8,gesund,IAT_red1.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,538,1383445,1383949,1384153
91,practice,9,gierig,IAT_yellow4.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,814,1385764,1386268,1386472
91,practice,10,feige,IAT_purple4.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,736,1388357,1388862,1389066
91,practice,11,falsch,IAT_yellow1.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,517,1390874,1391379,1391583
91,practice,12,brutal,IAT_red3.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,508,1393180,1393684,1393888
91,practice,13,human,IAT_red4.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,542,1395469,1395973,1396177
91,practice,14,geizig,IAT_purple1.bmp,purple,starting_scream,scream,starting,c,negative,negative,ES_green,1,c,789,1397791,1398295,1398499
91,practice,15,morsch,IAT_red1.bmp,red,ending_melody,melody,ending,c,negative,negative,ES_green,1,c,881,1400361,1400865,1401069
91,practice,16,kaputt,IAT_green1.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,488,1403023,1403527,1403731
91,practice,17,teuer,IAT_yellow2.bmp,yellow,starting_melody,melody,starting,c,negative,positive,ES_green,1,c,513,1405292,1405797,1406001
91,practice,18,gerecht,IAT_yellow4.bmp,yellow,starting_melody,melody,starting,m,positive,positive,ES_green,0,c,471,1407586,1408090,1408294
91,practice,19,schön,IAT_yellow1.bmp,yellow,starting_melody,melody,starting,m,positive,positive,ES_green,1,m,481,1410339,1410843,1411047
91,practice,20,lustig,IAT_red3.bmp,red,ending_melody,melody,ending,m,positive,negative,ES_green,1,m,1103,1412600,1413104,1413308
91,practice,21,sonnig,IAT_green3.bmp,green,ending_scream,scream,ending,m,positive,positive,ES_green,0,None,1500,1415484,1415988,1416192
91,practice,22,krank,IAT_green2.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,668,1419265,1419769,1419973
91,practice,23,einsam,IAT_green3.bmp,green,ending_scream,scream,ending,c,negative,positive,ES_green,1,c,1166,1421713,1422218,1422422
