ParticipantNumber	Location	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	2.185889	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.991544	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.563058	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	1.140758	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white3.bmp	Image	NonBob	d	['d']	correct	0.650840	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.484879	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white4.bmp	Image	NonBob	d	['d']	correct	0.623249	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white2.bmp	Image	NonBob	d	['d']	correct	0.511780	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.405606	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white3.bmp	Image	NonBob	d	['d']	correct	0.508463	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.396538	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white1.bmp	Image	NonBob	d	['d']	correct	0.486661	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white4.bmp	Image	NonBob	d	['d']	correct	0.537397	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.415465	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	white1.bmp	Image	NonBob	d	['d']	correct	0.526523	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
127	Cologne	1	bob1.bmp	Image	Bob	k	['k']	correct	0.487465	0.000000	1	1	2	2	methexp32	2018-02-02_12.02.08.302000
