ParticipantNumber	Item	Block	Reponse	ReactionTime
17	1274.jpg	1	1	5.641383
17	9320.jpg	1	1	2.189488
17	2981.jpg	1	1	5.261659
17	1310.jpg	1	2	6.956791
17	9571.jpg	1	1	3.366674
17	9300.jpg	1	1	3.234974
17	1019.jpg	1	2	4.318627
17	9290.jpg	1	2	3.090969
17	9040.jpg	1	1	1.943591
17	9008.jpg	1	1	3.711388
17	9592.jpg	1	3	6.425864
17	2095.jpg	1	1	2.616614
17	9330.jpg	1	3	4.744929
17	1945.jpg	1	3	10.044021
17	9042.jpg	1	2	3.322821
17	9830.jpg	1	2	3.582331
17	3550.jpg	1	1	3.105698
17	9301.jpg	1	1	2.298870
17	9290.jpg	2	7	6.784869
17	9330.jpg	2	7	7.871476
17	9040.jpg	2	9	6.872411
17	2095.jpg	2	9	8.600756
17	3550.jpg	2	9	1.013640
17	9042.jpg	2	8	3.863841
17	9571.jpg	2	9	0.888793
17	1274.jpg	2	9	2.077214
17	9830.jpg	2	7	3.398603
17	9320.jpg	2	9	2.439390
17	2981.jpg	2	9	0.876172
17	9301.jpg	2	9	4.147104
17	9008.jpg	2	9	2.012298
17	9300.jpg	2	9	0.960785
17	1019.jpg	2	9	1.792842
17	9592.jpg	2	7	6.440480
17	1310.jpg	2	8	2.773451
17	1945.jpg	2	7	1.417153
17	1310.jpg	3	5	9.279515
17	1019.jpg	3	5	3.981340
17	1274.jpg	3	1	4.157029
17	9008.jpg	3	1	2.094008
17	1945.jpg	3	1	5.045819
17	9040.jpg	3	7	5.155430
17	9571.jpg	3	8	1.938259
17	3550.jpg	3	8	1.581694
17	9042.jpg	3	7	4.178378
17	9592.jpg	3	2	3.592801
17	9290.jpg	3	2	14.289866
17	9320.jpg	3	6	4.492221
17	9301.jpg	3	5	8.026712
17	9330.jpg	3	5	4.976263
17	9300.jpg	3	6	9.543997
17	2981.jpg	3	2	18.520951
17	9830.jpg	3	2	5.993426
17	2095.jpg	3	1	2.519348
17	9571.jpg	4	7	5.109467
17	1274.jpg	4	7	4.019913
17	1310.jpg	4	8	5.798920
17	9301.jpg	4	6	2.486110
17	9300.jpg	4	6	1.624343
17	9330.jpg	4	6	3.612710
17	9042.jpg	4	7	1.285167
17	9320.jpg	4	7	1.554547
17	9040.jpg	4	8	2.079954
17	2095.jpg	4	9	2.343742
17	9830.jpg	4	6	3.226046
17	9592.jpg	4	2	5.875217
17	1019.jpg	4	2	4.679171
17	3550.jpg	4	8	2.058250
17	9008.jpg	4	2	4.215689
17	2981.jpg	4	8	2.118825
17	1945.jpg	4	2	4.265259
17	9290.jpg	4	2	2.195333
17	1274.jpg	5	5	5.374856
17	9040.jpg	5	9	3.928434
17	1019.jpg	5	5	4.692040
17	9042.jpg	5	3	6.372354
17	1945.jpg	5	6	3.067113
17	9301.jpg	5	3	2.920578
17	9592.jpg	5	1	3.170904
17	9320.jpg	5	3	2.344759
17	1310.jpg	5	8	3.457825
17	3550.jpg	5	2	2.612869
17	2095.jpg	5	8	2.150322
17	9571.jpg	5	1	7.728690
17	2981.jpg	5	8	2.632216
17	9290.jpg	5	8	1.965281
17	9330.jpg	5	5	2.477210
17	9008.jpg	5	1	3.653985
17	9830.jpg	5	1	2.966089
17	9300.jpg	5	1	2.554986
17	9042.jpg	6	4	8.908454
17	9320.jpg	6	1	1.683217
17	9040.jpg	6	2	3.257972
17	3550.jpg	6	1	6.546853
17	1945.jpg	6	2	2.821860
17	2095.jpg	6	2	5.452084
17	1310.jpg	6	2	1.815846
17	9300.jpg	6	2	0.959854
17	1019.jpg	6	2	3.124880
17	2981.jpg	6	3	3.439485
17	9571.jpg	6	8	2.291462
17	9592.jpg	6	1	2.102766
17	1274.jpg	6	1	1.125484
17	9330.jpg	6	1	1.169398
17	9830.jpg	6	1	1.326065
17	9008.jpg	6	1	1.183774
17	9290.jpg	6	3	5.505837
17	9301.jpg	6	1	0.830554
17	9571.jpg	7	7	5.561111
17	9330.jpg	7	9	1.665255
17	1945.jpg	7	1	2.783025
17	9290.jpg	7	9	4.869049
17	1310.jpg	7	5	3.767166
17	9008.jpg	7	7	5.442630
17	9300.jpg	7	8	2.177453
17	1019.jpg	7	3	4.993732
17	3550.jpg	7	9	1.302760
17	9301.jpg	7	8	1.361106
17	9040.jpg	7	9	1.328392
17	1274.jpg	7	8	2.569785
17	2981.jpg	7	7	2.191974
17	9592.jpg	7	2	2.634534
17	9042.jpg	7	8	2.492202
17	9830.jpg	7	5	2.294961
17	9320.jpg	7	8	1.128851
17	2095.jpg	7	9	1.021976
