ParticipantNumber	Item	Block	Reponse	ReactionTime
6	water13.jpg	1	6	9.357022
6	water0.jpg	1	1	6.083240
6	water2.jpg	1	3	4.022403
6	water1.jpg	1	4	4.053561
6	water9.jpg	1	3	2.930938
6	water3.jpg	1	3	2.231916
6	water11.jpg	1	6	3.524326
6	water6.jpg	1	9	3.451231
6	water7.jpg	1	4	2.165049
6	water5.jpg	1	4	4.686906
6	water14.jpg	1	4	1.577093
6	water8.jpg	1	4	1.547124
6	water15.jpg	1	4	2.151780
6	water10.jpg	1	4	1.496791
6	water4.jpg	1	4	1.051787
6	water12.jpg	1	4	1.558044
6	water16.jpg	1	4	0.944360
6	water1.jpg	2	n	3.472643
6	water2.jpg	2	n	1.892472
6	water3.jpg	2	n	0.667524
6	water4.jpg	2	n	0.727412
6	water5.jpg	2	n	0.491905
6	water6.jpg	2	n	0.862741
6	water7.jpg	2	n	0.608140
6	water8.jpg	2	n	0.471086
6	water9.jpg	2	n	0.536027
6	water10.jpg	2	n	0.504886
6	water11.jpg	2	n	0.749321
6	water12.jpg	2	n	0.523743
6	water13.jpg	2	n	0.564455
6	water14.jpg	2	n	0.825393
6	water15.jpg	2	n	0.395241
6	water16.jpg	2	n	0.429609
6	aero10.jpg	3	6	4.154286
6	aero1.jpg	3	5	2.378931
6	aero5.jpg	3	4	5.495950
6	aero13.jpg	3	6	2.317608
6	aero8.jpg	3	7	1.774421
6	aero12.jpg	3	5	2.468660
6	aero4.jpg	3	7	1.992089
6	aero6.jpg	3	5	2.389795
6	aero2.jpg	3	8	1.859835
6	aero14.jpg	3	6	2.347655
6	aero3.jpg	3	8	1.370199
6	aero11.jpg	3	6	2.406892
6	aero9.jpg	3	7	1.496069
6	aero7.jpg	3	8	1.657487
6	aero10.jpg	4	n	1.309210
6	aero1.jpg	4	n	0.687888
6	aero5.jpg	4	n	0.649480
6	aero13.jpg	4	n	0.523653
6	aero8.jpg	4	n	0.428295
6	aero12.jpg	4	n	0.468246
6	aero4.jpg	4	n	0.630578
6	aero6.jpg	4	n	0.665305
6	aero2.jpg	4	n	0.961522
6	aero14.jpg	4	n	0.510600
6	aero3.jpg	4	n	0.657703
6	aero11.jpg	4	n	0.639034
6	aero9.jpg	4	n	0.731014
6	aero7.jpg	4	n	1.007808
