ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct	PCName	timeStamp	
2	171	FeaRaFD2.jpg	Aero03.jpg	4	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp2.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS4.jpg	Aero04.jpg	6	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp4.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS2.jpg	Water7.jpg	7	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD1.jpg	Aero03.jpg	5	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS1.jpg	Water7.jpg	5	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp3.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp2.jpg	Water2.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS5.jpg	Water7.jpg	8	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD2.jpg	Aero05.jpg	8	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD4.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp1.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS4.jpg	Water7.jpg	7	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD2.jpg	Water5.jpg	6	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD3.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD5.jpg	Water5.jpg	3	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD1.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS1.jpg	Aero04.jpg	4	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD4.jpg	Water5.jpg	2	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD3.jpg	Water5.jpg	7	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD3.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS5.jpg	Aero04.jpg	8	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp5.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD3.jpg	Aero05.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD4.jpg	Water3.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD4.jpg	Aero05.jpg	6	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS3.jpg	Water7.jpg	2	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS2.jpg	Aero04.jpg	7	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD1.jpg	Water5.jpg	2	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD5.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS3.jpg	Aero04.jpg	4	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp5.jpg	Water2.jpg	8	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp4.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp1.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD5.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD2.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD5.jpg	Aero05.jpg	2	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD1.jpg	Aero05.jpg	5	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp3.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS5.jpg	Water7.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS5.jpg	Aero04.jpg	6	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD1.jpg	Water5.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD1.jpg	Aero05.jpg	7	0	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD3.jpg	Aero05.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp3.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD2.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD5.jpg	Water5.jpg	8	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp2.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD2.jpg	Water5.jpg	5	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp1.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD2.jpg	Aero05.jpg	5	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp4.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD3.jpg	Water5.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS4.jpg	Aero04.jpg	5	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD4.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp5.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS3.jpg	Aero04.jpg	4	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD1.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD5.jpg	Aero05.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS1.jpg	Water7.jpg	3	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS2.jpg	Water7.jpg	4	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD5.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD3.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS1.jpg	Aero04.jpg	7	0	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD5.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp2.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD4.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD3.jpg	Water3.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	DisRaFD4.jpg	Water5.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	DisIAPS2.jpg	Aero04.jpg	1	0	labor4	2015-01-13_18.01.54.553000
2	171	MereExp4.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	FeaRaFD1.jpg	Aero03.jpg	3	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp3.jpg	Aero02.jpg	2	1	labor4	2015-01-13_18.01.54.553000
2	171	MereExp1.jpg	Water2.jpg	2	1	labor4	2015-01-13_18.01.54.553000
