ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct
6	260	DisRaFD2.jpg	Aero03.jpg	3	1
6	172	MereExpo.jpg	Water2.jpg	2	1
6	177	US2Motivation.jpg	Aero0Motivation.jpg	1	0
6	172	DisRaFD2.jpg	Aero04.jpg	3	0
6	172	FeaRaFD1.jpg	Aero02.jpg	2	1
6	260	DisIAPS1.jpg	Water6.jpg	6	1
6	260	DisIAPS2.jpg	Aero05.jpg	5	1
6	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
6	260	FeaRaFD1.jpg	Water1.jpg	1	1
6	172	MereExpo.jpg	Aero08.jpg	8	1
6	172	FeaRaFD2.jpg	Water3.jpg	8	0
6	172	MereExpo.jpg	Aero08.jpg	8	1
6	260	MereExpo.jpg	Aero01.jpg	1	1
6	260	DisRaFD5.jpg	Aero03.jpg	3	1
6	260	MereExpo.jpg	Water4.jpg	4	1
6	172	DisRaFD3.jpg	Water8.jpg	8	1
6	260	DisIAPS3.jpg	Water6.jpg	6	1
6	172	DisIAPS2.jpg	Water7.jpg	1	0
6	260	DisRaFD1.jpg	Aero03.jpg	3	1
6	260	DisRaFD4.jpg	Water5.jpg	5	1
6	172	DisRaFD5.jpg	Aero04.jpg	7	0
6	172	DisIAPS4.jpg	Water7.jpg	8	0
6	172	MereExpo.jpg	Water2.jpg	5	0
6	260	DisIAPS5.jpg	Water6.jpg	6	1
6	172	MereExpo.jpg	Water2.jpg	4	0
6	172	FeaRaFD1.jpg	Water3.jpg	5	0
6	172	FeaRaFD3.jpg	Water3.jpg	1	0
6	260	FeaRaFD4.jpg	Water1.jpg	1	1
6	172	FeaRaFD4.jpg	Water3.jpg	2	0
6	172	FeaRaFD5.jpg	Water3.jpg	5	0
6	172	FeaRaFD5.jpg	Aero02.jpg	2	1
6	260	DisIAPS4.jpg	Water6.jpg	6	1
6	260	MereExpo.jpg	Water4.jpg	4	1
6	260	MereExpo.jpg	Aero01.jpg	1	1
6	172	FeaRaFD3.jpg	Aero02.jpg	1	0
6	177	USMotivation.jpg	WaterMotivation.jpg	99	1
6	172	MereExpo.jpg	Water2.jpg	7	0
6	260	DisIAPS2.jpg	Water6.jpg	6	1
6	260	MereExpo.jpg	Aero01.jpg	1	1
6	172	DisIAPS3.jpg	Aero07.jpg	5	0
6	177	USMotivation.jpg	WaterMotivation.jpg	99	1
6	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
6	260	MereExpo.jpg	Water4.jpg	4	1
6	177	USMotivation.jpg	WaterMotivation.jpg	99	1
6	260	DisIAPS1.jpg	Aero05.jpg	5	1
6	260	DisRaFD2.jpg	Water5.jpg	5	1
6	260	MereExpo.jpg	Water4.jpg	4	1
6	260	DisRaFD3.jpg	Water5.jpg	5	1
6	172	DisIAPS2.jpg	Aero07.jpg	8	0
6	260	DisIAPS3.jpg	Aero05.jpg	5	1
6	260	DisRaFD3.jpg	Aero03.jpg	3	1
6	172	DisIAPS3.jpg	Water7.jpg	2	0
6	172	MereExpo.jpg	Water2.jpg	3	0
6	172	DisIAPS1.jpg	Aero07.jpg	5	0
6	260	MereExpo.jpg	Water4.jpg	4	1
6	172	DisIAPS4.jpg	Aero07.jpg	6	0
6	177	USMotivation.jpg	WaterMotivation.jpg	99	1
6	260	FeaRaFD5.jpg	Water1.jpg	1	1
6	260	FeaRaFD4.jpg	Aero06.jpg	6	1
6	172	DisRaFD4.jpg	Aero04.jpg	4	1
6	172	DisRaFD4.jpg	Water8.jpg	5	0
6	172	FeaRaFD2.jpg	Aero02.jpg	8	0
6	260	FeaRaFD3.jpg	Aero06.jpg	6	1
6	172	MereExpo.jpg	Aero08.jpg	7	0
6	172	MereExpo.jpg	Aero08.jpg	5	0
6	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
6	260	DisIAPS5.jpg	Aero05.jpg	5	1
6	172	DisRaFD5.jpg	Water8.jpg	8	1
6	172	FeaRaFD4.jpg	Aero02.jpg	5	0
6	172	DisIAPS5.jpg	Aero07.jpg	8	0
6	172	DisRaFD1.jpg	Water8.jpg	4	0
6	177	USMotivation.jpg	WaterMotivation.jpg	99	1
6	260	FeaRaFD2.jpg	Aero06.jpg	6	1
6	172	DisRaFD3.jpg	Aero04.jpg	8	0
6	260	FeaRaFD2.jpg	Water1.jpg	1	1
6	260	DisRaFD4.jpg	Aero03.jpg	3	1
6	177	US2Motivation.jpg	Aero0Motivation.jpg	99	1
6	260	FeaRaFD3.jpg	Water1.jpg	1	1
6	172	DisRaFD1.jpg	Aero04.jpg	5	0
6	260	MereExpo.jpg	Aero01.jpg	1	1
6	260	DisRaFD1.jpg	Water5.jpg	5	1
6	172	DisIAPS1.jpg	Water7.jpg	3	0
6	260	MereExpo.jpg	Aero01.jpg	1	1
6	260	DisIAPS4.jpg	Aero05.jpg	5	1
6	172	DisRaFD2.jpg	Water8.jpg	2	0
6	260	FeaRaFD5.jpg	Aero06.jpg	6	1
6	172	DisIAPS5.jpg	Water7.jpg	8	0
6	260	DisRaFD5.jpg	Water5.jpg	5	1
6	172	MereExpo.jpg	Aero08.jpg	7	0
6	260	FeaRaFD1.jpg	Aero06.jpg	6	1
