US	CS	Time	
US2Motivation	Aero0Motivation	177	
DisRaFD4	Water8	171	
DisRaFD3	Water8	171	
USMotivation	WaterMotivation	177	
DisIAPS5	Water3	171	
FeaRaFD4	Aero06	171	
FeaRaFD5	Water6	260	
FeaRaFD4	Water6	260	
FeaRaFD5	Aero02	260	
DisRaFD1	Water2	260	
DisIAPS5	Water5	260	
DisIAPS1	Aero05	171	
FeaRaFD3	Aero06	171	
MereExpo	Aero07	171	
FeaRaFD4	Aero02	260	
FeaRaFD1	Water6	260	
DisIAPS2	Water5	260	
MereExpo	Aero07	171	
DisIAPS3	Water5	260	
DisRaFD1	Aero08	171	
DisRaFD2	Aero01	260	
DisRaFD5	Water8	171	
US2Motivation	Aero0Motivation	177	
MereExpo	Aero07	171	
USMotivation	WaterMotivation	177	
DisIAPS1	Aero04	260	
MereExpo	Aero03	260	
MereExpo	Aero07	171	
MereExpo	Water1	260	
DisRaFD3	Aero01	260	
MereExpo	Water1	260	
DisRaFD5	Aero01	260	
MereExpo	Aero07	171	
MereExpo	Water7	171	
DisRaFD1	Aero01	260	
FeaRaFD2	Aero02	260	
US2Motivation	Aero0Motivation	177	
FeaRaFD5	Water4	171	
MereExpo	Aero03	260	
FeaRaFD5	Aero06	171	
MereExpo	Water7	171	
FeaRaFD3	Water4	171	
DisIAPS4	Aero04	260	
MereExpo	Aero03	260	
MereExpo	Aero03	260	
DisRaFD2	Water2	260	
MereExpo	Water7	171	
FeaRaFD1	Water4	171	
FeaRaFD2	Water6	260	
USMotivation	WaterMotivation	177	
DisIAPS4	Water5	260	
DisIAPS2	Aero05	171	
DisIAPS1	Water5	260	
DisIAPS5	Aero04	260	
USMotivation	WaterMotivation	177	
DisIAPS3	Aero05	171	
DisIAPS2	Water3	171	
US2Motivation	Aero0Motivation	177	
DisIAPS4	Water3	171	
DisRaFD4	Water2	260	
MereExpo	Aero03	260	
DisIAPS2	Aero04	260	
MereExpo	Water7	171	
FeaRaFD2	Aero06	171	
DisRaFD3	Water2	260	
DisRaFD1	Water8	171	
DisRaFD5	Aero08	171	
US2Motivation	Aero0Motivation	177	
FeaRaFD2	Water4	171	
FeaRaFD1	Aero06	171	
FeaRaFD3	Aero02	260	
DisRaFD2	Water8	171	
MereExpo	Water1	260	
DisIAPS3	Water3	171	
DisIAPS4	Aero05	171	
MereExpo	Water1	260	
MereExpo	Water1	260	
USMotivation	WaterMotivation	177	
DisRaFD3	Aero08	171	
DisRaFD4	Aero01	260	
DisIAPS5	Aero05	171	
DisIAPS3	Aero04	260	
DisIAPS1	Water3	171	
DisRaFD4	Aero08	171	
DisRaFD5	Water2	260	
FeaRaFD4	Water4	171	
DisRaFD2	Aero08	171	
MereExpo	Water7	171	
FeaRaFD3	Water6	260	
FeaRaFD1	Aero02	260	
