US	CS	Time	
DisRaFD4	Aero07	171	
FeaRaFD5	Aero05	260	
USMotivation	WaterMotivation	177	
DisIAPS5	Water7	260	
DisRaFD5	Water1	260	
DisRaFD5	Aero02	260	
DisRaFD5	Aero07	171	
DisIAPS3	Aero06	171	
DisIAPS4	Water7	260	
MereExpo	Aero01	171	
DisRaFD1	Water1	260	
MereExpo	Water2	260	
DisIAPS1	Aero03	260	
MereExpo	Aero04	260	
US2Motivation	Aero0Motivation	177	
DisRaFD4	Water5	171	
FeaRaFD1	Water8	171	
DisRaFD1	Water5	171	
USMotivation	WaterMotivation	177	
MereExpo	Aero01	171	
MereExpo	Aero01	171	
FeaRaFD4	Aero05	260	
DisIAPS2	Water7	260	
DisRaFD3	Aero07	171	
FeaRaFD2	Aero05	260	
FeaRaFD3	Water6	260	
US2Motivation	Aero0Motivation	177	
USMotivation	WaterMotivation	177	
DisRaFD1	Aero02	260	
MereExpo	Water2	260	
MereExpo	Water3	171	
DisIAPS4	Aero03	260	
FeaRaFD5	Aero08	171	
FeaRaFD1	Water6	260	
DisIAPS1	Aero06	171	
DisIAPS2	Aero06	171	
DisRaFD2	Aero07	171	
FeaRaFD3	Water8	171	
DisRaFD4	Water1	260	
FeaRaFD4	Aero08	171	
DisIAPS3	Water7	260	
MereExpo	Water2	260	
USMotivation	WaterMotivation	177	
MereExpo	Aero04	260	
FeaRaFD2	Aero08	171	
MereExpo	Aero01	171	
MereExpo	Aero01	171	
FeaRaFD3	Aero05	260	
MereExpo	Water3	171	
DisRaFD3	Water5	171	
FeaRaFD2	Water8	171	
DisRaFD4	Aero02	260	
DisIAPS3	Aero03	260	
DisIAPS4	Water4	171	
MereExpo	Water3	171	
MereExpo	Aero04	260	
FeaRaFD1	Aero05	260	
FeaRaFD1	Aero08	171	
DisIAPS5	Aero06	171	
DisRaFD5	Water5	171	
DisRaFD2	Water1	260	
FeaRaFD4	Water6	260	
MereExpo	Aero04	260	
MereExpo	Aero04	260	
DisIAPS2	Aero03	260	
FeaRaFD5	Water8	171	
MereExpo	Water3	171	
DisIAPS1	Water7	260	
DisIAPS5	Water4	171	
DisRaFD1	Aero07	171	
DisIAPS4	Aero06	171	
DisIAPS5	Aero03	260	
DisIAPS1	Water4	171	
MereExpo	Water2	260	
MereExpo	Water3	171	
US2Motivation	Aero0Motivation	177	
FeaRaFD4	Water8	171	
DisRaFD2	Water5	171	
DisRaFD3	Aero02	260	
DisRaFD3	Water1	260	
US2Motivation	Aero0Motivation	177	
DisRaFD2	Aero02	260	
US2Motivation	Aero0Motivation	177	
DisIAPS2	Water4	171	
USMotivation	WaterMotivation	177	
FeaRaFD2	Water6	260	
MereExpo	Water2	260	
FeaRaFD3	Aero08	171	
FeaRaFD5	Water6	260	
DisIAPS3	Water4	171	
