ParticipantNumber	NumFramesCS	US	CS	AnswerNumber	Correct	PC_Nummer	PCName	timeStamp	
4	177	DisIAPS1.jpg	Water2.jpg	5	0	1	labor8	2014-12-08_14.42.05.488000
4	171	DisIAPS4.jpg	Aero05.jpg	6	0	1	labor8	2014-12-08_14.42.05.488000
4	171	MereExpo.jpg	Aero07.jpg	3	0	1	labor8	2014-12-08_14.42.05.488000
4	172	MereExpo.jpg	Water3.jpg	8	0	1	labor8	2014-12-08_14.42.05.488000
4	177	DisIAPS3.jpg	Water3.jpg	3	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS5.jpg	Water2.jpg	2	1	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD1.jpg	Water6.jpg	6	1	1	labor8	2014-12-08_14.42.05.488000
4	171	FeaRaFD5.jpg	Water8.jpg	8	1	1	labor8	2014-12-08_14.42.05.488000
4	177	FeaRaFD4.jpg	Aero07.jpg	6	0	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD3.jpg	Water8.jpg	1	0	1	labor8	2014-12-08_14.42.05.488000
4	171	FeaRaFD1.jpg	Water4.jpg	4	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS5.jpg	Aero07.jpg	6	0	1	labor8	2014-12-08_14.42.05.488000
4	171	DisRaFD4.jpg	Water2.jpg	2	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS4.jpg	Aero07.jpg	5	0	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD1.jpg	Water8.jpg	8	1	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD1.jpg	Aero01.jpg	6	0	1	labor8	2014-12-08_14.42.05.488000
4	171	FeaRaFD1.jpg	Water3.jpg	3	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS2.jpg	Aero05.jpg	4	0	1	labor8	2014-12-08_14.42.05.488000
4	171	DisRaFD3.jpg	Aero07.jpg	4	0	1	labor8	2014-12-08_14.42.05.488000
4	177	DisRaFD3.jpg	Water8.jpg	8	1	1	labor8	2014-12-08_14.42.05.488000
4	177	FeaRaFD1.jpg	Aero03.jpg	3	1	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD3.jpg	Aero03.jpg	2	0	1	labor8	2014-12-08_14.42.05.488000
4	172	FeaRaFD5.jpg	Aero05.jpg	5	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS4.jpg	Water1.jpg	3	0	1	labor8	2014-12-08_14.42.05.488000
4	171	DisRaFD3.jpg	Water1.jpg	1	1	1	labor8	2014-12-08_14.42.05.488000
4	177	DisIAPS3.jpg	Water4.jpg	4	1	1	labor8	2014-12-08_14.42.05.488000
4	177	DisRaFD4.jpg	Water8.jpg	8	1	1	labor8	2014-12-08_14.42.05.488000
4	171	FeaRaFD5.jpg	Water7.jpg	7	1	1	labor8	2014-12-08_14.42.05.488000
4	172	DisIAPS5.jpg	Water1.jpg	1	1	1	labor8	2014-12-08_14.42.05.488000
