US	CS	Time	PC_Nummer	PCName	timeStamp
DisIAPS4	Aero04	173	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero04	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water2	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Aero07	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero05	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water5	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero05	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero01	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero07	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water8	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Aero08	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Water2	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Aero01	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water7	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Water7	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Water7	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water4	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Water5	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Water8	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water1	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water8	177	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water4	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Aero08	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water7	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water3	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water2	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero02	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero05	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water2	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero05	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Water5	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water2	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero03	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Water6	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero02	172	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero01	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Water2	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS4	Aero01	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Aero05	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Aero06	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Aero06	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Water2	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water8	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Aero02	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Aero04	173	3	laborrechner3	2014-12-08_16.12.18.736000
MereExpo	Aero08	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Water8	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS3	Aero03	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water3	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Water1	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD1	Aero01	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Aero05	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD4	Water6	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS5	Water8	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD3	Water2	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero05	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water6	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS1	Water4	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water3	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD4	Water6	173	3	laborrechner3	2014-12-08_16.12.18.736000
DisIAPS2	Aero01	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD3	Aero03	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD5	Aero05	172	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD2	Water4	173	3	laborrechner3	2014-12-08_16.12.18.736000
FeaRaFD5	Water3	172	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD2	Water2	177	3	laborrechner3	2014-12-08_16.12.18.736000
DisRaFD1	Aero04	172	3	laborrechner3	2014-12-08_16.12.18.736000
