ParticipantNumber	Choice	Position	Category	correspondingUS	correspondingTimePCName	timeStamp
116	1	1	Water	FeaRaFD	171	labor8	2015-01-30_13.00.30.450000
116	2	2	Water	DisRaFD	171	labor8	2015-01-30_13.00.30.450000
116	4	3	Water	MereExp	171	labor8	2015-01-30_13.00.30.450000
116	5	4	Water	DisIAPS	171	labor8	2015-01-30_13.00.30.450000
116	6	1	Water	DisRaFD	230	labor8	2015-01-30_13.00.30.450000
116	3	2	Water	MereExp	230	labor8	2015-01-30_13.00.30.450000
116	8	3	Water	DisIAPS	230	labor8	2015-01-30_13.00.30.450000
116	7	4	Water	FeaRaFD	230	labor8	2015-01-30_13.00.30.450000
116	3	1	Aero0	MereExp	171	labor8	2015-01-30_13.00.30.450000
116	1	2	Aero0	DisRaFD	171	labor8	2015-01-30_13.00.30.450000
116	4	3	Aero0	DisIAPS	171	labor8	2015-01-30_13.00.30.450000
116	7	4	Aero0	FeaRaFD	171	labor8	2015-01-30_13.00.30.450000
116	8	1	Aero0	DisIAPS	230	labor8	2015-01-30_13.00.30.450000
116	5	2	Aero0	MereExp	230	labor8	2015-01-30_13.00.30.450000
116	2	3	Aero0	DisRaFD	230	labor8	2015-01-30_13.00.30.450000
116	6	4	Aero0	FeaRaFD	230	labor8	2015-01-30_13.00.30.450000
