ParticipantNumber	Item	QuestionNr	Knowing	RT	PCName	timeStamp
33	Water7.jpg	1	n	3.017463	labor2	2015-01-22_09.49.23.866000
33	Water1.jpg	1	n	3.438282	labor2	2015-01-22_09.49.23.866000
33	Water4.jpg	1	n	1.404593	labor2	2015-01-22_09.49.23.866000
33	Water8.jpg	1	n	1.804387	labor2	2015-01-22_09.49.23.866000
33	Water3.jpg	1	n	1.189149	labor2	2015-01-22_09.49.23.866000
33	Water5.jpg	1	n	0.784614	labor2	2015-01-22_09.49.23.866000
33	Water2.jpg	1	n	0.530683	labor2	2015-01-22_09.49.23.866000
33	Water6.jpg	1	n	0.889645	labor2	2015-01-22_09.49.23.866000
33	Aero04.jpg	2	n	6.258151	labor2	2015-01-22_09.49.23.866000
33	Aero02.jpg	2	n	0.693284	labor2	2015-01-22_09.49.23.866000
33	Aero05.jpg	2	n	0.586195	labor2	2015-01-22_09.49.23.866000
33	Aero03.jpg	2	n	1.463287	labor2	2015-01-22_09.49.23.866000
33	Aero06.jpg	2	n	0.418237	labor2	2015-01-22_09.49.23.866000
33	Aero07.jpg	2	n	0.456982	labor2	2015-01-22_09.49.23.866000
33	Aero01.jpg	2	n	1.540003	labor2	2015-01-22_09.49.23.866000
33	Aero08.jpg	2	n	1.091843	labor2	2015-01-22_09.49.23.866000
