sid,bid,tid,stimulus_location,response_location,response_time,response_deadline,error
5,1,1,3,,,0.7,
5,1,2,6,6,0.35705599999055265,0.7,0
5,1,3,4,,,0.7,
5,1,4,3,2,0.4198066002689302,0.7,1
5,1,5,4,,,0.7,
5,1,6,5,6,0.4559507995843887,0.7,1
5,1,7,2,,,0.7,
5,1,8,3,3,0.41737099988386034,0.7,0
5,1,9,2,2,0.33970189997926353,0.7,0
5,1,10,5,6,0.3583974001929164,0.7,1
5,1,11,4,,,0.7,
5,1,12,5,5,0.45815320005640386,0.7,0
5,1,13,2,2,0.31719990000128745,0.7,0
5,1,14,6,6,0.3965048000216484,0.7,0
5,1,15,5,5,0.4725352997891605,0.7,0
5,1,16,4,5,0.42347459979355334,0.7,1
5,1,17,1,1,0.40705980006605386,0.7,0
5,1,18,2,,,0.7,
5,1,19,1,2,0.31144889974966644,0.7,1
5,1,20,2,2,0.40776649974286555,0.7,0
5,1,21,6,6,0.3557388998568058,0.7,0
5,1,22,5,5,0.3690859998576343,0.7,0
5,1,23,4,4,0.33701870003715156,0.7,0
5,1,24,1,1,0.47299789981916546,0.7,0
5,1,25,2,,,0.7,
5,1,26,6,6,0.4229318999685347,0.7,0
5,1,27,2,,,0.7,
5,1,28,6,6,0.34077279986813663,0.7,0
5,1,29,5,5,0.358867699932307,0.7,0
5,1,30,6,6,0.451214599609375,0.7,0
5,1,31,1,1,0.33266889974474906,0.7,0
5,1,32,2,2,0.431018899846822,0.7,0
5,1,33,4,3,0.4383668999187648,0.7,1
5,1,34,5,6,0.4422851998358965,0.7,1
5,1,35,6,6,0.49776710029691457,0.7,0
5,1,36,5,5,0.4273808004334569,0.7,0
5,1,37,3,,,0.7,
5,1,38,5,5,0.46470259986817836,0.7,0
5,1,39,2,2,0.39355559991672634,0.7,0
5,1,40,4,,,0.7,
5,1,41,1,,,0.7,
5,1,42,2,1,0.022679899539798487,0.7,1
5,1,43,3,,,0.7,
5,1,44,4,4,0.3312104998156428,0.7,0
5,1,45,3,3,0.4230595000088215,0.7,0
5,1,46,4,5,0.3517567000351846,0.7,1
5,1,47,6,6,0.3720883999019861,0.7,0
5,1,48,5,6,0.4627820003777742,0.7,1
5,1,49,3,4,0.45858149994164704,0.7,1
5,1,50,4,5,0.4797373997978866,0.7,1
5,1,51,3,3,0.3581899001263082,0.7,0
5,1,52,4,,,0.7,
5,1,53,2,,,0.7,
5,1,54,1,1,0.3757971000857651,0.7,0
5,1,55,6,6,0.3797433000989258,0.7,0
5,1,56,5,5,0.3846656002104282,0.7,0
5,1,57,3,,,0.7,
5,1,58,4,5,0.4298227999359369,0.7,1
5,1,59,1,,,0.7,
5,1,60,3,3,0.5031593997962773,0.7,0
5,1,61,6,6,0.387480700109154,0.7,0
5,1,62,2,2,0.5004896001890302,0.7,0
5,1,63,6,6,0.4656376998871565,0.7,0
