sid,bid,tid,target,location,option_1,option_2,option_3,option_4,option_5,option_6,response,response_time,target_duration,response_deadline,error
48,1,1,0,4,1,2,4,0,5,3,5,0.8995,0.12,1.1,1
48,1,2,5,5,1,0,4,3,5,2,5,1.0607,0.12,1.1,0
48,1,3,4,2,0,4,3,1,5,2,2,0.9049,0.12,1.1,0
48,1,4,2,6,1,5,0,3,4,2,6,0.7041,0.12,1.1,0
48,1,5,0,1,0,1,4,5,3,2,1,0.9148,0.12,1.1,0
48,1,6,5,4,4,0,2,5,1,3,4,1.086,0.12,1.1,0
48,1,7,4,3,3,1,4,0,5,2,3,0.9049,0.12,1.1,0
48,1,8,1,4,3,2,4,1,0,5,4,0.7643,0.12,1.1,0
48,1,9,0,3,5,2,0,3,4,1,3,0.8448,0.12,1.1,0
48,1,10,2,4,4,0,1,2,5,3,4,0.8246,0.12,1.1,0
48,1,11,0,5,2,3,5,4,0,1,5,0.8145,0.12,1.1,0
48,1,12,5,3,4,3,5,2,0,1,3,1.3267,0.12,1.1,0
48,1,13,4,4,5,1,0,4,3,2,4,0.8454,0.12,1.1,0
48,1,14,0,5,5,1,4,2,0,3,4,0.6238,0.12,1.1,1
48,1,15,4,3,2,3,4,0,5,1,3,1.1906,0.12,1.1,0
48,1,16,2,4,4,1,5,2,0,3,4,0.7441,0.12,1.1,0
48,1,17,0,5,3,1,5,2,0,4,5,0.6538,0.12,1.1,0
48,1,18,5,4,1,2,0,5,4,3,4,0.5635,0.12,1.1,0
48,1,19,4,5,3,2,0,1,4,5,6,0.8547,0.12,1.1,1
48,1,20,0,2,2,0,1,4,3,5,2,0.8619,0.12,1.1,0
48,1,21,2,6,4,5,3,1,0,2,6,0.4931,0.12,1.1,0
48,1,22,0,1,0,2,1,3,4,5,1,0.6036,0.12,1.1,0
48,1,23,3,5,5,0,2,4,3,1,5,0.694,0.12,1.1,0
48,1,24,2,2,3,2,1,5,4,0,2,0.6941,0.12,1.1,0
48,1,25,0,6,1,3,4,5,2,0,6,0.5135,0.11,1.0,0
48,1,26,3,2,1,3,5,2,4,0,2,0.473,0.11,1.0,0
48,1,27,2,6,1,5,3,4,0,2,6,0.6739,0.11,1.0,0
48,1,28,0,1,0,5,3,1,2,4,1,0.6138,0.11,1.0,0
48,1,29,1,5,3,4,2,0,1,5,5,0.664,0.11,1.0,0
48,1,30,3,2,0,3,5,1,2,4,1,0.5835,0.11,1.0,1
48,1,31,2,6,3,4,1,0,5,2,6,0.5986,0.11,1.0,0
48,1,32,0,5,4,2,3,1,0,5,5,0.4732,0.11,1.0,0
48,1,33,5,1,5,3,0,2,4,1,1,0.5635,0.11,1.0,0
48,1,34,2,3,0,5,2,4,1,3,2,0.7341,0.11,1.0,1
48,1,35,0,4,1,2,4,0,3,5,5,0.6969,0.11,1.0,1
48,1,36,4,5,1,0,5,3,4,2,5,0.869,0.11,1.0,0
48,1,37,3,4,4,1,5,3,0,2,4,0.664,0.11,1.0,0
48,1,38,2,5,0,4,3,5,2,1,5,0.5636,0.11,1.0,0
48,1,39,0,6,5,1,4,3,2,0,6,0.5835,0.11,1.0,0
48,1,40,4,4,5,1,2,4,0,3,4,0.7946,0.11,1.0,0
48,1,41,1,5,4,2,3,0,1,5,5,0.7459,0.11,1.0,0
48,1,42,3,2,0,3,5,4,2,1,2,0.6439,0.11,1.0,0
48,1,43,2,4,5,4,0,2,1,3,4,0.8246,0.11,1.0,0
48,1,44,0,5,2,3,1,4,0,5,5,0.5533,0.11,1.0,0
48,1,45,5,6,3,1,2,4,0,5,6,0.7041,0.11,1.0,0
