sid,bid,tid,target,target_location,array_location,option_1,option_2,option_3,option_4,option_5,option_6,response,response_time,target_duration,response_deadline,error
34,1,1,5,2,3,2,0,5,3,4,1,2,1.5363,0.12,1.2,1
34,1,2,0,5,4,4,2,5,0,3,1,4,1.3017,0.12,1.2,0
34,1,3,1,0,1,1,4,5,3,0,2,1,0.8598,0.12,1.2,0
34,1,4,2,4,4,0,5,1,2,3,4,5,1.0964,0.12,1.2,1
34,1,5,1,2,1,1,2,4,0,5,3,1,0.9559,0.12,1.2,0
34,1,6,3,4,3,0,1,3,2,4,5,5,1.237,0.12,1.2,1
34,1,7,4,5,6,1,3,0,5,2,4,6,1.0308,0.12,1.2,0
34,1,8,5,4,5,3,0,2,1,5,4,5,0.8728,0.12,1.2,0
34,1,9,0,2,1,0,4,2,3,5,1,1,0.7684,0.12,1.2,0
34,1,10,5,5,2,2,5,4,0,1,3,1,1.0829,0.12,1.2,1
34,1,11,2,2,1,2,5,3,0,4,1,6,0.8739,0.12,1.2,1
34,1,12,3,0,3,2,1,3,5,4,0,3,1.3429,0.12,1.2,0
34,1,13,4,4,4,3,0,5,4,1,2,4,0.9827,0.12,1.2,0
34,1,14,3,2,1,3,4,5,2,1,0,1,0.845,0.12,1.2,0
34,1,15,0,3,2,4,0,2,5,3,1,2,0.7872,0.12,1.2,0
34,1,16,1,1,6,0,2,5,4,3,1,6,0.7124,0.12,1.2,0
34,1,17,2,4,2,1,2,0,5,4,3,2,0.8342,0.12,1.2,0
34,1,18,0,2,5,4,2,3,5,0,1,5,1.0522,0.12,1.2,0
34,1,19,5,5,6,1,3,0,4,2,5,6,0.6345,0.12,1.2,0
34,1,20,1,1,3,4,3,1,2,0,5,3,0.8673,0.12,1.2,0
34,1,21,2,2,6,5,3,0,4,1,2,6,0.8617,0.12,1.2,0
34,1,22,3,5,2,1,3,4,5,0,2,2,0.8192,0.12,1.2,0
34,1,23,4,1,6,5,2,1,3,0,4,6,0.859,0.12,1.2,0
34,1,24,3,0,4,5,0,1,3,4,2,4,1.0346,0.12,1.2,0
34,1,25,0,4,2,3,0,1,5,2,4,2,0.8736,0.11,1.175,0
34,1,26,1,2,3,3,4,1,5,2,0,3,1.1151,0.11,1.175,0
34,1,27,4,5,5,5,3,1,0,4,2,5,0.8784,0.11,1.175,0
34,1,28,5,2,1,5,1,3,0,2,4,1,0.6903,0.11,1.175,0
34,1,29,0,5,5,3,5,1,2,0,4,5,0.7825,0.11,1.175,0
34,1,30,3,0,6,4,2,0,5,1,3,6,0.9194,0.11,1.175,0
34,1,31,0,2,3,5,4,0,3,2,1,3,1.0381,0.11,1.175,0
34,1,32,1,5,2,3,1,0,4,2,5,2,0.7874,0.11,1.175,0
34,1,33,2,3,3,5,3,2,0,1,4,3,0.9596,0.11,1.175,0
34,1,34,4,1,1,4,2,3,1,5,0,1,0.7824,0.11,1.175,0
34,1,35,5,4,4,1,2,4,5,3,0,2,0.7611,0.11,1.175,1
34,1,36,2,1,5,4,5,0,1,2,3,5,1.2501,0.11,1.175,0
34,1,37,3,2,6,4,2,1,0,5,3,6,0.7381,0.11,1.175,0
