sid,bid,tid,material,instructions,material_order,stimulus_location,response_location,response_time,response_deadline,error
97,1,1,probabilistic,sequence concealed,random first,3,2,0.7069,0.9,1
97,1,2,probabilistic,sequence concealed,random first,2,2,0.4225,0.9,0
97,1,3,probabilistic,sequence concealed,random first,1,1,0.5127,0.9,0
97,1,4,probabilistic,sequence concealed,random first,4,4,0.7703,0.9,0
97,1,5,probabilistic,sequence concealed,random first,1,1,0.3329,0.9,0
97,1,6,probabilistic,sequence concealed,random first,6,6,0.3737,0.9,0
97,1,7,probabilistic,sequence concealed,random first,5,5,0.4616,0.9,0
97,1,8,probabilistic,sequence concealed,random first,3,4,0.4127,0.9,1
97,1,9,probabilistic,sequence concealed,random first,2,2,0.5996,0.9,0
97,1,10,probabilistic,sequence concealed,random first,4,4,0.8875,0.9,0
97,1,11,probabilistic,sequence concealed,random first,1,1,0.4322,0.9,0
97,1,12,probabilistic,sequence concealed,random first,6,6,0.333,0.9,0
97,1,13,probabilistic,sequence concealed,random first,5,5,0.5204,0.9,0
97,1,14,probabilistic,sequence concealed,random first,3,3,0.827,0.9,0
97,1,15,probabilistic,sequence concealed,random first,2,2,0.5397,0.9,0
97,1,16,probabilistic,sequence concealed,random first,4,4,0.6496,0.9,0
97,1,17,probabilistic,sequence concealed,random first,1,1,0.3723,0.9,0
97,1,18,probabilistic,sequence concealed,random first,2,2,0.5303,0.9,0
97,1,19,probabilistic,sequence concealed,random first,4,4,0.4914,0.9,0
97,1,20,probabilistic,sequence concealed,random first,2,2,0.5307,0.9,0
97,1,21,probabilistic,sequence concealed,random first,5,6,0.2732,0.9,1
97,1,22,probabilistic,sequence concealed,random first,3,3,0.9968,0.9,0
97,1,23,probabilistic,sequence concealed,random first,6,6,0.5063,0.9,0
97,1,24,probabilistic,sequence concealed,random first,5,5,0.5017,0.9,0
97,1,25,probabilistic,sequence concealed,random first,6,6,0.4221,0.8,0
97,1,26,probabilistic,sequence concealed,random first,2,2,0.6994,0.8,0
97,1,27,probabilistic,sequence concealed,random first,4,4,0.6429,0.8,0
97,1,28,probabilistic,sequence concealed,random first,1,1,0.5123,0.8,0
