sid,bid,tid,material,instructions,effects,stimulus_location,response_location,response_time,response_deadline,error,confidence
73,1,1,deterministic,sequence concealed,none,4,4,0.7551,0.9,0,
73,1,2,deterministic,sequence concealed,none,5,5,0.4546,0.9,0,
73,1,3,deterministic,sequence concealed,none,6,6,0.3429,0.9,0,
73,1,4,deterministic,sequence concealed,none,2,2,0.6014,0.9,0,
73,1,5,deterministic,sequence concealed,none,5,4,0.4476,0.9,1,
73,1,6,deterministic,sequence concealed,none,3,3,0.8762,0.9,0,
73,1,7,deterministic,sequence concealed,none,1,1,0.5313,0.9,0,
73,1,8,deterministic,sequence concealed,none,6,6,0.5522,0.9,0,
73,1,9,deterministic,sequence concealed,none,5,5,0.4057,0.9,0,
73,1,10,deterministic,sequence concealed,none,1,1,0.5313,0.9,0,
73,1,11,deterministic,sequence concealed,none,4,4,0.8034,0.9,0,
73,1,12,deterministic,sequence concealed,none,3,3,0.6779,0.9,0,
73,1,13,deterministic,sequence concealed,none,5,5,0.58,0.9,0,
73,1,14,deterministic,sequence concealed,none,2,2,0.608,0.9,0,
73,1,15,deterministic,sequence concealed,none,3,3,0.6504,0.9,0,
73,1,16,deterministic,sequence concealed,none,6,6,0.4965,0.9,0,
73,1,17,deterministic,sequence concealed,none,1,1,0.4476,0.9,0,
73,1,18,deterministic,sequence concealed,none,3,3,0.7335,0.9,0,
73,1,19,deterministic,sequence concealed,none,2,2,0.5104,0.9,0,
73,1,20,deterministic,sequence concealed,none,4,4,0.5174,0.9,0,
73,1,21,deterministic,sequence concealed,none,1,1,0.5594,0.9,0,
73,1,22,deterministic,sequence concealed,none,2,2,0.4267,0.9,0,
73,1,23,deterministic,sequence concealed,none,6,6,0.4547,0.9,0,
73,1,24,deterministic,sequence concealed,none,4,4,0.4198,0.9,0,
73,1,25,deterministic,sequence concealed,none,2,2,0.566,0.8,0,
73,1,26,deterministic,sequence concealed,none,1,1,0.4476,0.8,0,
73,1,27,deterministic,sequence concealed,none,5,5,0.7287,0.8,0,
73,1,28,deterministic,sequence concealed,none,4,4,0.3917,0.8,0,
73,1,29,deterministic,sequence concealed,none,6,6,0.4825,0.8,0,
73,1,30,deterministic,sequence concealed,none,3,3,0.5593,0.8,0,
73,1,31,deterministic,sequence concealed,none,4,4,0.7057,0.8,0,
73,1,32,deterministic,sequence concealed,none,5,5,0.3639,0.8,0,
73,1,33,deterministic,sequence concealed,none,6,6,0.3429,0.8,0,
