ParticipantNumber	likingRating	likingRT	Picture	TrialNr	computerName	timeStamp
5	111	15.450000	20.png	1	Lehrelaptop2	2016-03-31_12.40.34.173000
5	126	16.227000	50.png	2	Lehrelaptop2	2016-03-31_12.40.34.173000
5	116	5.120000	40.png	3	Lehrelaptop2	2016-03-31_12.40.34.173000
5	116	5.831000	43.png	4	Lehrelaptop2	2016-03-31_12.40.34.173000
5	147	3.414000	55.png	5	Lehrelaptop2	2016-03-31_12.40.34.173000
5	155	3.318000	4.png	6	Lehrelaptop2	2016-03-31_12.40.34.173000
5	96	4.091000	1.png	7	Lehrelaptop2	2016-03-31_12.40.34.173000
5	121	2.539000	8.png	8	Lehrelaptop2	2016-03-31_12.40.34.173000
5	99	2.976000	28.png	9	Lehrelaptop2	2016-03-31_12.40.34.173000
5	72	3.162000	33.png	10	Lehrelaptop2	2016-03-31_12.40.34.173000
5	61	2.941000	53.png	11	Lehrelaptop2	2016-03-31_12.40.34.173000
5	133	3.730000	5.png	12	Lehrelaptop2	2016-03-31_12.40.34.173000
5	160	2.803000	6.png	13	Lehrelaptop2	2016-03-31_12.40.34.173000
5	184	6.167000	15.png	14	Lehrelaptop2	2016-03-31_12.40.34.173000
5	121	2.953000	7.png	15	Lehrelaptop2	2016-03-31_12.40.34.173000
5	145	2.925000	51.png	16	Lehrelaptop2	2016-03-31_12.40.34.173000
5	29	3.427000	54.png	17	Lehrelaptop2	2016-03-31_12.40.34.173000
5	82	6.009000	42.png	18	Lehrelaptop2	2016-03-31_12.40.34.173000
5	92	2.312000	14.png	19	Lehrelaptop2	2016-03-31_12.40.34.173000
5	117	3.242000	22.png	20	Lehrelaptop2	2016-03-31_12.40.34.173000
5	163	3.777000	56.png	21	Lehrelaptop2	2016-03-31_12.40.34.173000
5	111	4.220000	52.png	22	Lehrelaptop2	2016-03-31_12.40.34.173000
5	96	3.267000	3.png	23	Lehrelaptop2	2016-03-31_12.40.34.173000
5	141	7.056000	27.png	24	Lehrelaptop2	2016-03-31_12.40.34.173000
