ParticipantNumber	likingRating	likingRT	SoundOfStimulus	computerName	timeStamp	TrialNr
16	137	7.514000	60_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	1
16	151	6.537000	58_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	2
16	88	4.949000	59_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	3
16	138	5.899000	42_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	4
16	37	6.855000	42_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	5
16	46	4.499000	61_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	6
16	6	5.026000	46_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	7
16	76	4.266000	55_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	8
16	151	5.680000	6_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	9
16	7	4.526000	53_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	10
16	146	5.956000	61_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	11
16	104	4.776000	61_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	12
16	78	6.173000	58_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	13
16	36	4.055000	59_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	14
16	14	5.480000	45_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	15
16	48	4.287000	6_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	16
16	43	4.840000	59_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	17
16	52	4.562000	60_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	18
16	93	7.614000	60_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	19
16	87	7.638000	58_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	20
16	114	3.547000	45_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	21
16	105	2.826000	42_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	22
16	85	5.399000	55_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	23
16	118	3.310000	55_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	24
16	138	4.202000	46_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	25
16	107	3.369000	60_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	26
16	148	5.124000	42_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	27
16	92	5.185000	45_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	28
16	86	5.237000	45_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	29
16	65	5.522000	55_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	30
16	115	5.020000	53_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	31
16	33	6.109000	53_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	32
16	143	4.320000	59_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	33
16	56	4.686000	46_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	34
16	107	6.031000	58_pain.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	35
16	145	6.919000	6_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	36
16	115	5.840000	46_pleasure.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	37
16	174	4.426000	53_happiness.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	38
16	137	4.637000	6_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	39
16	63	5.920000	61_anger.wav	Lehrelaptop2	2016-03-31_14.47.08.302000	40
