ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
288	MotivationCS33.png	neu8.wav	158	1	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	04.png	n14.wav	152	2	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n14.wav	152	3	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p23.wav	152	4	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	04.png	n40.wav	152	5	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	22.png	n46.wav	250	6	0	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p21.wav	152	7	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p52.wav	152	8	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n31.wav	250	9	0	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS27.png	neu7.wav	170	10	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS27.png	neu9.wav	170	11	0	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	50.png	p91.wav	152	12	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu3.wav	158	13	0	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n11.wav	250	14	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS27.png	neu5.wav	170	15	90	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	03.png	p21.wav	250	16	0	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu9.wav	158	17	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p73.wav	152	18	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n30.wav	152	19	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n50.wav	152	20	90	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	04.png	n46.wav	152	21	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu10.wav	158	22	90	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n46.wav	250	23	270	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	03.png	p52.wav	250	24	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS27.png	neu6.wav	170	25	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p73.wav	250	26	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p91.wav	152	27	0	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n11.wav	152	28	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	14.png	n45.wav	250	29	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	04.png	n50.wav	152	30	270	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS33.png	neu7.wav	158	31	90	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	03.png	p89.wav	250	32	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	08.png	p89.wav	250	33	180	90	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	03.png	p73.wav	250	34	180	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	51.png	p89.wav	152	35	90	0	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	MotivationCS27.png	neu1.wav	170	36	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	20.png	n13.wav	152	37	270	180	NoSpace	methexp32	2017-05-03_15.52.41.555000	
288	22.png	n11.wav	250	38	180	270	NoSpace	methexp32	2017-05-03_15.52.41.555000	
