ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
16	164	5.156000	43.png	positive	153	1	methexp32	2017-07-18_14.24.45.453000
16	37	1.917000	14.png	negative	153	2	methexp32	2017-07-18_14.24.45.453000
16	125	3.816000	16.png	positive	153	3	methexp32	2017-07-18_14.24.45.453000
16	52	2.716000	67.png	negative	153	4	methexp32	2017-07-18_14.24.45.453000
16	156	4.111000	98.png	positive	153	5	methexp32	2017-07-18_14.24.45.453000
16	185	3.725000	77.png	positive	153	6	methexp32	2017-07-18_14.24.45.453000
16	133	2.275000	70.png	negative	153	7	methexp32	2017-07-18_14.24.45.453000
16	27	2.386000	72.png	positive	153	8	methexp32	2017-07-18_14.24.45.453000
16	144	1.666000	99.png	negative	153	9	methexp32	2017-07-18_14.24.45.453000
16	162	4.676000	29.png	neutral	170	10	methexp32	2017-07-18_14.24.45.453000
16	47	1.796000	20.png	negative	153	11	methexp32	2017-07-18_14.24.45.453000
16	11	4.477000	13.png	negative	153	12	methexp32	2017-07-18_14.24.45.453000
16	165	2.756000	02.png	negative	153	13	methexp32	2017-07-18_14.24.45.453000
16	59	1.867000	12.png	positive	153	14	methexp32	2017-07-18_14.24.45.453000
16	38	2.656000	81.png	positive	153	15	methexp32	2017-07-18_14.24.45.453000
16	182	1.630000	39.png	negative	153	16	methexp32	2017-07-18_14.24.45.453000
16	165	3.855000	68.png	positive	153	17	methexp32	2017-07-18_14.24.45.453000
16	194	2.726000	50.png	neutral	158	18	methexp32	2017-07-18_14.24.45.453000
