ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
11	02.png	n11.wav	153	1	180	0	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	98.png	n31.wav	153	2	270	0	81.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p45.wav	153	3	90	270	99.png	0	methexp32	2017-07-14_11.38.47.366000
11	99.png	p53.wav	153	4	0	90	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	70.png	n31.wav	153	5	90	180	20.png	0	methexp32	2017-07-14_11.38.47.366000
11	98.png	n45.wav	153	6	0	270	98.png	1	methexp32	2017-07-14_11.38.47.366000
11	39.png	p52.wav	153	7	270	90	39.png	1	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu10.wav	158	8	0	180	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	72.png	n25.wav	153	9	90	180	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	70.png	n50.wav	153	10	90	270	14.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p23.wav	153	11	270	180	13.png	1	methexp32	2017-07-14_11.38.47.366000
11	14.png	p22.wav	153	12	90	180	39.png	0	methexp32	2017-07-14_11.38.47.366000
11	02.png	n45.wav	153	13	270	90	72.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n50.wav	153	14	270	180	67.png	0	methexp32	2017-07-14_11.38.47.366000
11	67.png	n11.wav	153	15	270	0	68.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n45.wav	153	16	90	270	99.png	0	methexp32	2017-07-14_11.38.47.366000
11	72.png	n31.wav	153	17	270	90	70.png	0	methexp32	2017-07-14_11.38.47.366000
11	20.png	p52.wav	153	18	180	0	50.png	0	methexp32	2017-07-14_11.38.47.366000
11	13.png	p22.wav	153	19	90	0	13.png	1	methexp32	2017-07-14_11.38.47.366000
11	14.png	p89.wav	153	20	270	180	98.png	0	methexp32	2017-07-14_11.38.47.366000
11	14.png	p91.wav	153	21	270	0	29.png	0	methexp32	2017-07-14_11.38.47.366000
11	68.png	n14.wav	153	22	270	0	68.png	1	methexp32	2017-07-14_11.38.47.366000
11	43.png	n30.wav	153	23	0	270	16.png	0	methexp32	2017-07-14_11.38.47.366000
11	29.png	neu3.wav	158	24	90	180	29.png	1	methexp32	2017-07-14_11.38.47.366000
11	98.png	n11.wav	153	25	0	180	43.png	0	methexp32	2017-07-14_11.38.47.366000
