ParticipantNumber	likingRating	likingRT	CS	correspondingUS	correspondingTime	TrialNr	computerName	timeStamp
43	80	5.440000	81b.png	positive	153	1	methexp32	2017-07-27_15.16.55.006000
43	89	2.097000	77b.png	positive	153	2	methexp32	2017-07-27_15.16.55.006000
43	181	5.194000	02b.png	negative	153	3	methexp32	2017-07-27_15.16.55.006000
43	90	2.076000	16b.png	positive	153	4	methexp32	2017-07-27_15.16.55.006000
43	90	1.566000	68b.png	negative	153	5	methexp32	2017-07-27_15.16.55.006000
43	90	2.196000	99.png	positive	153	6	methexp32	2017-07-27_15.16.55.006000
43	90	2.177000	39b.png	negative	153	7	methexp32	2017-07-27_15.16.55.006000
43	19	3.538000	67b.png	negative	153	8	methexp32	2017-07-27_15.16.55.006000
43	83	2.066000	13b.png	negative	153	9	methexp32	2017-07-27_15.16.55.006000
43	63	1.387000	98b.png	negative	153	10	methexp32	2017-07-27_15.16.55.006000
43	123	1.055000	12b.png	positive	153	11	methexp32	2017-07-27_15.16.55.006000
43	179	3.416000	50.png	neutral	170	12	methexp32	2017-07-27_15.16.55.006000
43	99	1.595000	72b.png	positive	153	13	methexp32	2017-07-27_15.16.55.006000
43	107	1.548000	43.png	positive	153	14	methexp32	2017-07-27_15.16.55.006000
43	118	1.336000	20b.png	positive	153	15	methexp32	2017-07-27_15.16.55.006000
43	92	1.247000	14b.png	negative	153	16	methexp32	2017-07-27_15.16.55.006000
43	65	1.317000	70b.png	negative	153	17	methexp32	2017-07-27_15.16.55.006000
43	191	1.685000	29.png	neutral	158	18	methexp32	2017-07-27_15.16.55.006000
