ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
39	50.png	neu3.wav	170	1	270	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n13.wav	153	2	180	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p52.wav	153	3	0	270	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p53.wav	153	4	270	0	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p36.wav	153	5	270	0	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n50.wav	153	6	270	90	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p73.wav	153	7	180	270	98b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu6.wav	170	8	0	180	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p89.wav	153	9	90	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n25.wav	153	10	0	180	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n50.wav	153	11	180	270	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n45.wav	153	12	90	270	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p73.wav	153	13	0	180	20b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p53.wav	153	14	90	0	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n46.wav	153	15	0	270	77b.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p22.wav	153	16	180	270	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p21.wav	153	17	180	270	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p91.wav	153	18	270	0	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu9.wav	158	19	270	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p91.wav	153	20	270	180	77b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu1.wav	158	21	270	0	29.png	1	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p23.wav	153	22	180	90	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n14.wav	153	23	270	180	72b.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n30.wav	153	24	0	270	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n30.wav	153	25	0	180	77b.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n45.wav	153	26	90	0	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p23.wav	153	27	180	90	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n46.wav	153	28	90	270	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n46.wav	153	29	90	270	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n46.wav	153	30	270	0	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu4.wav	170	31	0	90	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n14.wav	153	32	270	180	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n14.wav	153	33	180	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n25.wav	153	34	0	180	20b.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p53.wav	153	35	270	0	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n11.wav	153	36	90	180	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	02b.png	p36.wav	153	37	0	180	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p21.wav	153	38	180	0	39b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p23.wav	153	39	180	0	67b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n45.wav	153	40	270	90	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n46.wav	153	41	270	90	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	67b.png	n14.wav	153	42	0	90	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n50.wav	153	43	270	180	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p91.wav	153	44	90	0	77b.png	1	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n40.wav	153	45	180	0	81b.png	0	methexp32	2017-07-25_15.42.30.982000
39	43.png	p23.wav	153	46	270	0	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n46.wav	153	47	90	270	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	68b.png	n46.wav	153	48	90	180	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu5.wav	158	49	0	90	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n45.wav	153	50	0	270	02b.png	0	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n25.wav	153	51	0	90	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n40.wav	153	52	180	90	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	20b.png	p73.wav	153	53	270	180	13b.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n30.wav	153	54	90	180	20b.png	0	methexp32	2017-07-25_15.42.30.982000
39	16b.png	p23.wav	153	55	270	0	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n31.wav	153	56	0	270	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n25.wav	153	57	0	90	12b.png	0	methexp32	2017-07-25_15.42.30.982000
39	72b.png	p89.wav	153	58	0	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	81b.png	n31.wav	153	59	180	90	14b.png	0	methexp32	2017-07-25_15.42.30.982000
39	14b.png	n46.wav	153	60	270	180	50.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p36.wav	153	61	270	0	99.png	0	methexp32	2017-07-25_15.42.30.982000
39	99.png	n45.wav	153	62	180	270	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	70b.png	p45.wav	153	63	0	90	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	77b.png	p22.wav	153	64	270	180	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	39b.png	n25.wav	153	65	90	270	68b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p21.wav	153	66	90	270	70b.png	0	methexp32	2017-07-25_15.42.30.982000
39	12b.png	p22.wav	153	67	270	180	29.png	0	methexp32	2017-07-25_15.42.30.982000
39	98b.png	n50.wav	153	68	270	0	16b.png	0	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu9.wav	170	69	0	90	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	50.png	neu10.wav	170	70	270	90	50.png	1	methexp32	2017-07-25_15.42.30.982000
39	13b.png	n50.wav	153	71	270	0	43.png	0	methexp32	2017-07-25_15.42.30.982000
39	29.png	neu8.wav	158	72	90	180	29.png	1	methexp32	2017-07-25_15.42.30.982000
