US	CS	Time	PCName	timeStamp
n25.wav	68b.png	153	methexp32	2017-07-28_09.50.26.548000
n13.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	68b.png	153	methexp32	2017-07-28_09.50.26.548000
neu6.wav	29.png	170	methexp32	2017-07-28_09.50.26.548000
n25.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	13b.png	153	methexp32	2017-07-28_09.50.26.548000
p23.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
p52.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
p91.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
p89.wav	39b.png	153	methexp32	2017-07-28_09.50.26.548000
p53.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
p36.wav	70b.png	153	methexp32	2017-07-28_09.50.26.548000
neu2.wav	50.png	158	methexp32	2017-07-28_09.50.26.548000
p22.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	99.png	153	methexp32	2017-07-28_09.50.26.548000
p22.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	70b.png	153	methexp32	2017-07-28_09.50.26.548000
n45.wav	98b.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
p23.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
p21.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
n40.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
n14.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
n50.wav	12b.png	153	methexp32	2017-07-28_09.50.26.548000
n14.wav	43.png	153	methexp32	2017-07-28_09.50.26.548000
n46.wav	99.png	153	methexp32	2017-07-28_09.50.26.548000
p73.wav	20b.png	153	methexp32	2017-07-28_09.50.26.548000
n50.wav	13b.png	153	methexp32	2017-07-28_09.50.26.548000
p45.wav	72b.png	153	methexp32	2017-07-28_09.50.26.548000
p45.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
n25.wav	02b.png	153	methexp32	2017-07-28_09.50.26.548000
p89.wav	20b.png	153	methexp32	2017-07-28_09.50.26.548000
p91.wav	20b.png	153	methexp32	2017-07-28_09.50.26.548000
p36.wav	14b.png	153	methexp32	2017-07-28_09.50.26.548000
n14.wav	16b.png	153	methexp32	2017-07-28_09.50.26.548000
n11.wav	13b.png	153	methexp32	2017-07-28_09.50.26.548000
p22.wav	81b.png	153	methexp32	2017-07-28_09.50.26.548000
p89.wav	77b.png	153	methexp32	2017-07-28_09.50.26.548000
n50.wav	43.png	153	methexp32	2017-07-28_09.50.26.548000
