ParticipantNumber	CS	US	Length	TrialNr	maskTurns1	maskTurns2	space	computerName	timeStamp	
116	29.png	neu3.wav	158	1	270	0	Space	methexp32	2017-11-02_14.47.53.748000	
116	12b.png	neu5.wav	153	2	180	90	NoSpace	methexp32	2017-11-02_14.47.53.748000	
116	29.png	neu2.wav	158	3	180	0	Space	methexp32	2017-11-02_14.47.53.748000	
116	14b.png	neu7.wav	153	4	0	180	NoSpace	methexp32	2017-11-02_14.47.53.748000	
116	13b.png	neu9.wav	250	5	90	270	NoSpace	methexp32	2017-11-02_14.47.53.748000	
116	29.png	neu1.wav	158	6	90	180	Space	methexp32	2017-11-02_14.47.53.748000	
116	13b.png	neu6.wav	153	7	0	270	NoSpace	methexp32	2017-11-02_14.47.53.748000	
116	29.png	neu4.wav	158	8	180	270	Space	methexp32	2017-11-02_14.47.53.748000	
116	14b.png	neu10.wav	250	9	90	0	NoSpace	methexp32	2017-11-02_14.47.53.748000	
116	12b.png	neu8.wav	250	10	180	90	NoSpace	methexp32	2017-11-02_14.47.53.748000	
