ParticipantNumber	CS	US	Length	TrialNr	maskTurnsPre	maskTurnsPost	Answer	correctAnswer	computerName	timeStamp
86	98b.png	n25.wav	250	1	270	180	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu6.wav	170	2	180	270	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n50.wav	153	3	270	180	81b.png	0	methexp32	2017-10-20_12.53.33.104000
86	43.png	p52.wav	153	4	90	0	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n14.wav	153	5	90	270	39b.png	0	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p22.wav	250	6	270	90	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n31.wav	250	7	270	180	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu3.wav	170	8	0	90	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p91.wav	250	9	270	0	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n13.wav	153	10	180	0	68b.png	0	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n11.wav	153	11	270	90	39b.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p21.wav	153	12	90	180	43.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n46.wav	250	13	270	90	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n14.wav	250	14	270	180	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu7.wav	158	15	0	180	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	43.png	p21.wav	153	16	0	270	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n11.wav	250	17	180	90	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p73.wav	153	18	180	270	50.png	0	methexp32	2017-10-20_12.53.33.104000
86	43.png	p53.wav	153	19	0	180	68b.png	0	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p23.wav	153	20	270	0	20b.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p23.wav	250	21	0	270	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n25.wav	153	22	0	270	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n13.wav	250	23	90	0	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p89.wav	250	24	90	270	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n46.wav	250	25	180	0	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n45.wav	250	26	0	180	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu4.wav	158	27	180	0	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p22.wav	153	28	0	270	43.png	0	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p53.wav	250	29	0	180	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n13.wav	153	30	270	180	16b.png	1	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p36.wav	250	31	180	0	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n46.wav	153	32	180	90	16b.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p73.wav	250	33	270	0	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p73.wav	250	34	270	180	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n11.wav	250	35	180	90	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	43.png	p23.wav	153	36	180	270	16b.png	0	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n30.wav	250	37	90	270	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	43.png	p22.wav	153	38	90	0	20b.png	0	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu6.wav	158	39	270	180	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n40.wav	153	40	270	180	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p45.wav	153	41	270	180	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n50.wav	250	42	90	270	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu5.wav	158	43	0	270	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n50.wav	250	44	0	180	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n31.wav	153	45	0	180	43.png	0	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p52.wav	153	46	0	90	29.png	0	methexp32	2017-10-20_12.53.33.104000
86	43.png	p91.wav	153	47	90	270	98b.png	0	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p45.wav	250	48	180	0	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n45.wav	153	49	90	270	16b.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu1.wav	170	50	0	180	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	98b.png	n45.wav	250	51	90	0	98b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n40.wav	153	52	0	270	98b.png	0	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p91.wav	250	53	270	90	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p21.wav	250	54	180	270	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p36.wav	153	55	0	270	29.png	0	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p21.wav	250	56	90	270	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n30.wav	153	57	90	180	98b.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n40.wav	250	58	270	0	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu5.wav	170	59	180	90	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n14.wav	153	60	90	0	20b.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n25.wav	250	61	180	90	50.png	0	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu10.wav	158	62	90	0	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n30.wav	250	63	180	270	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu9.wav	170	64	270	90	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p23.wav	250	65	180	270	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	16b.png	n11.wav	153	66	0	180	70b.png	0	methexp32	2017-10-20_12.53.33.104000
86	70b.png	n14.wav	250	67	0	270	70b.png	1	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p22.wav	250	68	0	180	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu3.wav	158	69	0	90	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	43.png	p89.wav	153	70	0	270	43.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu7.wav	170	71	90	270	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p91.wav	153	72	90	180	20b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu2.wav	158	73	0	90	29.png	1	methexp32	2017-10-20_12.53.33.104000
86	39b.png	n31.wav	153	74	180	0	68b.png	0	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p36.wav	250	75	0	270	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	68b.png	p53.wav	250	76	270	0	68b.png	1	methexp32	2017-10-20_12.53.33.104000
86	43.png	p45.wav	153	77	0	90	43.png	1	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu2.wav	170	78	180	0	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p53.wav	153	79	180	90	68b.png	0	methexp32	2017-10-20_12.53.33.104000
86	20b.png	p89.wav	153	80	90	180	68b.png	0	methexp32	2017-10-20_12.53.33.104000
86	50.png	neu8.wav	170	81	0	270	50.png	1	methexp32	2017-10-20_12.53.33.104000
86	81b.png	p89.wav	250	82	270	90	81b.png	1	methexp32	2017-10-20_12.53.33.104000
86	29.png	neu8.wav	158	83	180	270	29.png	1	methexp32	2017-10-20_12.53.33.104000
