US	CS	Time	PCName	timeStamp
p45.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p52.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
neu6.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
n40.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
p91.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
p22.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
neu1.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n45.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n14.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
p52.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
neu7.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
n30.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
n45.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
n46.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
neu8.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
p21.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
p53.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
p45.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
neu9.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
p23.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
n11.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
p23.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
neu3.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
neu3.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
p89.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
neu5.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
p73.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p73.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
n31.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
p21.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
p21.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
n14.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
n25.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
n30.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
p53.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
p53.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p73.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
neu6.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
p45.wav	39b.png	250	methexp32	2017-10-12_13.31.51.791000
n40.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
p36.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
n25.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
n25.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n50.wav	81b.png	250	methexp32	2017-10-12_13.31.51.791000
neu1.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
neu4.wav	29.png	158	methexp32	2017-10-12_13.31.51.791000
n30.wav	98b.png	153	methexp32	2017-10-12_13.31.51.791000
n40.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
neu9.wav	50.png	170	methexp32	2017-10-12_13.31.51.791000
p53.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
p21.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
n45.wav	68b.png	153	methexp32	2017-10-12_13.31.51.791000
p36.wav	43.png	153	methexp32	2017-10-12_13.31.51.791000
p36.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
p22.wav	16b.png	250	methexp32	2017-10-12_13.31.51.791000
p45.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
p91.wav	20b.png	153	methexp32	2017-10-12_13.31.51.791000
n31.wav	70b.png	250	methexp32	2017-10-12_13.31.51.791000
