ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp
2	0	0	neu_l_71.wav	pos_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_67.wav	neu_r_51.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_16.wav	pos_r_76.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_20.wav	neu_r_73.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_46.wav	neu_r_75.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_9.wav	neu_r_51.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_4.wav	pos_r_11.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_19.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_30.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_12.wav	neg_r_23.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_15.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_31.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	neg_r_9.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_41.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_33.wav	pos_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_27.wav	neu_r_35.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_2.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_16.wav	pos_r_5.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_20.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neu_r_8.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_9.wav	neg_r_67.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_6.wav	neu_r_5.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_68.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_56.wav	neg_r_39.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_31.wav	r_lup_12.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_19.wav	neg_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_53.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_72.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	1	0	l_lup_17.wav	neu_r_58.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_19.wav	neg_r_32.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_7.wav	neu_r_52.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_8.wav	neu_r_44.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_15.wav	pos_r_79.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_2.wav	neu_r_63.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_39.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_30.wav	r_tol_10.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_10.wav	neg_r_48.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_71.wav	pos_r_70.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_29.wav	neu_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_62.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_6.wav	neu_r_76.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_33.wav	neu_r_43.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_4.wav	neu_r_50.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_5.wav	pos_r_47.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_18.wav	neu_r_54.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_48.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_10.wav	neu_r_64.wav	2015-03-04_11.08.49.598000
2	1	1	l_tol_12.wav	neg_r_80.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_15.wav	neu_r_59.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_10.wav	neu_r_66.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_10.wav	neg_r_37.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_39.wav	r_lup_5.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_41.wav	r_tol_10.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_45.wav	neg_r_19.wav	2015-03-04_11.08.49.598000
2	1	0	neu_l_34.wav	r_nif_5.wav	2015-03-04_11.08.49.598000
2	0	1	neu_l_4.wav	r_tol_3.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_31.wav	neg_r_29.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_67.wav	r_lup_1.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_33.wav	pos_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_12.wav	neu_r_49.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_17.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_19.wav	neg_r_30.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_7.wav	neu_r_24.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_28.wav	neu_r_36.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_3.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_6.wav	neg_r_13.wav	2015-03-04_11.08.49.598000
2	0	0	l_nif_11.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_3.wav	neu_r_2.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_79.wav	neg_r_67.wav	2015-03-04_11.08.49.598000
2	0	0	neu_l_55.wav	r_nif_16.wav	2015-03-04_11.08.49.598000
2	0	0	l_lup_7.wav	neu_r_37.wav	2015-03-04_11.08.49.598000
2	0	1	l_tol_9.wav	neg_r_64.wav	2015-03-04_11.08.49.598000
2	1	0	l_nif_6.wav	neu_r_65.wav	2015-03-04_11.08.49.598000
