ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp
9	49	8.454000	Cocotol	./sounds/cs/ratingcs/tol_10.wav	1	cs2	labor2	2015-03-05_16.32.40.511000
9	49	4.984000	Hulutol	./sounds/cs/ratingcs/tol_20.wav	1	cs2	labor2	2015-03-05_16.32.40.511000
9	30	4.073000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	30	2.200000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	50	2.793000	Reretol	./sounds/cs/ratingcs/tol_2.wav	-1	cs2	labor2	2015-03-05_16.32.40.511000
9	22	3.865000	Allanif	./sounds/cs/ratingcs/nif_7.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	50	2.654000	Kissunif	./sounds/cs/ratingcs/nif_16.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	41	2.241000	Teppanif	./sounds/cs/ratingcs/nif_15.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	40	3.320000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	29	2.535000	Dattonif	./sounds/cs/ratingcs/nif_12.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	50	2.460000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	target	labor2	2015-03-05_16.32.40.511000
9	51	2.182000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	target	labor2	2015-03-05_16.32.40.511000
9	40	2.248000	Reetolup	./sounds/cs/ratingcs/lup_15.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	60	3.253000	Lalatol	./sounds/cs/ratingcs/tol_1.wav	1	cs2	labor2	2015-03-05_16.32.40.511000
9	41	2.189000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	60	2.580000	Nanatol	./sounds/cs/ratingcs/tol_3.wav	-1	cs2	labor2	2015-03-05_16.32.40.511000
9	18	2.613000	Rellnif	./sounds/cs/ratingcs/nif_6.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	61	3.476000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	target	labor2	2015-03-05_16.32.40.511000
9	21	2.694000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	21	2.006000	Dimmanif	./sounds/cs/ratingcs/nif_11.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	60	1.877000	Dilitol	./sounds/cs/ratingcs/tol_8.wav	1	cs2	labor2	2015-03-05_16.32.40.511000
9	30	2.169000	Missonif	./sounds/cs/ratingcs/nif_10.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	20	2.612000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	18	2.141000	Maasolup	./sounds/cs/ratingcs/lup_1.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	21	2.573000	Rustutol	./sounds/cs/ratingcs/tol_15.wav	-1	target	labor2	2015-03-05_16.32.40.511000
9	50	2.818000	Dakatol	./sounds/cs/ratingcs/tol_6.wav	1	target	labor2	2015-03-05_16.32.40.511000
9	40	2.040000	Falatol	./sounds/cs/ratingcs/tol_4.wav	-1	cs2	labor2	2015-03-05_16.32.40.511000
9	40	1.605000	Sesetol	./sounds/cs/ratingcs/tol_9.wav	1	target	labor2	2015-03-05_16.32.40.511000
9	22	2.193000	Kattanif	./sounds/cs/ratingcs/nif_13.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
9	59	1.805000	Renetol	./sounds/cs/ratingcs/tol_5.wav	-1	cs2	labor2	2015-03-05_16.32.40.511000
9	69	3.259000	Zackatol	./sounds/cs/ratingcs/tol_17.wav	-1	cs2	labor2	2015-03-05_16.32.40.511000
9	30	3.106000	Nenetol	./sounds/cs/ratingcs/tol_19.wav	1	cs2	labor2	2015-03-05_16.32.40.511000
9	10	2.787000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	10	2.017000	Daanalup	./sounds/cs/ratingcs/lup_12.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	19	2.303000	Baakelup	./sounds/cs/ratingcs/lup_20.wav	0	cs1	labor2	2015-03-05_16.32.40.511000
9	20	2.944000	Lebbunif	./sounds/cs/ratingcs/nif_3.wav	0	cs3	labor2	2015-03-05_16.32.40.511000
