"","ParticipantNumber","likingRating","likingRT","CurrentTarget","SoundOfStimulus","Valence","Function","computerName","timeStamp","Position","N_pres","spacesum","stim","spacesumnext"
"1","10","43","6.546","Unoolup","./sounds/cs/ratingcs/lup_18.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_18.wav",0
"2","10","43","3.329","Issanif","./sounds/cs/ratingcs/nif_9.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_9.wav",0
"3","10","44","3.156","Tesoolup","./sounds/cs/ratingcs/lup_13.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_13.wav",0
"4","10","42","2.391","Renetol","./sounds/cs/ratingcs/tol_5.wav","1","target","labor8","2015-03-05_16.37.30.685000","r","5",0,"tol_5.wav",5
"5","10","41","3.127","Mofotol","./sounds/cs/ratingcs/tol_11.wav","-1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_11.wav",0
"6","10","42","2.37","Mateelup","./sounds/cs/ratingcs/lup_9.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_9.wav",0
"7","10","42","2.916","Rustutol","./sounds/cs/ratingcs/tol_15.wav","1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_15.wav",0
"8","10","41","2.233","Nanatol","./sounds/cs/ratingcs/tol_3.wav","1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_3.wav",0
"9","10","37","3.484","Saartelup","./sounds/cs/ratingcs/lup_10.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_10.wav",0
"10","10","32","2.862","Befetol","./sounds/cs/ratingcs/tol_14.wav","-1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_14.wav",0
"11","10","38","2.673","Cocotol","./sounds/cs/ratingcs/tol_10.wav","1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_10.wav",0
"12","10","38","2.628","Kennunif","./sounds/cs/ratingcs/nif_5.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_5.wav",0
"13","10","37","2.154","Kullonif","./sounds/cs/ratingcs/nif_17.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_17.wav",0
"14","10","37","2.03","Dilitol","./sounds/cs/ratingcs/tol_8.wav","-1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_8.wav",0
"15","10","39","2.124","Reretol","./sounds/cs/ratingcs/tol_2.wav","1","target","labor8","2015-03-05_16.37.30.685000","r","5",0,"tol_2.wav",5
"16","10","38","4.551","Nenetol","./sounds/cs/ratingcs/tol_19.wav","1","target","labor8","2015-03-05_16.37.30.685000","r","5",0,"tol_19.wav",5
"17","10","38","2.325","Dimmanif","./sounds/cs/ratingcs/nif_11.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_11.wav",0
"18","10","39","2.098","Eskannif","./sounds/cs/ratingcs/nif_2.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_2.wav",0
"19","10","38","1.805","Baakelup","./sounds/cs/ratingcs/lup_20.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_20.wav",0
"20","10","38","1.818","Jessunif","./sounds/cs/ratingcs/nif_19.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_19.wav",0
"21","10","28","3.532","Spanatol","./sounds/cs/ratingcs/tol_16.wav","1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_16.wav",0
"22","10","37","2.549","Missonif","./sounds/cs/ratingcs/nif_10.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_10.wav",0
"23","10","38","2.315","Daanalup","./sounds/cs/ratingcs/lup_12.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_12.wav",0
"24","10","39","3.131","Hulutol","./sounds/cs/ratingcs/tol_20.wav","-1","target","labor8","2015-03-05_16.37.30.685000","r","5",0,"tol_20.wav",5
"25","10","37","2.306","Falatol","./sounds/cs/ratingcs/tol_4.wav","-1","target","labor8","2015-03-05_16.37.30.685000","r","5",0,"tol_4.wav",5
"26","10","38","1.868","Toleelup","./sounds/cs/ratingcs/lup_5.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_5.wav",0
"27","10","38","2.064","Waneelup","./sounds/cs/ratingcs/lup_6.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_6.wav",0
"28","10","38","2.51","Lalatol","./sounds/cs/ratingcs/tol_1.wav","-1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_1.wav",0
"29","10","38","2.404","Deretol","./sounds/cs/ratingcs/tol_12.wav","-1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_12.wav",0
"30","10","39","1.726","Bollanif","./sounds/cs/ratingcs/nif_8.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_8.wav",0
"31","10","38","2.313","Omeelup","./sounds/cs/ratingcs/lup_3.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_3.wav",0
"32","10","38","2.056","Maasolup","./sounds/cs/ratingcs/lup_1.wav","0","cs1","labor8","2015-03-05_16.37.30.685000","l","10",0,"lup_1.wav",0
"33","10","38","2.184","Kattanif","./sounds/cs/ratingcs/nif_13.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_13.wav",0
"34","10","38","2.752","Piditol","./sounds/cs/ratingcs/tol_13.wav","1","cs2","labor8","2015-03-05_16.37.30.685000","l","10",0,"tol_13.wav",0
"35","10","38","2.945","Nomotol","./sounds/cs/ratingcs/tol_7.wav","-1","target","labor8","2015-03-05_16.37.30.685000","r","5",1,"tol_7.wav",4
"36","10","38","2.264","Cellanif","./sounds/cs/ratingcs/nif_1.wav","0","cs3","labor8","2015-03-05_16.37.30.685000","l","10",0,"nif_1.wav",0
"37","11","58","9.666","Eskannif","./sounds/cs/ratingcs/nif_2.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_2.wav",0
"38","11","48","6.432","Kaneelup","./sounds/cs/ratingcs/lup_7.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",9,"lup_7.wav",0
"39","11","65","4.982","Spanatol","./sounds/cs/ratingcs/tol_16.wav","-1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_16.wav",5
"40","11","45","3.242","Dakatol","./sounds/cs/ratingcs/tol_6.wav","1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_6.wav",2
"41","11","46","4.001","Koleelup","./sounds/cs/ratingcs/lup_16.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",5,"lup_16.wav",0
"42","11","52","3.209","Nomotol","./sounds/cs/ratingcs/tol_7.wav","-1","target","labor5","2015-03-09_10.17.00.265000","r","5",0,"tol_7.wav",5
"43","11","60","3.26","Lalatol","./sounds/cs/ratingcs/tol_1.wav","1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_1.wav",6
"44","11","59","5.939","Istennif","./sounds/cs/ratingcs/nif_20.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_20.wav",0
"45","11","55","3.272","Mofotol","./sounds/cs/ratingcs/tol_11.wav","-1","target","labor5","2015-03-09_10.17.00.265000","r","5",0,"tol_11.wav",4
"46","11","35","3.571","Dimmanif","./sounds/cs/ratingcs/nif_11.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_11.wav",0
"47","11","71","2.874","Toleelup","./sounds/cs/ratingcs/lup_5.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",2,"lup_5.wav",0
"48","11","41","1.957","Falatol","./sounds/cs/ratingcs/tol_4.wav","-1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_4.wav",3
"49","11","48","2.507","Allanif","./sounds/cs/ratingcs/nif_7.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_7.wav",0
"50","11","42","1.97","Cellanif","./sounds/cs/ratingcs/nif_1.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_1.wav",0
"51","11","49","3.003","Deretol","./sounds/cs/ratingcs/tol_12.wav","-1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_12.wav",5
"52","11","79","3.363","Saartelup","./sounds/cs/ratingcs/lup_10.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",5,"lup_10.wav",0
"53","11","48","2.033","Nanatol","./sounds/cs/ratingcs/tol_3.wav","1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_3.wav",4
"54","11","47","3.133","Kattanif","./sounds/cs/ratingcs/nif_13.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_13.wav",0
"55","11","57","4.902","Daanalup","./sounds/cs/ratingcs/lup_12.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",4,"lup_12.wav",0
"56","11","57","1.923","Zallunif","./sounds/cs/ratingcs/nif_4.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_4.wav",0
"57","11","50","1.398","Sesetol","./sounds/cs/ratingcs/tol_9.wav","-1","target","labor5","2015-03-09_10.17.00.265000","r","5",0,"tol_9.wav",3
"58","11","65","2.39","Baakelup","./sounds/cs/ratingcs/lup_20.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",4,"lup_20.wav",0
"59","11","64","1.918","Neenolup","./sounds/cs/ratingcs/lup_2.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",6,"lup_2.wav",0
"60","11","41","2.329","Cocotol","./sounds/cs/ratingcs/tol_10.wav","1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_10.wav",4
"61","11","54","2.048","Renetol","./sounds/cs/ratingcs/tol_5.wav","1","target","labor5","2015-03-09_10.17.00.265000","r","5",1,"tol_5.wav",3
"62","11","56","1.916","Dattonif","./sounds/cs/ratingcs/nif_12.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_12.wav",0
"63","11","51","1.75","Piditol","./sounds/cs/ratingcs/tol_13.wav","-1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_13.wav",9
"64","11","53","1.785","Dilitol","./sounds/cs/ratingcs/tol_8.wav","1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_8.wav",4
"65","11","54","1.738","Zackatol","./sounds/cs/ratingcs/tol_17.wav","-1","cs2","labor5","2015-03-09_10.17.00.265000","l","10",0,"tol_17.wav",4
"66","11","57","1.835","Jessunif","./sounds/cs/ratingcs/nif_19.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",0,"nif_19.wav",0
"67","11","61","1.442","Rustutol","./sounds/cs/ratingcs/tol_15.wav","1","target","labor5","2015-03-09_10.17.00.265000","r","5",0,"tol_15.wav",4
"68","11","70","2.317","Moteelup","./sounds/cs/ratingcs/lup_19.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",4,"lup_19.wav",0
"69","11","66","2.173","Tesoolup","./sounds/cs/ratingcs/lup_13.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",3,"lup_13.wav",1
"70","11","55","3.554","Dullanif","./sounds/cs/ratingcs/nif_14.wav","0","cs1","labor5","2015-03-09_10.17.00.265000","l","10",1,"nif_14.wav",0
"71","11","38","5.945","Mateelup","./sounds/cs/ratingcs/lup_9.wav","0","cs3","labor5","2015-03-09_10.17.00.265000","l","10",4,"lup_9.wav",0
"72","11","55","55.438","Befetol","./sounds/cs/ratingcs/tol_14.wav","1","target","labor5","2015-03-09_10.17.00.265000","r","5",0,"tol_14.wav",5
"73","12","10","5.646","Piditol","./sounds/cs/ratingcs/tol_13.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_13.wav",0
"74","12","41","2.961","Dimmanif","./sounds/cs/ratingcs/nif_11.wav","-1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_11.wav",0
"75","12","40","2.368","Istennif","./sounds/cs/ratingcs/nif_20.wav","1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_20.wav",0
"76","12","19","3.006","Nomotol","./sounds/cs/ratingcs/tol_7.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_7.wav",0
"77","12","32","3.229","Kissunif","./sounds/cs/ratingcs/nif_16.wav","-1","target","labor5","2015-03-09_15.57.43.324000","r","5",0,"nif_16.wav",5
"78","12","20","5.713","Zallunif","./sounds/cs/ratingcs/nif_4.wav","-1","target","labor5","2015-03-09_15.57.43.324000","r","5",0,"nif_4.wav",5
"79","12","57","3.632","Bollanif","./sounds/cs/ratingcs/nif_8.wav","-1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_8.wav",0
"80","12","0","3.455","Dattonif","./sounds/cs/ratingcs/nif_12.wav","-1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_12.wav",0
"81","12","51","2.754","Saartelup","./sounds/cs/ratingcs/lup_10.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_10.wav",0
"82","12","31","3.146","Kullonif","./sounds/cs/ratingcs/nif_17.wav","1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_17.wav",0
"83","12","31","3.333","Siritol","./sounds/cs/ratingcs/tol_18.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_18.wav",0
"84","12","10","2.676","Kaneelup","./sounds/cs/ratingcs/lup_7.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_7.wav",0
"85","12","29","2.66","Dullanif","./sounds/cs/ratingcs/nif_14.wav","1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_14.wav",0
"86","12","50","2.536","Missonif","./sounds/cs/ratingcs/nif_10.wav","1","target","labor5","2015-03-09_15.57.43.324000","r","5",0,"nif_10.wav",4
"87","12","39","2.93","Nanatol","./sounds/cs/ratingcs/tol_3.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_3.wav",0
"88","12","30","2.773","Kennunif","./sounds/cs/ratingcs/nif_5.wav","1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_5.wav",0
"89","12","50","2.684","Cocotol","./sounds/cs/ratingcs/tol_10.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_10.wav",0
"90","12","30","3.005","Maasolup","./sounds/cs/ratingcs/lup_1.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_1.wav",0
"91","12","40","2.246","Koleelup","./sounds/cs/ratingcs/lup_16.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_16.wav",0
"92","12","10","2.723","Befetol","./sounds/cs/ratingcs/tol_14.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",1,"tol_14.wav",0
"93","12","1","2.466","Tareelup","./sounds/cs/ratingcs/lup_8.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_8.wav",0
"94","12","40","6.018","Lebbunif","./sounds/cs/ratingcs/nif_3.wav","1","target","labor5","2015-03-09_15.57.43.324000","r","5",1,"nif_3.wav",4
"95","12","40","3.198","Issanif","./sounds/cs/ratingcs/nif_9.wav","1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_9.wav",0
"96","12","50","3.57","Jessunif","./sounds/cs/ratingcs/nif_19.wav","-1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_19.wav",0
"97","12","20","3.837","Spanatol","./sounds/cs/ratingcs/tol_16.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_16.wav",0
"98","12","20","1.864","Deretol","./sounds/cs/ratingcs/tol_12.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_12.wav",0
"99","12","10","1.788","Moteelup","./sounds/cs/ratingcs/lup_19.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_19.wav",0
"100","12","1","2.369","Eekalup","./sounds/cs/ratingcs/lup_11.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_11.wav",0
"101","12","40","2.54","Allanif","./sounds/cs/ratingcs/nif_7.wav","-1","cs2","labor5","2015-03-09_15.57.43.324000","l","10",0,"nif_7.wav",0
"102","12","30","2.485","Toleelup","./sounds/cs/ratingcs/lup_5.wav","0","cs3","labor5","2015-03-09_15.57.43.324000","l","10",0,"lup_5.wav",0
"103","12","11","4.358","Rellnif","./sounds/cs/ratingcs/nif_6.wav","-1","target","labor5","2015-03-09_15.57.43.324000","r","5",0,"nif_6.wav",4
"104","12","20","4.711","Falatol","./sounds/cs/ratingcs/tol_4.wav","0","cs1","labor5","2015-03-09_15.57.43.324000","l","10",0,"tol_4.wav",0
"105","12","20","3.281","Cellanif","./sounds/cs/ratingcs/nif_1.wav","1","target","labor5","2015-03-09_15.57.43.324000","r","5",1,"nif_1.wav",4
