ParticipantNumber	SpaceYesNo	LeftOrder	RightOrder	IsTarget	Valence	Interval	timeStamp
88	0	neu_l_6.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_53.wav	pos_r_37.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_41.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_4.wav	neg_r_25.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_52.wav	pos_r_30.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_30.wav	neg_r_48.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	neu_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_22.wav	pos_r_78.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	neu_r_8.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_63.wav	neg_r_2.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_2.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	neg_r_65.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_60.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_71.wav	pos_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_10.wav	neg_r_38.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	pos_r_36.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	neu_r_16.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_25.wav	neg_r_50.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_27.wav	neu_r_39.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_13.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_3.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_48.wav	pos_r_35.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_10.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_1.wav	neu_r_50.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_11.wav	neu_r_24.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_6.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_53.wav	pos_r_37.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_41.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_4.wav	neg_r_25.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_52.wav	pos_r_30.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_30.wav	neg_r_48.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	neu_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_22.wav	pos_r_78.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	neu_r_8.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_63.wav	neg_r_2.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_2.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	neg_r_65.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_60.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_71.wav	pos_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_10.wav	neg_r_38.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	pos_r_36.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	neu_r_16.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_25.wav	neg_r_50.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_27.wav	neu_r_39.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_13.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_3.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_48.wav	pos_r_35.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_10.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_1.wav	neu_r_50.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_11.wav	neu_r_24.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_6.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_53.wav	pos_r_37.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_41.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_4.wav	neg_r_25.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	r_lup_20.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_52.wav	pos_r_30.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_30.wav	neg_r_48.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	neu_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_22.wav	pos_r_78.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	neu_r_8.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_63.wav	neg_r_2.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_2.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_78.wav	r_lup_15.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_67.wav	neg_r_65.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_60.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_71.wav	pos_r_55.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	r_lup_12.wav	1	-1	1	2015-06-19_13.08.53.160000
88	1	neu_l_10.wav	neg_r_38.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_34.wav	pos_r_36.wav	0	1	1	2015-06-19_13.08.53.160000
88	0	neu_l_67.wav	neu_r_16.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_25.wav	neg_r_50.wav	0	-1	1	2015-06-19_13.08.53.160000
88	0	neu_l_27.wav	neu_r_39.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_13.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_3.wav	neu_r_20.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	neu_l_61.wav	r_lup_3.wav	1	1	1	2015-06-19_13.08.53.160000
88	1	neu_l_48.wav	pos_r_35.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_10.wav	neu_r_70.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_1.wav	neu_r_50.wav	0	0	0	2015-06-19_13.08.53.160000
88	0	l_tol_11.wav	neu_r_24.wav	0	0	0	2015-06-19_13.08.53.160000
