ParticipantNumber	SpaceYesNo	IsTarget	LeftOrder	RightOrder	timeStamp	TrialNr	Interval
72	0	1	l_tol_9.wav	neu_r_29.wav	2015-06-18_10.30.24.350000	1	1
72	0	0	l_lup_4.wav	neg_r_49.wav	2015-06-18_10.30.24.350000	2	0
72	0	0	l_nif_6.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	3	0
72	0	0	neu_l_27.wav	pos_r_28.wav	2015-06-18_10.30.24.350000	4	1
72	0	0	neu_l_14.wav	neu_r_28.wav	2015-06-18_10.30.24.350000	5	0
72	0	1	l_tol_2.wav	neu_r_7.wav	2015-06-18_10.30.24.350000	6	1
72	0	0	l_lup_3.wav	pos_r_25.wav	2015-06-18_10.30.24.350000	7	0
72	0	0	l_nif_12.wav	neu_r_61.wav	2015-06-18_10.30.24.350000	8	0
72	0	1	neu_l_53.wav	r_tol_1.wav	2015-06-18_10.30.24.350000	9	1
72	1	0	neu_l_58.wav	neg_r_26.wav	2015-06-18_10.30.24.350000	10	0
72	0	0	neu_l_42.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	11	0
72	0	1	neu_l_70.wav	r_tol_15.wav	2015-06-18_10.30.24.350000	12	1
72	1	0	neu_l_44.wav	pos_r_16.wav	2015-06-18_10.30.24.350000	13	0
72	0	0	neu_l_42.wav	neu_r_39.wav	2015-06-18_10.30.24.350000	14	0
72	0	1	l_tol_14.wav	neu_r_55.wav	2015-06-18_10.30.24.350000	15	1
72	1	0	l_lup_10.wav	neg_r_24.wav	2015-06-18_10.30.24.350000	16	0
72	0	0	l_nif_9.wav	neu_r_33.wav	2015-06-18_10.30.24.350000	17	0
72	0	1	l_tol_2.wav	neu_r_61.wav	2015-06-18_10.30.24.350000	18	1
72	0	0	l_lup_3.wav	pos_r_77.wav	2015-06-18_10.30.24.350000	19	0
72	0	0	l_nif_12.wav	neu_r_41.wav	2015-06-18_10.30.24.350000	20	0
72	0	0	neu_l_53.wav	pos_r_58.wav	2015-06-18_10.30.24.350000	21	1
72	0	0	neu_l_27.wav	neu_r_22.wav	2015-06-18_10.30.24.350000	22	0
72	1	1	neu_l_27.wav	r_tol_10.wav	2015-06-18_10.30.24.350000	23	1
