ParticipantNumber	likingRating	likingRT	CurrentTarget	SoundOfStimulus	Valence	Function	computerName	timeStamp	TrialNr
70	63	4.859000	Cellanif	./sounds/cs/ratingcs/nif_1.wav	1	cs3	labor1	2015-06-18_09.35.36.569000	1
70	31	6.281000	Issanif	./sounds/cs/ratingcs/nif_9.wav	1	cs2	labor1	2015-06-18_09.35.36.569000	2
70	59	3.645000	Saartelup	./sounds/cs/ratingcs/lup_10.wav	1	cs3	labor1	2015-06-18_09.35.36.569000	3
70	30	3.418000	Kennunif	./sounds/cs/ratingcs/nif_5.wav	-1	cs1	labor1	2015-06-18_09.35.36.569000	4
70	57	4.016000	Neenolup	./sounds/cs/ratingcs/lup_2.wav	-1	target	labor1	2015-06-18_09.35.36.569000	5
70	48	3.900000	Toleelup	./sounds/cs/ratingcs/lup_5.wav	1	target	labor1	2015-06-18_09.35.36.569000	6
70	55	2.893000	Tareelup	./sounds/cs/ratingcs/lup_8.wav	-1	target	labor1	2015-06-18_09.35.36.569000	7
70	57	3.485000	Mofotol	./sounds/cs/ratingcs/tol_11.wav	-1	cs2	labor1	2015-06-18_09.35.36.569000	8
70	68	4.119000	Omeelup	./sounds/cs/ratingcs/lup_3.wav	-1	cs2	labor1	2015-06-18_09.35.36.569000	9
70	72	4.125000	Eekalup	./sounds/cs/ratingcs/lup_11.wav	1	target	labor1	2015-06-18_09.35.36.569000	10
70	77	2.940000	Daanalup	./sounds/cs/ratingcs/lup_12.wav	-1	target	labor1	2015-06-18_09.35.36.569000	11
70	33	2.699000	Renetol	./sounds/cs/ratingcs/tol_5.wav	1	cs2	labor1	2015-06-18_09.35.36.569000	12
70	68	2.587000	Moteelup	./sounds/cs/ratingcs/lup_19.wav	-1	target	labor1	2015-06-18_09.35.36.569000	13
70	53	2.986000	Waneelup	./sounds/cs/ratingcs/lup_6.wav	1	cs1	labor1	2015-06-18_09.35.36.569000	14
70	61	3.128000	Tesoolup	./sounds/cs/ratingcs/lup_13.wav	1	target	labor1	2015-06-18_09.35.36.569000	15
70	46	3.247000	Istennif	./sounds/cs/ratingcs/nif_20.wav	-1	cs3	labor1	2015-06-18_09.35.36.569000	16
70	64	3.037000	Deekalup	./sounds/cs/ratingcs/lup_14.wav	-1	cs1	labor1	2015-06-18_09.35.36.569000	17
70	57	3.145000	Wenaalup	./sounds/cs/ratingcs/lup_4.wav	1	target	labor1	2015-06-18_09.35.36.569000	18
70	66	2.462000	Koleelup	./sounds/cs/ratingcs/lup_16.wav	1	target	labor1	2015-06-18_09.35.36.569000	19
70	61	6.032000	Kaneelup	./sounds/cs/ratingcs/lup_7.wav	-1	target	labor1	2015-06-18_09.35.36.569000	20
70	46	2.859000	Befetol	./sounds/cs/ratingcs/tol_14.wav	-1	cs3	labor1	2015-06-18_09.35.36.569000	21
70	48	4.442000	Nomotol	./sounds/cs/ratingcs/tol_7.wav	1	cs1	labor1	2015-06-18_09.35.36.569000	22
