subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4
50,1,1,ec,6,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,9520.bmp,0.098,B   L   O   F,B   O   L   F,S   W   A   D,N   A   P   S,no,yes,no,no,
50,1,2,ec,5,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2791.bmp,0.098,F   R   O   B,F   R   O   L,S   N   A   D,S   W   A   D,no,no,yes,no,
50,1,3,ec,6,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,2080.bmp,0.098,S   W   A   D,B   O   L   F,B   L   O   F,S   P   A   W,no,no,yes,no,
50,1,4,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9630.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,no,yes,no,no,
50,1,5,ec,4,positive,S   N   A   D,maske_2.bmp,maske_1.bmp,5460.bmp,0.098,S   N   A   D,N   A   P   S,B   R   O   F,J   O   R   F,yes,no,no,no,
50,1,6,ec,7,positive,N   A   P   S,maske_1.bmp,maske_2.bmp,8501.bmp,0.098,S   P   A   W,J   O   R   F,B   O   R   F,N   A   P   S,no,no,no,yes,
50,1,7,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,7330.bmp,0.5,T   E   H   V,H   Y   V   Z,G   M   U   X,K   I   G   M,no,no,yes,no,
50,1,8,ec,1,negative,B   L   O   F,maske_2.bmp,maske_1.bmp,6530.bmp,0.098,D   W   A   P,S   N   A   D,B   L   O   F,L   O   B   F,yes,no,no,no,
50,1,9,ec,7,negative,B   R   O   F,maske_2.bmp,maske_1.bmp,9432.bmp,0.098,F   R   O   B,S   P   A   W,N   A   P   S,B   R   O   F,yes,no,no,no,
50,1,10,ec,8,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9340.bmp,0.098,W   A   P   S,S   N   A   W,F   R   O   L,J   O   R   F,yes,no,no,no,
50,1,11,ec,2,negative,L   O   B   F,maske_2.bmp,maske_1.bmp,9041.bmp,0.098,L   O   B   F,S   N   A   W,S   W   A   D,B   R   O   F,yes,no,no,no,
50,1,12,ec,1,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,1710.bmp,0.098,L   O   B   F,F   R   O   L,S   W   A   P,S   N   A   W,no,no,no,yes,
50,1,13,ec,3,positive,S   W   A   P,maske_1.bmp,maske_2.bmp,2071.bmp,0.098,S   N   A   W,S   W   A   P,B   O   R   F,B   L   O   F,no,yes,no,no,
50,1,14,ec,2,positive,D   W   A   P,maske_1.bmp,maske_2.bmp,2057.bmp,0.098,B   O   L   F,D   W   A   P,W   A   P   S,L   O   B   F,no,yes,no,no,
50,1,15,ec,5,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,6242.bmp,0.098,F   R   O   L,D   W   A   P,B   O   R   F,S   W   A   P,no,no,yes,no,
50,1,16,ec,8,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,8190.bmp,0.098,F   R   O   B,W   A   P   S,B   R   O   F,D   W   A   P,no,yes,no,no,
50,1,17,ec,4,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9280.bmp,0.098,B   O   L   F,F   R   O   B,S   P   A   W,S   W   A   P,no,yes,no,no,
50,1,18,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,2209.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,no,no,yes,no,
50,1,19,ec,3,negative,B   O   R   F,maske_2.bmp,maske_1.bmp,9561.bmp,0.098,S   N   A   D,W   A   P   S,B   O   R   F,J   O   R   F,no,no,no,yes,
50,1,20,ec_control,1,negative,T   E   H   V,maske_1.bmp,maske_2.bmp,2141.bmp,0.5,K   I   G   M,G   M   U   X,T   E   H   V,H   Y   V   Z,no,no,yes,no,
50,2,1,ec,6,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,2057.bmp,0.098,W   A   P   S,F   R   O   L,S   P   A   W,B   L   O   F,no,no,yes,no,
50,2,2,ec,3,positive,S   W   A   P,maske_2.bmp,maske_1.bmp,2091.bmp,0.098,S   W   A   D,J   O   R   F,S   W   A   P,B   R   O   F,yes,no,no,no,
50,2,3,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,2276.bmp,0.5,K   I   G   M,H   Y   V   Z,T   E   H   V,G   M   U   X,no,no,yes,no,
50,2,4,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9421.bmp,0.5,K   I   G   M,T   E   H   V,H   Y   V   Z,G   M   U   X,no,no,yes,no,
50,2,5,ec,7,negative,B   R   O   F,maske_1.bmp,maske_2.bmp,7380.bmp,0.098,S   W   A   P,B   R   O   F,W   A   P   S,J   O   R   F,no,yes,no,no,
50,2,6,ec,5,negative,F   R   O   L,maske_2.bmp,maske_1.bmp,6838.bmp,0.098,F   R   O   L,B   L   O   F,S   P   A   W,S   W   A   D,yes,no,no,no,
50,2,7,ec,1,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,9520.bmp,0.098,B   L   O   F,S   W   A   P,S   N   A   W,B   O   R   F,yes,no,no,no,
50,2,8,ec,4,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,2311.bmp,0.098,S   W   A   P,F   R   O   L,S   N   A   D,B   O   R   F,yes,no,no,no,
50,2,9,ec,1,positive,S   N   A   W,maske_2.bmp,maske_1.bmp,2071.bmp,0.098,S   N   A   W,B   O   L   F,L   O   B   F,N   A   P   S,yes,no,no,no,
