subjnr,stimulus_type,stimulus_number,us_valence,eval_rating,cs_filename
40,ec,3,negative,10,Z   U   N   D
40,gen,8,negative,10,G   U   N   T
40,gen,1,negative,8,Z   U   N   G
40,ec,8,negative,12,D   N   U   G
40,gen,5,negative,16,G   U   T   Z
40,gen_control,3,negative,5,J   I   B   F
40,gen_control,4,positive,6,P   S   A   V
40,ec,1,negative,10,Z   U   N   T
40,ec,4,positive,13,C   L   E   K
40,gen_control,2,negative,7,B   J   O   F
40,ec,5,negative,14,D   U   N   T
40,ec,8,positive,13,M   E   H   K
40,gen,2,positive,13,H   E   L   K
40,gen_control,3,positive,16,W   A   P   S
40,gen,5,positive,16,K   L   E   M
40,ec,2,negative,8,Z   U   D   T
40,ec,3,positive,5,C   H   E   L
40,gen,3,positive,8,L   E   M   K
40,gen,7,negative,12,D   U   T   Z
40,ec,7,positive,13,K   E   H   M
40,gen,4,positive,13,K   E   L   M
40,ec_control,1,positive,7,V   A   S   P
40,ec,6,positive,14,C   E   L   M
40,ec,2,positive,3,H   E   M   K
40,ec,4,negative,13,N   U   G   Z
40,ec_control,2,positive,3,P   Y   W   S
40,gen,1,positive,4,C   H   E   K
40,gen,6,negative,17,G   N   U   D
40,ec,6,negative,9,T   U   G   Z
40,gen,4,negative,10,T   U   N   G
40,gen,6,positive,11,C   E   L   K
40,ec_control,1,negative,4,J   O   R   F
40,gen_control,1,negative,11,F   O   R   B
40,gen_control,2,positive,6,S   W   Y   P
40,gen,3,negative,6,D   U   G   T
40,gen,7,positive,9,K   L   E   H
40,gen,2,negative,11,T   N   U   D
40,gen_control,1,positive,4,S   P   Y   V
40,gen_control,4,negative,16,B   I   R   F
40,ec,1,positive,8,K   E   C   H
40,ec_control,2,negative,9,F   R   I   B
40,ec,7,negative,17,G   U   N   D
40,gen,8,positive,15,M   E   C   H
40,ec,5,positive,14,C   L   E   M
