subjnr,adapt_part,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,VF_pos,VF_neg
105,a1,1,1,adapt_control,1,positive,X   I   H   V,maske_2.bmp,maske_1.bmp,2209.bmp,0.5,no,yes,no,no,no,no,no,yes
105,a1,1,2,adapt,1,negative,G   I   T   V,maske_2.bmp,maske_1.bmp,9435.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,3,adapt,6,negative,K   V   U   T,maske_2.bmp,maske_1.bmp,9500.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,4,adapt,2,positive,T   V   Y   G,maske_2.bmp,maske_1.bmp,1463.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,5,adapt,4,negative,G   Y   V   Z,maske_2.bmp,maske_1.bmp,2750.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,6,adapt_control,2,negative,T   Y   M   X,maske_2.bmp,maske_1.bmp,9330.bmp,0.5,no,no,no,no,yes,no,yes,no
105,a1,1,7,adapt,3,positive,K   U   V   Z,maske_2.bmp,maske_1.bmp,8200.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,8,adapt,5,negative,Z   E   G   M,maske_2.bmp,maske_1.bmp,2710.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,9,adapt,1,positive,G   I   T   V,maske_1.bmp,maske_2.bmp,7330.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,1,10,adapt_control,2,positive,T   Y   M   X,maske_1.bmp,maske_2.bmp,7502.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,1,11,adapt,4,positive,G   Y   V   Z,maske_1.bmp,maske_2.bmp,4220.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,12,adapt,3,negative,K   U   V   Z,maske_1.bmp,maske_2.bmp,2053.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,13,adapt,2,negative,T   V   Y   G,maske_1.bmp,maske_2.bmp,9340.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,1,14,adapt,5,positive,Z   E   G   M,maske_1.bmp,maske_2.bmp,8080.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,1,15,adapt_control,1,negative,X   I   H   V,maske_1.bmp,maske_2.bmp,6311.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,1,16,adapt,6,positive,K   V   U   T,maske_1.bmp,maske_2.bmp,5831.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,2,1,adapt,1,positive,G   I   T   V,maske_1.bmp,maske_2.bmp,7350.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,2,2,adapt,6,negative,K   V   U   T,maske_2.bmp,maske_1.bmp,3220.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,2,3,adapt_control,2,negative,T   Y   M   X,maske_2.bmp,maske_1.bmp,9000.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,2,4,adapt,4,negative,G   Y   V   Z,maske_1.bmp,maske_2.bmp,9006.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,2,5,adapt,3,negative,K   U   V   Z,maske_2.bmp,maske_1.bmp,9920.bmp,0.084,no,yes,no,no,no,no,no,yes
105,a1,2,6,adapt,2,positive,T   V   Y   G,maske_2.bmp,maske_1.bmp,8370.bmp,0.084,no,no,no,no,yes,no,no,yes
105,a1,2,7,adapt_control,1,negative,X   I   H   V,maske_2.bmp,maske_1.bmp,9561.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,2,8,adapt,5,negative,Z   E   G   M,maske_2.bmp,maske_1.bmp,9404.bmp,0.084,no,no,no,yes,no,no,no,yes
105,a1,2,9,adapt,5,positive,Z   E   G   M,maske_1.bmp,maske_2.bmp,5460.bmp,0.084,no,no,no,yes,no,no,no,yes
105,a1,2,10,adapt,3,positive,K   U   V   Z,maske_1.bmp,maske_2.bmp,2311.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,2,11,adapt_control,1,positive,X   I   H   V,maske_1.bmp,maske_2.bmp,2900.2.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,2,12,adapt,2,negative,T   V   Y   G,maske_1.bmp,maske_2.bmp,9430.bmp,0.084,no,no,no,yes,no,no,no,yes
105,a1,2,13,adapt,1,negative,G   I   T   V,maske_2.bmp,maske_1.bmp,9220.bmp,0.084,yes,no,no,no,no,no,no,yes
105,a1,2,14,adapt,4,positive,G   Y   V   Z,maske_2.bmp,maske_1.bmp,2091.bmp,0.084,no,no,no,yes,no,no,no,yes
105,a1,2,15,adapt_control,2,positive,T   Y   M   X,maske_1.bmp,maske_2.bmp,1999.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,2,16,adapt,6,positive,K   V   U   T,maske_1.bmp,maske_2.bmp,7580.bmp,0.084,no,no,no,no,no,yes,yes,no
105,a1,3,1,adapt_control,2,positive,T   Y   M   X,maske_1.bmp,maske_2.bmp,1710.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,2,adapt_control,1,negative,X   I   H   V,maske_2.bmp,maske_1.bmp,1525.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,3,adapt,4,positive,G   Y   V   Z,maske_2.bmp,maske_1.bmp,2080.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,4,adapt,1,negative,G   I   T   V,maske_1.bmp,maske_2.bmp,8485.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,5,adapt,6,positive,K   V   U   T,maske_1.bmp,maske_2.bmp,2070.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,6,adapt,2,negative,T   V   Y   G,maske_1.bmp,maske_2.bmp,6020.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,7,adapt,3,positive,K   U   V   Z,maske_1.bmp,maske_2.bmp,2160.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,8,adapt,5,positive,Z   E   G   M,maske_2.bmp,maske_1.bmp,2057.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,3,9,adapt_control,2,negative,T   Y   M   X,maske_2.bmp,maske_1.bmp,9432.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,10,adapt,2,positive,T   V   Y   G,maske_2.bmp,maske_1.bmp,5629.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,11,adapt,4,negative,G   Y   V   Z,maske_1.bmp,maske_2.bmp,3550.bmp,0.08,no,yes,no,no,no,no,no,yes
105,a1,3,12,adapt,6,negative,K   V   U   T,maske_2.bmp,maske_1.bmp,9331.bmp,0.08,no,no,yes,no,no,no,no,yes
105,a1,3,13,adapt_control,1,positive,X   I   H   V,maske_1.bmp,maske_2.bmp,2550.bmp,0.5,no,no,no,no,no,yes,yes,no
105,a1,3,14,adapt,3,negative,K   U   V   Z,maske_2.bmp,maske_1.bmp,6838.bmp,0.08,no,no,no,yes,no,no,no,yes
105,a1,3,15,adapt,5,negative,Z   E   G   M,maske_1.bmp,maske_2.bmp,6530.bmp,0.08,yes,no,no,no,no,no,no,yes
105,a1,3,16,adapt,1,positive,G   I   T   V,maske_2.bmp,maske_1.bmp,8420.bmp,0.08,yes,no,no,no,no,no,no,yes
