subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,sicher1,sicher2,sicher3,sicher4,sicher5,sicher6,crit1,crit2,crit3,VF_pos,VF_neg
82,1,1,ec_control,2,negative,H   Y   V   Z,maske_2.bmp,maske_1.bmp,3550.bmp,0.5,no,no,no,no,no,yes,no,no,yes,no,yes
82,1,2,ec,2,positive,S   N   A   W,maske_1.bmp,maske_2.bmp,2050.bmp,0.084,no,no,no,yes,no,no,no,no,yes,yes,no
82,1,3,ec,4,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2340.bmp,0.084,no,no,no,yes,no,no,no,no,yes,yes,no
82,1,4,ec,2,negative,B   O   L   F,maske_1.bmp,maske_2.bmp,2710.bmp,0.084,no,no,yes,no,no,no,no,no,yes,no,yes
82,1,5,ec,6,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,5910.bmp,0.084,no,no,yes,no,no,no,no,no,yes,yes,no
82,1,6,ec,3,positive,W   A   N   S,maske_1.bmp,maske_2.bmp,2080.bmp,0.084,no,no,yes,no,no,no,no,no,yes,yes,no
82,1,7,ec,7,negative,F   R   O   B,maske_2.bmp,maske_1.bmp,9340.bmp,0.084,no,no,no,yes,no,no,no,no,yes,no,yes
82,1,8,ec,8,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,9400.bmp,0.084,no,no,no,yes,no,no,no,no,yes,no,yes
82,1,9,ec,5,negative,J   O   R   F,maske_1.bmp,maske_2.bmp,9220.bmp,0.084,no,no,yes,no,no,no,no,no,yes,no,yes
82,1,10,ec,8,positive,S   P   A   W,maske_1.bmp,maske_2.bmp,5831.bmp,0.084,no,yes,no,no,no,no,no,no,yes,yes,no
82,1,11,ec,7,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,7330.bmp,0.084,no,yes,no,no,no,no,no,no,yes,yes,no
82,1,12,ec,1,positive,P   A   N   S,maske_2.bmp,maske_1.bmp,2209.bmp,0.084,no,yes,no,no,no,no,no,no,yes,yes,no
82,1,13,ec_control,1,positive,G   M   U   X,maske_2.bmp,maske_1.bmp,5830.bmp,0.5,no,no,no,no,no,yes,no,no,yes,yes,no
82,1,14,ec,1,negative,B   O   R   F,maske_1.bmp,maske_2.bmp,9435.bmp,0.084,no,yes,no,no,no,no,no,no,yes,no,yes
