subjnr,blocknr,trialnr,stimulus_type,stimulus_nr,us_valence,cs_filename,premask_filename,postmask_filename,us_filename,cs_duration,id_opt_1,id_opt_2,id_opt_3,id_opt_4,opt_1,opt_2,opt_3,opt_4,VF_pos,VF_neg
90,1,1,ec,2,positive,W   A   P   S,maske_2.bmp,maske_1.bmp,8190.bmp,0.061,P   A   W   S,W   A   P   S,F   R   O   B,F   L   O   R,no,yes,no,no,yes,no
90,1,2,ec,1,positive,S   W   A   P,maske_2.bmp,maske_1.bmp,7350.bmp,0.061,B   O   R   L,D   A   N   S,S   W   A   P,B   L   O   F,no,no,yes,no,yes,no
90,1,3,ec_control,2,negative,H   Y   V   Z,maske_1.bmp,maske_2.bmp,9330.bmp,0.5,G   M   U   X,H   Y   V   Z,T   E   H   V,K   I   G   M,no,yes,no,no,no,yes
90,1,4,ec,8,positive,D   A   N   S,maske_1.bmp,maske_2.bmp,5460.bmp,0.061,D   A   N   S,F   L   O   R,S   W   A   D,B   L   O   R,no,no,yes,no,yes,no
90,1,5,ec,8,negative,B   L   O   F,maske_1.bmp,maske_2.bmp,2141.bmp,0.061,F   R   O   B,S   N   A   D,B   L   O   F,D   W   A   P,no,no,yes,no,no,yes
90,1,6,ec,6,positive,S   W   A   D,maske_1.bmp,maske_2.bmp,5830.bmp,0.061,B   R   O   L,S   W   A   D,J   O   R   F,S   W   A   P,no,yes,no,no,yes,no
90,1,7,ec,7,negative,B   R   O   L,maske_1.bmp,maske_2.bmp,9000.bmp,0.061,P   A   W   S,S   W   A   D,B   L   O   R,B   R   O   L,no,no,no,yes,no,yes
90,1,8,ec,1,negative,J   O   R   F,maske_2.bmp,maske_1.bmp,9500.bmp,0.061,J   O   R   F,B   O   R   L,W   A   P   S,S   P   A   W,no,yes,no,no,no,yes
90,1,9,ec,3,negative,B   O   R   L,maske_2.bmp,maske_1.bmp,9432.bmp,0.061,B   O   R   L,S   P   A   W,J   O   R   B,W   A   P   S,no,no,yes,no,no,yes
90,1,10,ec_control,1,negative,T   E   H   V,maske_2.bmp,maske_1.bmp,6555.bmp,0.5,T   E   H   V,H   Y   V   Z,K   I   G   M,G   M   U   X,yes,no,no,no,no,yes
90,1,11,ec,7,positive,S   N   A   D,maske_1.bmp,maske_2.bmp,8501.bmp,0.061,B   L   O   R,W   A   P   S,B   O   R   L,S   N   A   D,no,no,no,yes,yes,no
90,1,12,ec,6,negative,B   L   O   R,maske_2.bmp,maske_1.bmp,2276.bmp,0.061,S   W   A   P,B   L   O   R,B   R   O   L,D   A   N   S,no,yes,no,no,no,yes
90,1,13,ec_control,2,positive,K   I   G   M,maske_1.bmp,maske_2.bmp,8330.bmp,0.5,G   M   U   X,H   Y   V   Z,K   I   G   M,T   E   H   V,no,no,yes,no,yes,no
90,1,14,ec,3,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,1440.bmp,0.061,D   W   A   P,S   P   A   W,B   L   O   F,F   R   O   B,no,yes,no,no,yes,no
90,1,15,ec_control,1,positive,G   M   U   X,maske_1.bmp,maske_2.bmp,2091.bmp,0.5,T   E   H   V,G   M   U   X,K   I   G   M,H   Y   V   Z,no,yes,no,no,yes,no
90,1,16,ec,5,positive,S   P   A   W,maske_2.bmp,maske_1.bmp,4220.bmp,0.061,D   W   A   P,J   O   R   B,S   P   A   W,J   O   R   F,yes,no,no,no,no,yes
90,1,17,ec,4,positive,P   A   W   S,maske_2.bmp,maske_1.bmp,1710.bmp,0.061,J   O   R   B,B   R   O   L,P   A   W   S,S   N   A   D,no,no,yes,no,yes,no
90,1,18,ec,5,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,9041.bmp,0.061,S   N   A   D,F   R   O   B,D   W   A   P,F   L   O   R,no,no,no,yes,no,yes
90,1,19,ec,2,negative,J   O   R   B,maske_2.bmp,maske_1.bmp,6838.bmp,0.061,S   W   A   P,P   A   W   S,J   O   R   B,B   L   O   F,no,no,no,yes,no,yes
90,1,20,ec,4,negative,F   L   O   R,maske_1.bmp,maske_2.bmp,2900.bmp,0.061,D   A   N   S,S   W   A   D,J   O   R   F,F   L   O   R,no,no,no,yes,no,yes
90,2,1,ec,3,positive,D   W   A   P,maske_2.bmp,maske_1.bmp,1463.bmp,0.061,P   A   W   S,D   W   A   P,B   O   R   L,B   L   O   F,no,yes,no,no,yes,no
90,2,2,ec,2,negative,J   O   R   B,maske_1.bmp,maske_2.bmp,6838.bmp,0.061,D   A   N   S,B   O   R   L,S   N   A   D,J   O   R   B,no,no,no,yes,no,yes
90,2,3,ec,6,positive,S   W   A   D,maske_2.bmp,maske_1.bmp,2340.bmp,0.061,D   W   A   P,B   O   R   L,S   W   A   D,B   L   O   F,no,no,yes,no,yes,no
90,2,4,ec,5,negative,F   R   O   B,maske_1.bmp,maske_2.bmp,1525.bmp,0.061,S   P   A   W,B   R   O   L,D   W   A   P,F   R   O   B,no,yes,no,no,no,yes
90,2,5,ec_control,2,positive,K   I   G   M,maske_2.bmp,maske_1.bmp,2208.bmp,0.5,G   M   U   X,K   I   G   M,T   E   H   V,H   Y   V   Z,no,yes,no,no,yes,no
