"acc","accuracy","adaptation_target","again","average_response_time","avg_rt","background","bidi","blocknr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_SPACE","correct_instruct_pas_1_and_2","correct_instruct_pas_3_and_4","correct_instruct_pas_5_and_6","correct_instruct_pas_overview","correct_instruction_summary","correct_new_sketchpad","correct_new_sketchpad_1","correct_new_sketchpad_11","correct_new_sketchpad_4","correct_show_subject_nr","count_EC_blocks","count_EC_instruct","count_EC_instruct_1","count_EC_instruct_2","count_EC_instruct_3","count_EC_instruct_intro","count_EC_instruct_summary","count_EC_trial_seq","count_SPACE","count_Willkommen_1","count_adapt_cs_duration","count_adaptation_blocks","count_adaptation_save_script","count_adaptation_trial_seq","count_block_pause","count_def_present_gsync","count_demographics","count_demographics_save_script","count_ec_save_script","count_end_script","count_experiment","count_good_bye","count_instruct_pas_1_and_2","count_instruct_pas_3_and_4","count_instruct_pas_5_and_6","count_instruct_pas_overview","count_instruction_summary","count_new_logger","count_new_sequence","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_11","count_new_sketchpad_2_nw","count_new_sketchpad_4","count_new_sketchpad_5_nw","count_obj_vis_save_script","count_objective_visibility_blocks","count_objective_visibility_trial_seq","count_objvis_form","count_objvis_instructions_1","count_pas_form","count_pause","count_pause_after_wahrnehmungsphase","count_rating_blank","count_rating_block","count_rating_form","count_rating_instructions","count_rating_save_script","count_rating_sequence","count_repeat","count_set_duration","count_setup","count_show_subject_nr","count_singletrial","count_valence_focus","cs_filename","datetime","description","disable_garbage_collection","eval_rating","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","id_opt_1","id_opt_2","id_opt_3","id_opt_4","keyboard_backend","live_row","live_row_adaptation_blocks","logfile","mouse_backend","not_again","opensesame_codename","opensesame_version","opt_1","opt_2","opt_3","opt_4","pause","phase","postmask_filename","premask_filename","rather_neg","rather_pos","repeat_cycle","response","response_EC_instruct_1","response_EC_instruct_2","response_EC_instruct_3","response_EC_instruct_intro","response_EC_instruct_summary","response_SPACE","response_block_pause","response_good_bye","response_instruct_pas_1_and_2","response_instruct_pas_3_and_4","response_instruct_pas_5_and_6","response_instruct_pas_overview","response_instruction_summary","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_11","response_new_sketchpad_2_nw","response_new_sketchpad_4","response_new_sketchpad_5_nw","response_objvis_instructions_1","response_pause","response_pause_after_wahrnehmungsphase","response_rating_instructions","response_show_subject_nr","response_time","response_time_EC_instruct_1","response_time_EC_instruct_2","response_time_EC_instruct_3","response_time_EC_instruct_intro","response_time_EC_instruct_summary","response_time_SPACE","response_time_block_pause","response_time_good_bye","response_time_instruct_pas_1_and_2","response_time_instruct_pas_3_and_4","response_time_instruct_pas_5_and_6","response_time_instruct_pas_overview","response_time_instruction_summary","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_11","response_time_new_sketchpad_2_nw","response_time_new_sketchpad_4","response_time_new_sketchpad_5_nw","response_time_objvis_instructions_1","response_time_pause","response_time_pause_after_wahrnehmungsphase","response_time_rating_instructions","response_time_show_subject_nr","round_decimals","sampler_backend","sicher1_resp","sicher2_resp","sicher3_resp","sicher4_resp","sicher5_resp","sicher6_resp","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_EC_blocks","time_EC_instruct","time_EC_instruct_1","time_EC_instruct_2","time_EC_instruct_3","time_EC_instruct_intro","time_EC_instruct_summary","time_EC_trial_seq","time_SPACE","time_Willkommen_1","time_adapt_cs_duration","time_adaptation_blocks","time_adaptation_save_script","time_adaptation_trial_seq","time_block_pause","time_def_present_gsync","time_demographics","time_demographics_save_script","time_ec_save_script","time_end_script","time_experiment","time_good_bye","time_instruct_pas_1_and_2","time_instruct_pas_3_and_4","time_instruct_pas_5_and_6","time_instruct_pas_overview","time_instruction_summary","time_new_logger","time_new_sequence","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_11","time_new_sketchpad_2_nw","time_new_sketchpad_4","time_new_sketchpad_5_nw","time_obj_vis_save_script","time_objective_visibility_blocks","time_objective_visibility_trial_seq","time_objvis_form","time_objvis_instructions_1","time_pas_form","time_pause","time_pause_after_wahrnehmungsphase","time_rating_blank","time_rating_block","time_rating_form","time_rating_instructions","time_rating_save_script","time_rating_sequence","time_repeat","time_set_duration","time_setup","time_show_subject_nr","time_singletrial","time_valence_focus","title","total_correct","total_response_time","total_responses","transparent_variables","trialnr","uniform_coordinates","us_filename","us_valence","width"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","NA","0","NA","NA","0","0","0","0","NA","0","NA","0","NA","NA","0","0","0","0","0","NA","S   A   B   F","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","0","0","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","407874.631","402567.2001","407874.6927","403285.2386","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","407874.9013","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","405086.3016","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","403285.4601","7653.80299999","7705.82210005","403285.4834","NA","ecodap3","0","183261.2679","1","no","1","no","Keyboard 2.jpg","neutral","1920"
"undefined","undefined","pas_5","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","1","0","1","1","1","0","0","0","NA","0","0","0","2","2","2","0","0","1","0","0","0","0","0","0","0","NA","0","NA","NA","0","1","0","0","NA","0","NA","0","NA","NA","0","1","0","0","1","NA","F   O   P   V","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","1","1","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","412314.7422","402567.2001","412314.7936","408182.8825","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","412314.9832","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","410053.936","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","408183.0943","7653.80299999","7705.82210005","408183.1176","NA","ecodap3","0","183261.2679","1","no","2","no","Bed 1.jpg","neutral","1920"
"undefined","undefined","pas_5","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","2","0","2","2","2","0","0","0","NA","0","0","0","2","2","2","0","0","2","0","0","0","0","0","0","0","NA","0","NA","NA","0","2","0","0","NA","0","NA","0","NA","NA","0","2","0","0","2","NA","B   O   V   S","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","2","2","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","417602.5214","402567.2001","417602.5758","412586.3352","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","417602.7701","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","414367.3901","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","412586.5526","7653.80299999","7705.82210005","412586.5764","NA","ecodap3","0","183261.2679","1","no","3","no","Swingset 1.jpg","neutral","1920"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","3","0","3","3","3","0","0","0","NA","0","0","0","2","2","2","0","0","3","0","0","0","0","0","0","0","NA","0","NA","NA","0","3","0","0","NA","0","NA","0","NA","NA","0","3","0","0","3","NA","F   R   A   P","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","3","3","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","422242.7013","402567.2001","422242.7581","417878.8742","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","422242.98","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","419735.9371","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","417879.081","7653.80299999","7705.82210005","417879.1046","NA","ecodap3","0","183261.2679","1","no","4","no","Cups 2.jpg","neutral","1920"
"undefined","undefined","pas_5","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","4","0","4","4","4","0","0","0","NA","0","0","0","2","2","2","0","0","4","0","0","0","0","0","0","0","NA","0","NA","NA","0","4","0","0","NA","0","NA","0","NA","NA","0","4","0","0","4","NA","R   O   W   S","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","4","4","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","426091.0435","402567.2001","426091.0979","422503.8631","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","426091.2884","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","424271.9132","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","422504.0711","7653.80299999","7705.82210005","422504.0947","NA","ecodap3","0","183261.2679","1","no","5","no","Pinecone 2.jpg","neutral","1920"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","5","0","5","5","5","0","0","0","NA","0","0","0","2","2","2","0","0","5","0","0","0","0","0","0","0","NA","0","NA","NA","0","5","0","0","NA","0","NA","0","NA","NA","0","5","0","0","5","NA","P   A   B   F","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","5","5","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","430593.7019","402567.2001","430593.7569","426327.9725","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","430593.9475","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","428097.0303","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","426328.1846","7653.80299999","7705.82210005","426328.2082","NA","ecodap3","0","183261.2679","1","no","6","no","Skyscraper 2.jpg","neutral","1920"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","6","0","6","6","6","0","0","0","NA","0","0","0","2","2","2","0","0","6","0","0","0","0","0","0","0","NA","0","NA","NA","0","6","0","0","NA","0","NA","0","NA","NA","0","6","0","0","6","NA","S   P   O   B","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","6","6","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","434785.8011","402567.2001","434785.8523","430832.7382","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","434786.0393","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","432633.7937","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","430832.9467","7653.80299999","7705.82210005","430832.9696","NA","ecodap3","0","183261.2679","1","no","7","no","Crow 2.jpg","neutral","1920"
"undefined","undefined","pas_5","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","7","0","7","7","7","0","0","0","NA","0","0","0","2","2","2","0","0","7","0","0","0","0","0","0","0","NA","0","NA","NA","0","7","0","0","NA","0","NA","0","NA","NA","0","7","0","0","7","NA","B   J   A   V","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","7","7","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","439210.442","402567.2001","439210.4956","435030.9592","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","439210.7118","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","436777.9985","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","435031.1686","7653.80299999","7705.82210005","435031.1921","NA","ecodap3","0","183261.2679","1","no","8","no","Keyboard 3.jpg","neutral","1920"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","8","0","8","8","8","0","0","0","NA","0","0","0","2","2","2","0","0","8","0","0","0","0","0","0","0","NA","0","NA","NA","0","8","0","0","NA","0","NA","0","NA","NA","0","8","0","0","8","NA","F   R   A   P","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","8","8","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","443139.4227","402567.2001","443139.4756","439441.4868","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","443139.6636","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","441266.6061","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","439441.7696","7653.80299999","7705.82210005","439441.7929","NA","ecodap3","0","183261.2679","1","no","9","no","Fire hydrant 4.jpg","neutral","1920"
"undefined","undefined","pas_3","yes","183261.2679","183261.2679","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","9","0","9","9","9","0","0","0","NA","0","0","0","2","2","2","0","0","9","0","0","0","0","0","0","0","NA","0","NA","NA","0","9","0","0","NA","0","NA","0","NA","NA","0","9","0","0","9","NA","S   A   B   F","11/29/21 13:35:50","A template containing a practice and an experimental phase","yes","NA","ecodap3.osexp","C:\exp\ecodap3","no","sans","no","18","no","white","no","Ich habe nur kurz etwas zwischen den Zufallsmustern aufblitzen sehen.","yes","1080","NA","NA","NA","NA","psycho","9","9","C:\exp\ecodap3\logs\2.log","psycho","no","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","space","space","space","space","space","space","space","space","NA","space","NA","NA","NA","NA","NA","space","10240.3276","NA","NA","NA","NA","NA","183261.2679","NA","NA","18708.3709","8625.00440003","5856.40519997","16805.6886999","10240.3276","38361.0667001","19992.4294","4346.15540004","NA","15329.4451","NA","NA","NA","NA","NA","9085.66159999","2","legacy","no","yes","no","no","no","no","1024","2","48000","-16","experiment","2","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","16825.8501","16825.3562","447202.7441","402567.2001","447202.8166","443378.4334","NA","7653.7738","NA","NA","NA","NA","7652.77619998","NA","359018.3949","377733.7344","386366.3722","273825.2294","392326.3791","447203.0041","349567.2251","220117.9189","200118.6466","345220.6738","NA","258485.534","NA","NA","NA","NA","NA","NA","445139.4873","NA","NA","NA","NA","NA","NA","NA","NA","349567.2724","443378.6411","7653.80299999","7705.82210005","443378.665","NA","ecodap3","0","183261.2679","1","no","10","no","Bark 5.jpg","neutral","1920"
