subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating
8;1;1;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Destruction 9.jpg;0.085;0;1;0;0.004;1
8;1;2;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Skyscraper 2.jpg;0.06;0;1;0;0.004;1
8;1;3;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Crow 2.jpg;0.064;1;1;0;0.004;1
8;1;4;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Swingset 1.jpg;0.089;1;1;0;0.004;1
8;1;5;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Roofing 2.jpg;0.093;1;1;0;0.004;1
8;1;6;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Bored pose 1.jpg;0.097;1;1;0;0.004;1
8;1;7;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Prison 1.jpg;0.068;1;1;0;0.004;1
8;1;8;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Soccer 1.jpg;0.072;1;1;0;0.004;1
8;1;9;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Cups 2.jpg;0.101;1;1;0;0.004;1
8;1;10;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.105;1;1;0;0.004;1
8;1;11;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Barrels 1.jpg;0.076;1;1;0;0.004;1
8;1;12;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Dirt 3.jpg;0.08;1;1;0;0.004;1
8;1;13;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Neutral face 1.jpg;0.109;1;1;0;0.004;1
8;1;14;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Fence 3.jpg;0.084;1;1;0;0.004;1
8;1;15;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Timber 1.jpg;0.088;1;1;0;0.004;1
8;1;16;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Toilet 1.jpg;0.113;1;1;0;0.004;1
8;2;1;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Roofing 4.jpg;0.092;1;1;0;0.004;1
8;2;2;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Office supplies 4.jpg;0.096;1;1;0;0.004;1
8;2;3;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Storage 1.jpg;0.117;1;1;0;0.004;1
8;2;4;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Bed 1.jpg;0.1;1;1;0;0.004;1
8;2;5;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Keyboard 2.jpg;0.121;1;1;0;0.004;1
8;2;6;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.104;1;1;0;0.004;1
8;2;7;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Roofing 1.jpg;0.125;1;1;0;0.004;1
8;2;8;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Neutral pose 3.jpg;0.129;1;1;0;0.004;1
8;2;9;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Bark 4.jpg;0.108;1;1;0;0.004;1
8;2;10;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Fire hydrant 4.jpg;0.112;1;1;0;0.004;1
8;2;11;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Yarn 2.jpg;0.133;1;1;0;0.004;1
8;2;12;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Bark 1.jpg;0.137;1;1;0;0.004;4
8;2;13;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Rocks 2.jpg;0.116;1;1;0;0.004;2
8;2;14;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Fence 1.jpg;0.12;1;1;0;0.004;2
8;2;15;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Pinecone 2.jpg;0.141;1;1;0;0.004;2
8;2;16;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Rocks 3.jpg;0.145;1;1;0;0.004;1
8;3;1;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Drink 2.jpg;0.124;1;1;0;0.004;1
8;3;2;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.128;1;1;0;0.004;2
8;3;3;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Office supplies 3.jpg;0.149;1;1;0;0.004;5
8;3;4;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Car 2.jpg;0.149;1;1;0;0.004;1
8;3;5;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Keyboard 3.jpg;0.132;1;-1;1;0.004;5
8;3;6;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.153;1;1;0;0.004;1
8;3;7;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Toilet 3.jpg;0.128;-1;1;2;0.001;1
8;3;8;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Roofing 3.jpg;0.157;1;1;0;0.004;5
8;3;9;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.157;1;1;0;0.004;1
8;3;10;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Alcohol 3.jpg;0.129;1;-1;3;0.001;4
8;3;11;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Skyscraper 1.jpg;0.128;-1;-1;3;0.001;3
8;3;12;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Cups 4.jpg;0.161;1;-1;1;0.004;6
8;3;13;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Paper 5.jpg;0.128;-1;-1;3;0.001;5
8;3;14;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Bark 2.jpg;0.157;-1;1;2;0.001;3
8;3;15;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Cardboard 2.jpg;0.158;1;1;2;0.001;1
8;3;16;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Fire hydrant 1.jpg;0.127;-1;-1;3;0.001;6
8;4;1;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Storage 1.jpg;0.126;-1;1;4;0.001;1
8;4;2;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Fence 1.jpg;0.159;1;1;2;0.001;1
8;4;3;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Bed 1.jpg;0.127;1;-1;5;0.001;4
8;4;4;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Alcohol 3.jpg;0.16;1;-1;3;0.001;6
8;4;5;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Roofing 4.jpg;0.159;-1;-1;3;0.001;5
8;4;6;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Neutral face 1.jpg;0.126;-1;1;6;0.0005;1
8;4;7;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Bark 5.jpg;0.1265;1;1;6;0.0005;1
8;4;8;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Drink 2.jpg;0.159;-1;1;4;0.001;1
8;4;9;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Fence 5.jpg;0.127;1;1;6;0.0005;2
8;4;10;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Bark 1.jpg;0.16;1;1;4;0.001;5
8;4;11;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Barrels 1.jpg;0.1275;1;1;6;0.0005;2
8;4;12;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Toilet 1.jpg;0.16;1;1;4;0.001;5
8;4;13;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Car 2.jpg;0.16;1;1;4;0.001;5
8;4;14;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Cups 4.jpg;0.128;1;-1;7;0.0005;5
8;4;15;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Rocks 3.jpg;0.16;1;-1;5;0.001;6
8;4;16;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Bored pose 1.jpg;0.1275;-1;-1;7;0.0005;4
8;5;1;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Timber 1.jpg;0.159;-1;-1;5;0.001;5
8;5;2;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Soccer 1.jpg;0.159;-1;-1;5;0.001;6
8;5;3;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Swingset 1.jpg;0.127;-1;1;8;0.0005;1
8;5;4;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Keyboard 3.jpg;0.158;-1;-1;5;0.001;6
8;5;5;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Bark 4.jpg;0.1275;1;-1;9;0.0005;6
8;5;6;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Keyboard 2.jpg;0.157;-1;-1;5;0.001;5
8;5;7;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Toilet 3.jpg;0.127;-1;-1;9;0.0005;5
8;5;8;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Bark 2.jpg;0.1265;-1;-1;9;0.0005;5
8;5;9;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Yarn 2.jpg;0.157;-1;1;6;0.0005;4
8;5;10;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Office supplies 3.jpg;0.126;-1;-1;9;0.0005;5
8;5;11;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Crow 2.jpg;0.1575;1;-1;7;0.0005;6
8;5;12;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Paper 5.jpg;0.157;-1;-1;7;0.0005;6
8;5;13;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Prison 1.jpg;0.1255;-1;-1;9;0.0005;5
8;5;14;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Dirt 3.jpg;0.1565;-1;-1;7;0.0005;6
8;5;15;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Roofing 1.jpg;0.125;-1;1;10;0.0005;1
8;5;16;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Fence 3.jpg;0.1255;1;-1;11;0.0005;5
8;6;1;pas_3;neutral;N   E   H   Z;maske_2.bmp;maske_1.bmp;Cardboard 2.jpg;0.125;-1;1;12;0.0005;1
8;6;2;pas_3;neutral;T   U   L   M;maske_2.bmp;maske_1.bmp;Cups 2.jpg;0.1255;1;-1;13;0.0005;5
8;6;3;pas_3;neutral;K   N   E   G;maske_2.bmp;maske_1.bmp;Fire hydrant 1.jpg;0.125;-1;1;14;0.0005;1
8;6;4;pas_5;neutral;G   E   M   T;maske_1.bmp;maske_2.bmp;Rocks 2.jpg;0.156;-1;-1;7;0.0005;5
8;6;5;pas_5;neutral;K   U   L   G;maske_2.bmp;maske_1.bmp;Roofing 2.jpg;0.156;-1;1;8;0.0005;1
8;6;6;pas_5;neutral;G   U   H   M;maske_2.bmp;maske_1.bmp;Destruction 9.jpg;0.1565;1;1;8;0.0005;5
8;6;7;pas_5;neutral;T   E   L   G;maske_1.bmp;maske_2.bmp;Roofing 3.jpg;0.1565;1;-1;9;0.0005;6
8;6;8;pas_3;neutral;Z   U   H   L;maske_2.bmp;maske_1.bmp;Railroad 1.jpg;0.1255;1;1;14;0.0005;2
8;6;9;pas_5;neutral;T   E   L   G;maske_2.bmp;maske_1.bmp;Skyscraper 1.jpg;0.156;-1;-1;9;0.0005;6
8;6;10;pas_5;neutral;G   U   H   M;maske_1.bmp;maske_2.bmp;Fire hydrant 4.jpg;0.1555;-1;1;10;0.0005;3
8;6;11;pas_5;neutral;K   U   L   G;maske_1.bmp;maske_2.bmp;Skyscraper 2.jpg;0.156;1;1;10;0.0005;5
8;6;12;pas_5;neutral;G   E   M   T;maske_2.bmp;maske_1.bmp;Neutral face 4.jpg;0.156;1;-1;11;0.0005;6
8;6;13;pas_3;neutral;Z   U   H   L;maske_1.bmp;maske_2.bmp;Keys 1.jpg;0.126;1;1;14;0.0005;2
8;6;14;pas_3;neutral;K   N   E   G;maske_1.bmp;maske_2.bmp;Office supplies 4.jpg;0.1265;1;-1;15;0.0005;5
8;6;15;pas_3;neutral;T   U   L   M;maske_1.bmp;maske_2.bmp;Neutral pose 3.jpg;0.126;-1;-1;15;0.0005;4
8;6;16;pas_3;neutral;N   E   H   Z;maske_1.bmp;maske_2.bmp;Pinecone 2.jpg;0.1255;-1;-1;15;0.0005;5
