subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals; stepsize; pas_rating;VF_pos;VF_neg
7;1;1;pas_5;negative;J   O   B   F;maske_1.bmp;maske_2.bmp;Flood 1.jpg;0.124;-1;1;6;0.0005;3;yes;no
7;1;2;pas_5;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Lake 12.jpg;0.1245;1;1;6;0.0005;5;yes;no
7;1;3;pas_3;positive;T   U   N   G;maske_1.bmp;maske_2.bmp;Children 1.jpg;0.097;1;-1;11;0.0005;5;yes;no
7;1;4;pas_3;positive;Z   U   N   T;maske_1.bmp;maske_2.bmp;Bird 3.jpg;0.0965;-1;-1;11;0.0005;3;yes;no
7;1;5;pas_5;positive;P   A   W   S;maske_1.bmp;maske_2.bmp;Penguins 2.jpg;0.1245;1;-1;7;0.0005;6;yes;no
7;1;6;pas_3;positive;G   U   T   Z;maske_2.bmp;maske_1.bmp;Cat 4.jpg;0.0965;-1;-1;11;0.0005;5;yes;no
7;1;7;pas_3;negative;K   L   E   H;maske_1.bmp;maske_2.bmp;Dog 31.jpg;0.096;-1;-1;11;0.0005;3;no;yes
7;1;8;pas_5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Car accident 2.jpg;0.124;-1;1;8;0.0005;2;no;yes
7;1;9;pas_3;positive;Z   U   N   G;maske_1.bmp;maske_2.bmp;Flowers 4.jpg;0.096;-1;-1;11;0.0005;4;yes;no
7;1;10;pas_5;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Beach 6.jpg;0.1245;1;1;8;0.0005;5;yes;no
7;1;11;pas_5;negative;B   O   R   F;maske_2.bmp;maske_1.bmp;Cemetery 5.jpg;0.1245;1;1;8;0.0005;5;no;yes
7;1;12;pas_5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Dessert 5.jpg;0.1245;1;-1;9;0.0005;6;no;yes
7;1;13;pas_3;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Guitar 1.jpg;0.0955;-1;-1;11;0.0005;4;yes;no
7;1;14;pas_3;negative;M   E   H   K;maske_2.bmp;maske_1.bmp;Miserable face 2.jpg;0.095;-1;-1;11;0.0005;4;no;yes
7;1;15;pas_3;negative;K   E   H   M;maske_1.bmp;maske_2.bmp;Destruction 10.jpg;0.0945;-1;-1;11;0.0005;3;no;yes
7;1;16;pas_5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Siblings 1.jpg;0.124;-1;-1;9;0.0005;6;yes;no
7;1;17;pas_3;negative;K   L   E   M;maske_2.bmp;maske_1.bmp;Garbage dump 5.jpg;0.0945;-1;1;12;0.0005;2;no;yes
7;1;18;pas_3;positive;N   U   G   Z;maske_1.bmp;maske_2.bmp;Nude couple 7.jpg;0.095;1;1;12;0.0005;2;yes;no
7;1;19;pas_3;positive;G   U   N   T;maske_2.bmp;maske_1.bmp;Massage 1.jpg;0.0955;1;-1;13;0.0005;4;yes;no
7;1;20;pas_3;negative;L   E   M   K;maske_2.bmp;maske_1.bmp;Fire 2.jpg;0.095;-1;-1;13;0.0005;4;no;yes
7;1;21;pas_5;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Destruction 2.jpg;0.1235;-1;1;10;0.0005;3;no;yes
7;1;22;pas_5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Destruction 7.jpg;0.124;1;1;10;0.0005;5;no;yes
7;1;23;pas_5;negative;B   J   O   F;maske_1.bmp;maske_2.bmp;Sad face 1.jpg;0.124;1;1;10;0.0005;4;no;yes
7;1;24;pas_3;negative;H   E   M   K;maske_2.bmp;maske_1.bmp;Garbage dump 8.jpg;0.0945;-1;-1;13;0.0005;3;no;yes
7;1;25;pas_5;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Fire 7.jpg;0.1245;1;1;10;0.0005;4;no;yes
7;1;26;pas_5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Animal carcass 1.jpg;0.125;1;-1;11;0.0005;6;no;yes
7;1;27;pas_5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Couple 8.jpg;0.1245;-1;-1;11;0.0005;6;yes;no
7;1;28;pas_5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Chipmunk 1.jpg;0.124;-1;-1;11;0.0005;6;yes;no
7;1;29;pas_3;negative;K   E   L   M;maske_2.bmp;maske_1.bmp;Jail 1.jpg;0.0945;-1;-1;13;0.0005;4;no;yes
7;1;30;pas_3;negative;H   E   L   K;maske_1.bmp;maske_2.bmp;Hangover 1.jpg;0.094;-1;-1;13;0.0005;3;no;yes
7;1;31;pas_3;positive;G   N   U   Z;maske_2.bmp;maske_1.bmp;Cat 5.jpg;0.094;-1;-1;13;0.0005;6;yes;no
7;1;32;pas_5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Collaboration 1.jpg;0.1235;-1;1;12;0.0005;3;yes;no
7;1;33;pas_3;positive;T   U   N   G;maske_2.bmp;maske_1.bmp;Beach 7.jpg;0.0935;-1;-1;13;0.0005;3;yes;no
7;1;34;pas_3;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Garbage dump 6.jpg;0.0935;-1;-1;13;0.0005;3;no;yes
7;1;35;pas_5;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Garbage dump 1.jpg;0.124;1;-1;13;0.0005;6;no;yes
7;1;36;pas_5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Happy pose 2.jpg;0.1235;-1;-1;13;0.0005;6;yes;no
7;1;37;pas_5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Frustrated pose 3.jpg;0.123;-1;1;14;0.0005;2;no;yes
7;1;38;pas_3;positive;G   N   U   Z;maske_1.bmp;maske_2.bmp;Elephant 1.jpg;0.0935;-1;-1;13;0.0005;6;yes;no
7;1;39;pas_5;negative;J   O   R   B;maske_1.bmp;maske_2.bmp;Sad face 9.jpg;0.1235;1;-1;15;0.0005;6;no;yes
7;1;40;pas_5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Coffee 1.jpg;0.123;-1;-1;15;0.0005;6;yes;no
7;1;41;pas_5;negative;R   O   B   F;maske_2.bmp;maske_1.bmp;Intensity 1.jpg;0.1225;-1;-1;15;0.0005;6;no;yes
7;1;42;pas_3;negative;K   L   E   M;maske_1.bmp;maske_2.bmp;Miserable pose 4.jpg;0.093;-1;-1;13;0.0005;4;no;yes
7;1;43;pas_3;negative;M   E   H   K;maske_1.bmp;maske_2.bmp;Angry pose 1.jpg;0.0925;-1;-1;13;0.0005;3;no;yes
7;1;44;pas_3;positive;G   U   T   Z;maske_1.bmp;maske_2.bmp;School 2.jpg;0.0925;-1;1;14;0.0005;2;yes;no
7;1;45;pas_3;negative;H   E   L   K;maske_2.bmp;maske_1.bmp;Flood 2.jpg;0.093;1;1;14;0.0005;2;no;yes
7;1;46;pas_5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Sunflower 1.jpg;0.122;-1;-1;15;0.0005;6;yes;no
7;1;47;pas_5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Mother 1.jpg;0.1215;-1;-1;15;0.0005;6;yes;no
7;1;48;pas_5;negative;J   O   R   F;maske_2.bmp;maske_1.bmp;Frustrated pose 5.jpg;0.121;-1;1;16;0.0005;4;no;yes
7;1;49;pas_5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Bird 1.jpg;0.1215;1;-1;17;0.0005;6;yes;no
7;1;50;pas_3;negative;K   E   H   M;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.0935;1;-1;15;0.0005;5;no;yes
7;1;51;pas_3;negative;K   L   E   H;maske_2.bmp;maske_1.bmp;Baby 7.jpg;0.093;-1;-1;15;0.0005;3;no;yes
7;1;52;pas_3;positive;G   U   N   T;maske_1.bmp;maske_2.bmp;Present 2.jpg;0.093;-1;1;16;0.0005;1;yes;no
7;1;53;pas_3;positive;Z   U   N   G;maske_2.bmp;maske_1.bmp;Mother 5.jpg;0.0935;1;-1;17;0.0005;4;yes;no
7;1;54;pas_5;positive;P   A   W   S;maske_2.bmp;maske_1.bmp;Beach 4.jpg;0.121;-1;-1;17;0.0005;6;yes;no
7;1;55;pas_3;positive;Z   U   N   T;maske_2.bmp;maske_1.bmp;Fireworks 2.jpg;0.093;-1;-1;17;0.0005;5;yes;no
7;1;56;pas_3;negative;K   E   L   M;maske_1.bmp;maske_2.bmp;Car crash 1.jpg;0.0925;-1;-1;17;0.0005;5;no;yes
7;1;57;pas_3;positive;N   U   G   Z;maske_2.bmp;maske_1.bmp;Birthday 1.jpg;0.092;-1;-1;17;0.0005;3;yes;no
7;1;58;pas_3;negative;H   E   M   K;maske_1.bmp;maske_2.bmp;Animal carcass 3.jpg;0.092;-1;1;18;0.0005;1;no;yes
7;1;59;pas_3;positive;T   U   G   Z;maske_1.bmp;maske_2.bmp;Excited face 3.jpg;0.0925;1;1;18;0.0005;2;yes;no
7;1;60;pas_5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Explosion 6.jpg;0.1205;-1;1;18;0.0005;4;no;yes
7;1;61;pas_5;negative;F   O   R   B;maske_1.bmp;maske_2.bmp;Angry face 5.jpg;0.121;1;1;18;0.0005;5;no;yes
7;1;62;pas_5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Mother 6.jpg;0.121;1;-1;19;0.0005;6;yes;no
7;1;63;pas_5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Beach 5.jpg;0.1205;-1;-1;19;0.0005;6;yes;no
7;1;64;pas_5;negative;F   R   O   B;maske_2.bmp;maske_1.bmp;Toilet 4.jpg;0.12;-1;-1;19;0.0005;5;no;yes
7;2;1;pas_3;positive;G   U   T   Z;maske_1.bmp;maske_2.bmp;Birthday 1.jpg;0.093;1;1;18;0.0005;3;yes;no
7;2;2;pas_3;negative;L   E   M   K;maske_1.bmp;maske_2.bmp;Angry pose 1.jpg;0.093;1;1;18;0.0005;3;no;yes
7;2;3;pas_5;positive;S   A   P   V;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.12;-1;-1;19;0.0005;6;yes;no
7;2;4;pas_3;positive;T   U   G   Z;maske_2.bmp;maske_1.bmp;Children 1.jpg;0.093;1;1;18;0.0005;2;yes;no
7;2;5;pas_5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Prison 2.jpg;0.1195;-1;-1;19;0.0005;6;no;yes
7;2;6;pas_5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Yoga 3.jpg;0.119;-1;-1;19;0.0005;6;yes;no
7;2;7;pas_5;positive;W   A   P   S;maske_1.bmp;maske_2.bmp;Mother 5.jpg;0.1185;-1;1;20;0.0005;3;yes;no
