"acc","accuracy","adaptation_target","again","average_response_time","avg_rt","background","bidi","blocknr","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_SPACE","correct_instruction_summary","correct_show_subject_nr","count_EC_blocks","count_EC_instruct","count_EC_instruct_1","count_EC_instruct_2","count_EC_instruct_3","count_EC_instruct_intro","count_EC_instruct_summary","count_EC_trial_seq","count_SPACE","count_Willkommen_1","count_adapt_cs_duration","count_adaptation_blocks","count_adaptation_save_script","count_adaptation_trial_seq","count_block_pause","count_def_present_gsync","count_demographics","count_demographics_save_script","count_ec_save_script","count_end_script","count_experiment","count_good_bye","count_instruct_pas_1_and_2","count_instruct_pas_3_and_4","count_instruct_pas_5_and_6","count_instruct_pas_overview","count_instruction_summary","count_new_logger","count_new_sequence","count_new_sketchpad","count_new_sketchpad_1","count_new_sketchpad_11","count_new_sketchpad_2_nw","count_new_sketchpad_4","count_new_sketchpad_5_nw","count_obj_vis_save_script","count_objective_visibility_blocks","count_objective_visibility_trial_seq","count_objvis_form","count_objvis_instructions_1","count_pas_form","count_pause","count_pause_after_wahrnehmungsphase","count_rating_blank","count_rating_block","count_rating_form","count_rating_instructions","count_rating_save_script","count_rating_sequence","count_repeat","count_set_duration","count_setup","count_show_subject_nr","count_singletrial","count_valence_focus","cs_filename","datetime","description","disable_garbage_collection","eval_rating","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","id_opt_1","id_opt_2","id_opt_3","id_opt_4","keyboard_backend","live_row","live_row_adaptation_blocks","logfile","mouse_backend","not_again","opensesame_codename","opensesame_version","opt_1","opt_2","opt_3","opt_4","pause","phase","postmask_filename","premask_filename","rather_neg","rather_pos","repeat_cycle","response","response_EC_instruct_1","response_EC_instruct_2","response_EC_instruct_3","response_EC_instruct_intro","response_EC_instruct_summary","response_SPACE","response_block_pause","response_good_bye","response_instruct_pas_1_and_2","response_instruct_pas_3_and_4","response_instruct_pas_5_and_6","response_instruct_pas_overview","response_instruction_summary","response_new_sketchpad","response_new_sketchpad_1","response_new_sketchpad_11","response_new_sketchpad_2_nw","response_new_sketchpad_4","response_new_sketchpad_5_nw","response_objvis_instructions_1","response_pause","response_pause_after_wahrnehmungsphase","response_rating_instructions","response_show_subject_nr","response_time","response_time_EC_instruct_1","response_time_EC_instruct_2","response_time_EC_instruct_3","response_time_EC_instruct_intro","response_time_EC_instruct_summary","response_time_SPACE","response_time_block_pause","response_time_good_bye","response_time_instruct_pas_1_and_2","response_time_instruct_pas_3_and_4","response_time_instruct_pas_5_and_6","response_time_instruct_pas_overview","response_time_instruction_summary","response_time_new_sketchpad","response_time_new_sketchpad_1","response_time_new_sketchpad_11","response_time_new_sketchpad_2_nw","response_time_new_sketchpad_4","response_time_new_sketchpad_5_nw","response_time_objvis_instructions_1","response_time_pause","response_time_pause_after_wahrnehmungsphase","response_time_rating_instructions","response_time_show_subject_nr","round_decimals","sampler_backend","sicher1_resp","sicher2_resp","sicher3_resp","sicher4_resp","sicher5_resp","sicher6_resp","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_EC_blocks","time_EC_instruct","time_EC_instruct_1","time_EC_instruct_2","time_EC_instruct_3","time_EC_instruct_intro","time_EC_instruct_summary","time_EC_trial_seq","time_SPACE","time_Willkommen_1","time_adapt_cs_duration","time_adaptation_blocks","time_adaptation_save_script","time_adaptation_trial_seq","time_block_pause","time_def_present_gsync","time_demographics","time_demographics_save_script","time_ec_save_script","time_end_script","time_experiment","time_good_bye","time_instruct_pas_1_and_2","time_instruct_pas_3_and_4","time_instruct_pas_5_and_6","time_instruct_pas_overview","time_instruction_summary","time_new_logger","time_new_sequence","time_new_sketchpad","time_new_sketchpad_1","time_new_sketchpad_11","time_new_sketchpad_2_nw","time_new_sketchpad_4","time_new_sketchpad_5_nw","time_obj_vis_save_script","time_objective_visibility_blocks","time_objective_visibility_trial_seq","time_objvis_form","time_objvis_instructions_1","time_pas_form","time_pause","time_pause_after_wahrnehmungsphase","time_rating_blank","time_rating_block","time_rating_form","time_rating_instructions","time_rating_save_script","time_rating_sequence","time_repeat","time_set_duration","time_setup","time_show_subject_nr","time_singletrial","time_valence_focus","title","total_correct","total_response_time","total_responses","transparent_variables","trialnr","unaufmerksam_resp","uniform_coordinates","us_filename","us_valence","width"
"undefined","undefined","pas_2","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","0","0","NA","0","0","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","0","0","0","NA","0","NA","0","NA","NA","NA","0","0","0","0","NA","K   U   L   G","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","0","0","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","590893.8022","580648.6844","590893.8654","581053.9034","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","590894.1143","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","582804.9635","NA","NA","NA","NA","NA","NA","NA","NA","NA","581054.1205","10766.9498","10828.1904","581054.1432","NA","ecodap4","0","70944.0629","1","no","1","no","no","Skyscraper 1.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","1","0","1","1","1","0","0","0","NA","0","0","0","0","0","0","NA","0","1","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","1","0","0","NA","0","NA","0","NA","NA","NA","1","0","0","1","NA","G   U   H   M","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","1","1","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","601260.3259","580648.6844","601260.3812","591259.478","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","601260.5746","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","593110.5499","NA","NA","NA","NA","NA","NA","NA","NA","NA","591259.6866","10766.9498","10828.1904","591259.7106","NA","ecodap4","0","70944.0629","1","no","2","no","no","Cardboard 2.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","2","0","2","2","2","0","0","0","NA","0","0","0","0","0","0","NA","0","2","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","2","0","0","NA","0","NA","0","NA","NA","NA","2","0","0","2","NA","G   E   M   T","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","2","2","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","605052.5988","580648.6844","605052.6624","601577.2032","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","605052.8789","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","603372.2645","NA","NA","NA","NA","NA","NA","NA","NA","NA","601577.4181","10766.9498","10828.1904","601577.4418","NA","ecodap4","0","70944.0629","1","no","3","no","no","Bark 5.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","3","0","3","3","3","0","0","0","NA","0","0","0","0","0","0","NA","0","3","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","3","0","0","NA","0","NA","0","NA","NA","NA","3","0","0","3","NA","N   E   H   Z","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","3","3","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","610289.5232","580648.6844","610289.5772","605298.9989","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","610289.7673","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","607100.0515","NA","NA","NA","NA","NA","NA","NA","NA","NA","605299.2062","10766.9498","10828.1904","605299.2349","NA","ecodap4","0","70944.0629","1","no","4","no","no","Neutral pose 3.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","4","0","4","4","4","0","0","0","NA","0","0","0","0","0","0","NA","0","4","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","4","0","0","NA","0","NA","0","NA","NA","NA","4","0","0","4","NA","K   N   E   G","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","4","4","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","616533.5019","580648.6844","616533.5565","610556.7633","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","616533.7442","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","612293.8072","NA","NA","NA","NA","NA","NA","NA","NA","NA","610556.9748","10766.9498","10828.1904","610556.9976","NA","ecodap4","0","70944.0629","1","no","5","no","no","Bark 2.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","5","0","5","5","5","0","0","0","NA","0","0","0","0","0","0","NA","0","5","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","5","0","0","NA","0","NA","0","NA","NA","NA","5","0","0","5","NA","T   E   L   G","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","5","5","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","619508.3559","580648.6844","619508.4093","616791.7891","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","619508.6016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","618596.8484","NA","NA","NA","NA","NA","NA","NA","NA","NA","616792.0005","10766.9498","10828.1904","616792.0241","NA","ecodap4","0","70944.0629","1","no","6","no","no","Car 2.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","6","0","6","6","6","0","0","0","NA","0","0","0","0","0","0","NA","0","6","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","6","0","0","NA","0","NA","0","NA","NA","NA","6","0","0","6","NA","Z   U   H   L","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","6","6","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","625493.8225","580648.6844","625493.8763","619763.6168","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","625494.0654","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","621556.6505","NA","NA","NA","NA","NA","NA","NA","NA","NA","619763.8239","10766.9498","10828.1904","619763.847","NA","ecodap4","0","70944.0629","1","no","7","no","no","Fire hydrant 1.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","7","0","7","7","7","0","0","0","NA","0","0","0","0","0","0","NA","0","7","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","7","0","0","NA","0","NA","0","NA","NA","NA","7","0","0","7","NA","T   U   L   M","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich habe nur kurz etwas zwischen den Zufallsmustern aufblitzen sehen.","yes","1080","NA","NA","NA","NA","psycho","7","7","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","no","yes","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","632901.0849","580648.6844","632901.1547","625756.2703","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","632901.3714","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","627605.3421","NA","NA","NA","NA","NA","NA","NA","NA","NA","625756.4779","10766.9498","10828.1904","625756.502","NA","ecodap4","0","70944.0629","1","no","8","no","no","Roofing 2.jpg","neutral","1920"
"undefined","undefined","pas_2","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","8","0","8","8","8","0","0","0","NA","0","0","0","0","0","0","NA","0","8","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","8","0","0","NA","0","NA","0","NA","NA","NA","8","0","0","8","NA","G   E   M   T","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","8","8","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_2.bmp","maske_1.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","636190.6128","580648.6844","636190.6823","633176.5016","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","636190.9053","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","634983.6316","NA","NA","NA","NA","NA","NA","NA","NA","NA","633176.798","10766.9498","10828.1904","633176.8214","NA","ecodap4","0","70944.0629","1","no","9","no","no","Fence 1.jpg","neutral","1920"
"undefined","undefined","pas_5","NA","70944.0629","70944.0629","#000000","no","1","psycho","psycho","psycho","0","relative","undefined","undefined","undefined","undefined","0","0","0","0","0","0","0","NA","0","0","9","0","9","9","9","0","0","0","NA","0","0","0","0","0","0","NA","0","9","NA","NA","NA","NA","0","NA","0","NA","0","NA","NA","0","9","0","0","NA","0","NA","0","NA","NA","NA","9","0","0","9","NA","Z   U   H   L","02/14/22 09:59:11","A template containing a practice and an experimental phase","yes","NA","ecodap4.osexp","C:\exp\ecodap4","no","sans","no","18","no","white","no","Ich konnte nichts vom Phantasiewort wahrnehmen.","yes","1080","NA","NA","NA","NA","psycho","9","9","C:\exp\ecodap4\logs\8.log","psycho","NA","Kafkaesque Koffka","3.2.8","NA","NA","NA","NA","0","adaptation","maske_1.bmp","maske_2.bmp","NA","NA","0","space","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","12800.1234001","NA","NA","NA","NA","NA","70944.0629","NA","NA","NA","NA","NA","NA","12800.1234001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","486012.0949","2","legacy","yes","no","no","no","no","no","1024","2","48000","-16","experiment","8","even","legacy","NA","NA","NA","NA","NA","NA","NA","NA","496872.1971","496871.4296","638724.2878","580648.6844","638724.3391","636424.5446","NA","10766.9238","NA","NA","NA","NA","10766.4756","NA","NA","NA","NA","NA","567848.0996","638724.5246","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","638193.5869","NA","NA","NA","NA","NA","NA","NA","NA","NA","636424.7504","10766.9498","10828.1904","636424.7734","NA","ecodap4","0","70944.0629","1","no","10","no","no","Bed 1.jpg","neutral","1920"
