subjnr;adaptation_target;cs_filename;us_valence;pos_sure;pos_probably;pos_guess;neg_sure;neg_probably;neg_guess
50;pas_5;M   E   H   K;negative;no;yes;no;no;no;no
50;pas_5;T   U   N   G;positive;no;no;no;no;yes;no
50;pas_2.5;B   J   O   F;negative;no;no;no;no;no;yes
50;pas_2.5;S   W   A   P;positive;no;yes;no;no;no;no
50;pas_5;K   E   H   M;negative;yes;no;no;no;no;no
50;pas_2.5;S   V   A   W;positive;no;no;no;no;no;yes
50;pas_5;G   U   T   Z;positive;no;no;no;no;yes;no
50;pas_2.5;V   A   P   S;positive;no;yes;no;no;no;no
50;pas_5;N   U   G   Z;positive;no;no;no;yes;no;no
50;pas_5;Z   U   N   G;positive;no;no;no;yes;no;no
50;pas_5;H   E   M   K;negative;no;yes;no;no;no;no
50;pas_5;K   L   E   H;negative;yes;no;no;no;no;no
50;pas_2.5;V   A   S   P;positive;no;no;no;no;no;yes
50;pas_5;L   E   M   K;negative;no;no;no;no;yes;no
50;pas_5;G   N   U   Z;positive;no;no;no;yes;no;no
50;pas_2.5;P   S   A   V;positive;no;no;yes;no;no;no
50;pas_5;T   U   G   Z;positive;no;no;no;no;yes;no
50;pas_2.5;S   A   P   V;positive;no;no;no;yes;no;no
50;pas_2.5;B   O   R   F;negative;no;no;no;no;yes;no
50;pas_5;H   E   L   K;negative;no;no;yes;no;no;no
50;pas_2.5;W   A   P   S;positive;no;yes;no;no;no;no
50;pas_2.5;R   O   B   F;negative;no;no;no;yes;no;no
50;pas_2.5;F   O   R   B;negative;no;no;no;no;yes;no
50;pas_5;K   E   L   M;negative;yes;no;no;no;no;no
50;pas_5;G   U   N   T;positive;no;no;no;yes;no;no
50;pas_2.5;S   P   A   V;positive;no;no;no;no;yes;no
50;pas_2.5;J   O   B   F;negative;no;no;no;no;no;yes
50;pas_5;Z   U   N   T;positive;no;no;no;yes;no;no
50;pas_2.5;J   O   R   F;negative;no;no;yes;no;no;no
50;pas_5;K   L   E   M;negative;no;yes;no;no;no;no
50;pas_2.5;J   O   R   B;negative;no;no;no;no;no;yes
50;pas_2.5;F   R   O   B;negative;no;no;no;no;yes;no
