subjnr;blocknr;trialnr;adaptation_target;us_valence;cs_filename;premask_filename;postmask_filename;us_filename;cs_duration;direction_pretrial; direction; reversals_for_calc; reversals_total; stepsize; pas_rating;VF_pos;VF_neg
52;1;1;2.5;negative;J   O   B   F;maske_2.bmp;maske_1.bmp;Hallway 1.jpg;0.05499999999999999;1;1;2;18;0.004;2;no;yes
52;1;2;5.0;negative;T   U   G   Z;maske_2.bmp;maske_1.bmp;Sad pose 1.jpg;0.08299999999999996;1;1;2;12;0.004;2;no;yes
52;1;3;2.5;negative;B   J   O   F;maske_2.bmp;maske_1.bmp;Jail 1.jpg;0.059;1;1;2;18;0.004;1;no;yes
52;1;4;2.5;negative;R   O   B   F;maske_1.bmp;maske_2.bmp;Scared face 4.jpg;0.063;1;1;2;18;0.004;1;no;yes
52;1;5;2.5;negative;J   O   R   F;maske_1.bmp;maske_2.bmp;Frustrated pose 7.jpg;0.067;1;1;2;18;0.004;2;no;yes
52;1;6;5.0;positive;K   L   E   H;maske_1.bmp;maske_2.bmp;Guitar 1.jpg;0.08699999999999997;1;1;2;12;0.004;3;yes;no
52;1;7;5.0;negative;G   U   T   Z;maske_2.bmp;maske_1.bmp;Flood 2.jpg;0.09099999999999997;1;1;2;12;0.004;3;no;yes
52;1;8;5.0;negative;Z   U   N   T;maske_1.bmp;maske_2.bmp;Angry face 3.jpg;0.09499999999999997;1;1;2;12;0.004;4;no;yes
52;1;9;2.5;negative;F   R   O   B;maske_1.bmp;maske_2.bmp;Sad face 9.jpg;0.07100000000000001;1;1;2;18;0.004;2;no;yes
52;1;10;2.5;positive;V   A   P   S;maske_1.bmp;maske_2.bmp;Present 2.jpg;0.07500000000000001;1;1;2;18;0.004;2;yes;no
52;1;11;2.5;negative;B   O   R   F;maske_1.bmp;maske_2.bmp;Gun 1.jpg;0.07900000000000001;1;-1;3;19;0.004;4;no;yes
52;1;12;2.5;positive;S   W   A   P;maske_1.bmp;maske_2.bmp;Picnic 2.jpg;0.07500000000000001;-1;-1;3;19;0.004;4;yes;no
52;1;13;5.0;positive;K   L   E   M;maske_2.bmp;maske_1.bmp;Bird 1.jpg;0.09899999999999998;1;-1;3;13;0.004;6;yes;no
52;1;14;5.0;negative;T   U   N   G;maske_2.bmp;maske_1.bmp;Garbage dump 8.jpg;0.09499999999999997;-1;-1;3;13;0.004;6;no;yes
52;1;15;2.5;positive;S   A   P   V;maske_1.bmp;maske_2.bmp;Baby 6.jpg;0.07100000000000001;-1;-1;3;19;0.004;5;yes;no
52;1;16;5.0;negative;G   U   N   T;maske_2.bmp;maske_1.bmp;Cemetery 5.jpg;0.09099999999999997;-1;-1;3;13;0.004;5;no;yes
52;1;17;5.0;negative;G   N   U   Z;maske_2.bmp;maske_1.bmp;Car accident 2.jpg;0.09099999999999997;-1;-1;3;13;0.004;5;no;yes
52;1;18;5.0;negative;N   U   G   Z;maske_1.bmp;maske_2.bmp;Dog 23.jpg;0.09099999999999997;-1;-1;3;13;0.004;5;no;yes
52;1;19;5.0;positive;H   E   L   K;maske_1.bmp;maske_2.bmp;Gazing 6.jpg;0.09099999999999997;-1;1;4;14;0.002;4;yes;no
52;1;20;2.5;negative;F   O   R   B;maske_2.bmp;maske_1.bmp;Angry face 4.jpg;0.067;-1;-1;3;19;0.004;4;no;yes
52;1;21;2.5;positive;S   V   A   W;maske_2.bmp;maske_1.bmp;Cat 5.jpg;0.063;-1;1;4;20;0.002;2;yes;no
52;1;22;2.5;positive;W   A   P   S;maske_2.bmp;maske_1.bmp;Penguins 2.jpg;0.065;1;1;4;20;0.002;2;yes;no
52;1;23;5.0;positive;H   E   M   K;maske_2.bmp;maske_1.bmp;Lake 12.jpg;0.09299999999999997;1;1;4;14;0.002;5;yes;no
52;1;24;5.0;positive;K   E   L   M;maske_2.bmp;maske_1.bmp;Alcohol 5.jpg;0.09299999999999997;1;1;4;14;0.002;5;yes;no
52;1;25;5.0;positive;L   E   M   K;maske_1.bmp;maske_2.bmp;Yoga 3.jpg;0.09299999999999997;1;1;4;14;0.002;3;yes;no
52;1;26;2.5;positive;S   P   A   V;maske_1.bmp;maske_2.bmp;Siblings 1.jpg;0.067;1;-1;5;21;0.002;4;yes;no
52;1;27;5.0;positive;K   E   H   M;maske_2.bmp;maske_1.bmp;School 2.jpg;0.09499999999999997;1;1;4;14;0.002;5;yes;no
52;1;28;5.0;negative;Z   U   N   G;maske_2.bmp;maske_1.bmp;Pollution 1.jpg;0.09499999999999997;1;-1;5;15;0.002;6;no;yes
52;1;29;2.5;positive;V   A   S   P;maske_1.bmp;maske_2.bmp;Beach 5.jpg;0.065;-1;-1;5;21;0.002;5;yes;no
52;1;30;2.5;positive;P   S   A   V;maske_2.bmp;maske_1.bmp;Collaboration 1.jpg;0.063;-1;-1;5;21;0.002;5;yes;no
52;1;31;2.5;negative;J   O   R   B;maske_2.bmp;maske_1.bmp;Fire 2.jpg;0.061;-1;-1;5;21;0.002;5;no;yes
52;1;32;5.0;positive;M   E   H   K;maske_1.bmp;maske_2.bmp;Elephant 1.jpg;0.09299999999999997;-1;-1;5;15;0.002;5;yes;no
52;1;33;5.0;negative;T   U   N   G;maske_1.bmp;maske_2.bmp;Miserable face 2.jpg;0.09299999999999997;-1;-1;5;15;0.002;5;no;yes
52;1;34;5.0;negative;G   U   N   T;maske_1.bmp;maske_2.bmp;Frustrated pose 5.jpg;0.09299999999999997;-1;1;6;16;0.002;4;no;yes
52;1;35;2.5;positive;P   S   A   V;maske_1.bmp;maske_2.bmp;Father 1.jpg;0.059;-1;-1;5;21;0.002;4;yes;no
52;1;36;5.0;positive;K   L   E   M;maske_1.bmp;maske_2.bmp;Children 1.jpg;0.09499999999999997;1;1;6;16;0.002;5;yes;no
52;1;37;5.0;positive;K   E   H   M;maske_1.bmp;maske_2.bmp;Baby 2.jpg;0.09499999999999997;1;1;6;16;0.002;5;yes;no
52;1;38;2.5;positive;V   A   S   P;maske_2.bmp;maske_1.bmp;Beach 7.jpg;0.056999999999999995;-1;-1;5;21;0.002;5;yes;no
52;1;39;5.0;negative;T   U   G   Z;maske_1.bmp;maske_2.bmp;Feces 1.jpg;0.09499999999999997;1;-1;7;17;0.002;6;no;yes
52;1;40;5.0;positive;K   E   L   M;maske_1.bmp;maske_2.bmp;Baby 8.jpg;0.09299999999999997;-1;1;8;18;0.001;4;yes;no
52;1;41;5.0;negative;G   N   U   Z;maske_1.bmp;maske_2.bmp;Gun 5.jpg;0.09399999999999997;1;1;8;18;0.001;5;no;yes
52;1;42;2.5;positive;S   W   A   P;maske_2.bmp;maske_1.bmp;Birthday 1.jpg;0.05499999999999999;-1;-1;5;21;0.002;5;yes;no
52;1;43;2.5;positive;S   P   A   V;maske_2.bmp;maske_1.bmp;Bird 3.jpg;0.05299999999999999;-1;-1;5;21;0.002;5;yes;no
52;1;44;2.5;positive;V   A   P   S;maske_2.bmp;maske_1.bmp;Nude couple 7.jpg;0.05099999999999999;-1;-1;5;21;0.002;5;yes;no
